,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
257477,11605000,9651,Архангельская область,67,285708.9,110542.97,09.09.2016,Благоустройство,374.5,,295.17481975967956,0.6130923117900773
273204,11627000,8792,Архангельская область,67,285167.38,125266.32,09.06.2016,Благоустройство,368.7,,339.75134255492276,0.5607270368721696
274997,11630000,5488,Архангельская область,67,629614.64,312657.78,18.08.2016,Благоустройство,533.7,"1222,80000",585.8305789769533,0.5034140565727633
266488,11701000,12026,Архангельская область,67,453149.91,294638.44,28.02.2017,Благоустройство,646.0,"5671,80000",456.0966563467492,0.3497991867636032
261341,11605000,8721,Архангельская область,67,456504.38,337456.77,26.08.2016,Благоустройство,508.3,,663.8929175683652,0.2607808713686383
276691,11635000,3175,Архангельская область,67,266065.32,203806.12,15.12.2016,Благоустройство,364.1,,559.7531447404559,0.23399968098059534
259618,11605000,17155,Архангельская область,67,1171780.52,1049265.31,,Благоустройство,513.7,"3571,30000",2042.5643566283823,0.10455474204333075
319276,11650000,12833,Архангельская область,67,531643.57,498524.57,17.11.2016,Благоустройство,577.6,"914,10000",863.0965547091413,0.06229549620998886
301725,11644000,7450,Архангельская область,67,383982.43,366797.42,30.12.2016,Благоустройство,537.8,"403,50000",682.0331349944217,0.04475467796794767
270147,11618000,5670,Архангельская область,67,514598.04,501426.58,05.12.2017,Благоустройство,571.8,"7303,30000",876.9265127667018,0.025595627997339367
292569,11710000,3853,Архангельская область,67,624683.51,611595.37,22.12.2017,Благоустройство,444.3,"624,70000",1376.5369570110286,0.020951633572014752
293474,11710000,4070,Архангельская область,67,624683.51,611595.37,26.02.2018,Благоустройство,441.42,"624,70000",1385.5180327126093,0.020951633572014752
319874,11650000,12924,Архангельская область,67,730901.49,717631.98,08.11.2017,Благоустройство,585.3,"1999,80000",1226.0925679138904,0.01815499103716427
265318,11614000,9187,Архангельская область,67,269304.12,269304.12,22.11.2016,Благоустройство,421.7,"1520,50000",638.6154138012805,0.0
334366,11658000,3287,Архангельская область,67,117463.78,117463.78,22.12.2015,Благоустройство,426.3,,275.5425287356322,0.0
305729,11701000,13829,Архангельская область,67,128991.46,128991.46,27.11.2015,Благоустройство,450.9,,286.0755378132624,0.0
329716,11654000,14675,Архангельская область,67,165343.31,165343.31,23.12.2015,Благоустройство,564.4,,292.9541282778172,0.0
261313,11605000,9990,Архангельская область,67,451650.61,451650.61,13.12.2016,Благоустройство,505.7,,893.1196559224837,0.0
319735,11650000,12897,Архангельская область,67,529422.17,529422.17,15.09.2016,Благоустройство,783.6,,675.6280883103625,0.0
319868,11650000,12923,Архангельская область,67,320391.0,320391.0,21.12.2016,Благоустройство,586.8,,545.9969325153374,0.0
261334,11605000,8719,Архангельская область,67,478453.47,478453.47,20.10.2016,Благоустройство,519.4,,921.1657104351174,0.0
334422,11658000,3296,Архангельская область,67,117463.78,117463.78,22.12.2015,Благоустройство,226.2,,519.2916887709991,0.0
261337,11605000,8720,Архангельская область,67,472607.15,472607.15,26.08.2016,Благоустройство,510.9,,925.0482481894696,0.0
274728,11627000,9110,Архангельская область,67,409006.68,409006.68,28.02.2017,Благоустройство,501.5,"5186,00000",815.5666600199402,0.0
274610,11627000,9092,Архангельская область,67,332567.53,332567.53,17.12.2015,Благоустройство,567.6,,585.9188336856942,0.0
319878,11650000,12925,Архангельская область,67,538360.0,538360.0,21.12.2016,Благоустройство,584.6,,920.9031816626753,0.0
319879,11650000,12926,Архангельская область,67,532083.0,532083.0,27.12.2016,Благоустройство,585.8,,908.3014680778423,0.0
323580,11701000,14055,Архангельская область,67,361338.59,361340.81,26.12.2016,Благоустройство,510.4,"361,30000",707.9561324451411,-6.143822058895121e-06
319930,11650000,12936,Архангельская область,67,441791.1,441826.14,15.09.2016,Благоустройство,562.0,,786.1675088967971,-7.931350359940989e-05
267821,11701000,12197,Архангельская область,67,330407.62,330551.05,02.12.2016,Благоустройство,773.9,"207,70000",427.12372399534826,-0.0004341001578595343
330206,11656000,17708,Архангельская область,67,385315.13,385597.57,21.12.2015,Благоустройство,531.64,,725.2982657437364,-0.0007330104063134047
317972,11650000,12723,Архангельская область,67,339399.16,340663.88,08.12.2016,Благоустройство,357.2,"2533,30000",953.7062709966406,-0.00372634982361191
329679,11654000,14482,Архангельская область,67,330951.84,332462.82,23.12.2015,Благоустройство,476.1,,698.304599873976,-0.004565558541689876
319862,11650000,12922,Архангельская область,67,716209.56,721256.38,15.09.2017,Благоустройство,582.1,"2015,90000",1239.059233808624,-0.007046568884112561
265163,11614000,6550,Архангельская область,67,356398.47,359603.3,16.10.2015,Благоустройство,540.3,,665.5622802146955,-0.008992266437058544
