,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2183880,20701000,4255,Воронежская область,62,218120.64,147386.72,29.12.2017,Благоустройство,5262.3,,28.00804211086407,0.3242880637063966
2194002,20701000,9323,Воронежская область,72,4157151.8,3699865.09,,Благоустройство,4203.5,,880.1867705483526,0.11000000288659173
2173693,20701000,3321,Воронежская область,62,155638.46,152487.4,14.12.2018,Благоустройство,3565.8,,42.76386785574064,0.02024602402259697
2180005,20701000,9112,Воронежская область,62,345329.1,345329.1,31.05.2018,Благоустройство,3502.3,,98.60066242183707,0.0
2176089,20701000,9104,Воронежская область,62,666006.58,666006.58,02.07.2018,Благоустройство,5792.4,,114.97938332988053,0.0
2182085,20701000,4103,Воронежская область,62,80769.1,80769.1,23.10.2018,Благоустройство,305.7,,264.21033693163236,0.0
2190198,20701000,4855,Воронежская область,62,4475.89,4475.89,,Благоустройство,5032.9,,0.8893262333843313,0.0
2192017,20701000,9136,Воронежская область,62,134132.71,134132.71,,Благоустройство,783.7,,171.1531325762409,0.0
2179896,20701000,9109,Воронежская область,62,209012.93,213728.8,26.06.2017,Благоустройство,3135.8,,68.15766311627016,-0.02256257543492642
2157989,20701000,1887,Воронежская область,62,135809.74,140235.68,28.12.2017,Благоустройство,3482.0,,40.274462952326246,-0.03258926789786949
2174248,20701000,3363,Воронежская область,62,154072.43,159851.06,04.12.2017,Благоустройство,9122.7,,17.522340973615265,-0.03750593146353313
2195024,20701000,5287,Воронежская область,62,41763.74,45199.99,20.10.2017,Благоустройство,1312.8,,34.430217854966486,-0.0822783112815088
2172436,20701000,3214,Воронежская область,62,38080.0,44837.64,29.12.2017,Благоустройство,4834.6,,9.274322591320894,-0.17745903361344537
2171263,20701000,9085,Воронежская область,62,216850.64,278418.77,21.11.2018,Благоустройство,4454.03,,62.509406088418814,-0.28391952175008567
2154428,20701000,9053,Воронежская область,62,332956.06,483525.74,21.11.2017,Благоустройство,7274.8,,66.46584648375213,-0.4522208726280579
2179901,20701000,9109,Воронежская область,72,104145.36,229576.74,30.06.2017,Благоустройство,3135.8,,73.21153772562025,-1.2043875982568977
2209932,20627000,9396,Воронежская область,62,24159.27,58745.06,09.10.2017,Благоустройство,1362.9,,43.10298627925746,-1.4315742983956052
2209948,20627000,9397,Воронежская область,62,21387.43,58702.43,09.10.2017,Благоустройство,1343.14,,43.705369507274,-1.7447164058514744
2169978,20701000,9311,Воронежская область,62,391218.74,,,Благоустройство,2217.5,,,
2191766,20701000,9134,Воронежская область,62,67841.4,,,Благоустройство,1831.5,,,
2192522,20701000,5061,Воронежская область,72,209406.34,,,Благоустройство,11318.5,,,
2202069,20619000,5926,Воронежская область,62,,,,Благоустройство,379.2,,,
