,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2815117,52630000,27779,Омская область,67,,,,Благоустройство,831.5,"0,00000",,
2815127,52630000,27781,Омская область,67,,,,Благоустройство,826.5,"0,00000",,
2816113,52632000,24263,Омская область,67,285177.0,,,Благоустройство,413.3,"0,00000",,
2872114,52701000,20026,Омская область,72,,,,Благоустройство,1674.4,"0,00000",,
2872117,52701000,20026,Омская область,72,,,,Благоустройство,1674.4,"0,00000",,
2875640,52701000,32269,Омская область,72,,,,Благоустройство,8951.37,"0,00000",,
2876699,52701000,30671,Омская область,67,,,,Благоустройство,425.6,"25,07466",,
2886006,52701000,35565,Омская область,72,,,,Благоустройство,4932.0,"0,00000",,
2886520,52701000,21272,Омская область,72,,,,Благоустройство,8060.1,"0,00000",,
2911680,52701000,20417,Омская область,72,,,,Благоустройство,6215.3,"0,00000",,
2912906,52701000,21094,Омская область,72,,,,Благоустройство,11574.6,"0,00000",,
2919686,52701000,30800,Омская область,72,,,,Благоустройство,3632.0,"0,00000",,
2930037,52644000,31651,Омская область,67,210243.0,,,Благоустройство,304.7,"0,00000",,
2930200,52644000,31603,Омская область,67,,,,Благоустройство,596.6,"0,00000",,
2935977,52646000,20527,Омская область,67,593193.0,,,Благоустройство,859.7,"0,00000",,
2936103,52646000,25764,Омская область,67,1021476.0,,,Благоустройство,1480.0,"75,83676",,
2936516,52648000,26885,Омская область,67,286074.0,,,Благоустройство,414.6,"0,00000",,
2936533,52648000,26985,Омская область,67,,,,Благоустройство,678.5,"0,00000",,
2936653,52648000,36583,Омская область,67,539097.0,,,Благоустройство,781.3,"0,00000",,
2936705,52648000,27237,Омская область,67,533922.0,,,Благоустройство,715.2,"0,00000",,
