,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1459930,38701000,4612001509,Курская область,21,288049.89,4075820.44,,ИРД,3286.2,"0,00000",1240.2837441421702,-13.149703164267827
1487509,38715000,4633003287,Курская область,20,7260.0,74649.6,01.02.2016,ИРД,3177.7,"0,00000",23.491707839003055,-9.282314049586777
1460618,38701000,4612001571,Курская область,20,1567.47,15775.95,01.02.2016,ИРД,522.49,"0,00000",30.193783613083504,-9.064594537694502
1483631,38640000,4627004721,Курская область,20,979.0,6014.98,01.02.2016,ИРД,195.8,"0,00000",30.72002042900919,-5.144004085801838
1456500,38701000,4612001457,Курская область,20,46457.6,136585.34,15.01.2016,ИРД,2903.6,"0,00000",47.03999862239978,-1.9399999138999862
1454203,38701000,4612000991,Курская область,20,68068.56,154108.35,14.12.2015,ИРД,2836.19,"0,00000",54.33639847824018,-1.2640166032600075
1469201,38701000,4612002319,Курская область,20,39916.8,78236.93,25.12.2015,ИРД,1663.2,"0,00000",47.040001202501195,-0.9600000501042164
1469169,38701000,4612002318,Курская область,20,79504.8,155829.41,25.12.2015,ИРД,3312.7,"0,00000",47.040000603737134,-0.9600000251557138
1455441,38701000,4612001095,Курская область,20,18146.7,34036.22,01.02.2016,ИРД,549.9,"0,00000",61.89529005273687,-0.8756148500829352
1451995,38701000,4612000813,Курская область,20,54321.12,99764.1,14.12.2015,ИРД,2263.38,"0,00000",44.07748588394348,-0.8365619118309785
1451950,38701000,4612000809,Курская область,20,108110.16,197928.55,14.12.2015,ИРД,4504.59,"0,00000",43.93930413200757,-0.8308043388336488
1458114,38701000,4612001284,Курская область,20,222581.7,403979.52,25.12.2015,ИРД,6744.9,"0,00000",59.89407107592404,-0.8149718507855767
1462887,38701000,4612001772,Курская область,20,70123.35,123506.26,14.12.2015,ИРД,2124.95,"0,00000",58.12196051671804,-0.7612715308096374
1458113,38701000,4612001284,Курская область,21,591220.16,964618.86,31.08.2016,ИРД,6744.9,"0,00000",143.01455321798693,-0.6315730167252753
1469519,38701000,4612002346,Курская область,20,95607.6,149486.02,25.12.2015,ИРД,2897.2,"0,00000",51.59672097197294,-0.5635369991506949
