,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3057906,41603000,41603000353242,Ленинградская область,20,0.0,928830.1,,ИРД,7825.27,"12672,21281",118.69623667937336,
3057940,41603000,41603000182724,Ленинградская область,20,0.0,115853.54,,ИРД,1275.21,"115,85354",90.85055794731848,
3057953,41603000,41603000182726,Ленинградская область,20,0.0,116431.91,,ИРД,1327.86,"116,43191",87.68387480607896,
3058053,41603000,41603000353140,Ленинградская область,50,0.0,192142.4,,ИРД,4940.66,"657,04345",38.89002683851955,
3058056,41603000,41603000353140,Ленинградская область,20,0.0,657043.45,,ИРД,4940.66,"657,04345",132.98697947237818,
3058069,41603000,41603000159158,Ленинградская область,20,0.0,553975.1,20.09.2018,ИРД,2483.96,"1438,39453",223.02094236622168,
3058070,41603000,41603000159158,Ленинградская область,20,0.0,282763.34,,ИРД,2483.96,"1438,39453",113.83570588898372,
3058074,41603000,41603000159158,Ленинградская область,50,0.0,924607.92,,ИРД,2483.96,"1438,39453",372.2314046925071,
3058100,41603000,41603000352993,Ленинградская область,20,0.0,1003253.76,,ИРД,3708.06,"1252,51870",270.56028219608095,
3058113,41603000,41603000352993,Ленинградская область,50,0.0,203522.23,,ИРД,3708.06,"1252,51870",54.886444663786456,
3058116,41603000,41603000352994,Ленинградская область,50,0.0,120000.0,,ИРД,7964.5,"2013,33193",15.066859187645175,
3058118,41603000,41603000352994,Ленинградская область,20,0.0,2013331.93,,ИРД,7964.5,"2013,33193",252.78823906083244,
3058119,41603000,41603000352994,Ленинградская область,20,0.0,1143790.4,,ИРД,7964.5,"2013,33193",143.6110741415029,
3058150,41603000,41603000130665,Ленинградская область,50,0.0,2360408.4,,ИРД,4251.54,"5571,33472",555.1890373841009,
3058154,41603000,41603000130665,Ленинградская область,20,0.0,791759.86,,ИРД,4251.54,"5571,33472",186.22895703674433,
3058155,41603000,41603000130665,Ленинградская область,20,0.0,445410.2,11.12.2017,ИРД,4251.54,"5571,33472",104.76443829765215,
3058157,41603000,41603000130667,Ленинградская область,50,0.0,541593.6,,ИРД,1277.93,"497,65284",423.8053727512461,
