,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6371732,42701000,37269,Липецкая область,64,254666.0,68735.5,,ИРД,3486.6,"0,00000",19.714191475936442,0.7300954976321927
6356517,42701000,36825,Липецкая область,21,324985.0,162291.62,,ИРД,3585.7,"117,32000",45.26079147725688,0.5006181208363463
6356277,42701000,36804,Липецкая область,21,330568.0,165614.17,,ИРД,3583.6,"159,80000",46.21446869070209,0.4990012039882868
6357440,42701000,38784,Липецкая область,21,395947.0,198571.48,,ИРД,3751.0,"118,85000",52.93827779258864,0.49848974736517765
6345439,42701000,41249,Липецкая область,21,124769.0,62579.54,,ИРД,6392.0,"22182,93000",9.79029098873592,0.49843679119011935
6374306,42701000,37348,Липецкая область,21,128393.0,64398.41,,ИРД,11852.6,"10055,88000",5.4332728684001825,0.49842740647854633
6381578,42612000,42767,Липецкая область,21,7478.0,3750.97,,ИРД,346.28,"2452,72000",10.832187824881599,0.4983993046269056
6377762,42606000,42080,Липецкая область,21,25261.0,12671.04,,ИРД,644.7,"2442,38000",19.654164727780362,0.4983951545861209
6385191,42627000,40190,Липецкая область,21,23996.0,12039.1,,ИРД,421.8,"930,97000",28.542200094831674,0.4982872145357559
6346786,42701000,41930,Липецкая область,21,175789.0,88201.79,,ИРД,6442.9,"9978,55000",13.689765478278416,0.49825193840342685
6346800,42701000,41555,Липецкая область,21,311721.0,156418.34,,ИРД,4023.73,"0,00000",38.873965201442445,0.49821045101228345
6357047,42701000,38770,Липецкая область,21,295208.0,148132.34,,ИРД,10670.0,"13112,49000",13.883068416119961,0.4982102788542316
6359356,42701000,38238,Липецкая область,21,178243.0,89442.16,,ИРД,4051.74,"12013,41000",22.07499987659623,0.4982009952705015
6362746,42701000,39409,Липецкая область,21,98911.0,49633.81,,ИРД,3771.3,"8889,62000",13.160928592262614,0.4981972682512562
6380941,42612000,37406,Липецкая область,21,8811.0,4421.43,,ИРД,425.59,"1679,14000",10.388942409361123,0.49819203268641465
6373258,42701000,38527,Липецкая область,21,51402.0,25793.94,,ИРД,815.65,"11,94000",31.62378471157972,0.4981918991478931
6372878,42701000,37306,Липецкая область,21,27440.0,13769.64,,ИРД,2190.22,"495,94000",6.286875291066651,0.4981909620991254
6363582,42701000,42255,Липецкая область,21,46585.0,23376.91,,ИРД,1666.3,"6183,06000",14.029232431134849,0.4981880433615971
6353403,42701000,38200,Липецкая область,21,389991.0,195705.29,,ИРД,3045.9,"112,33000",64.25204044781509,0.4981799836406481
6361733,42701000,38910,Липецкая область,21,97983.0,49169.87,,ИРД,7821.0,"7850,03000",6.286903209308273,0.49817958217241765
6360820,42701000,38837,Липецкая область,21,341640.0,171442.26,,ИРД,4010.11,"0,00000",42.752508035939165,0.49817860906217065
6373917,42701000,37324,Липецкая область,21,73548.0,36907.98,,ИРД,3762.6,"250,17000",9.809169191516506,0.4981783325175395
6351127,42701000,36710,Липецкая область,21,237314.0,119089.48,,ИРД,4795.8,"138,23000",24.83203636515284,0.498177604355411
6361894,42701000,38925,Липецкая область,21,31714.0,15914.8,,ИРД,2506.13,"90,00000",6.350348944388359,0.49817746105820776
6379283,42609000,41524,Липецкая область,21,182705.0,91685.49,,ИРД,1300.3,"95,52000",70.51102822425595,0.49817744451438106
6350202,42701000,38092,Липецкая область,21,66873.0,33558.38,,ИРД,4060.5,"10456,04000",8.264593030414973,0.4981774408206601
6375555,42606000,40249,Липецкая область,21,4351.0,2183.43,,ИРД,533.67,"1819,00000",4.091348586204958,0.49817743047575275
6371059,42701000,37215,Липецкая область,21,75322.0,37798.28,,ИРД,3813.59,"85,00000",9.911469245514068,0.49817742492233347
6361342,42701000,38881,Липецкая область,21,109484.0,54941.55,,ИРД,4806.2,"102,88000",11.431390703674422,0.49817735924884
6373151,42701000,38522,Липецкая область,21,39096.0,19619.26,,ИРД,2178.1,"4348,66000",9.00751113355677,0.4981773071413956
6341149,42715000,41411,Липецкая область,21,2024.0,1126.18,,ИРД,251.0,"31,15000",4.486772908366534,0.4435869565217391
6338177,42715000,41874,Липецкая область,64,98943.0,61203.99,30.07.2019,ИРД,508.1,"61,20000",120.45658334973429,0.3814217276613808
6338006,42715000,41855,Липецкая область,64,88861.0,54980.0,30.07.2019,ИРД,520.0,"54,98000",105.73076923076923,0.3812808768751196
6338004,42715000,41854,Липецкая область,64,81057.0,50152.56,30.07.2019,ИРД,521.1,"50,15000",96.24363845710995,0.3812679965949887
6337985,42715000,41853,Липецкая область,64,80636.0,49935.74,30.07.2019,ИРД,568.59,"49,94000",87.82380977505758,0.38072647452750635
6338023,42715000,41856,Липецкая область,64,94202.0,58410.31,30.07.2019,ИРД,642.07,"58,41000",90.97187222576977,0.3799461794866351
6338465,42715000,37416,Липецкая область,21,25024.0,17017.81,,ИРД,159.0,"23,87000",107.03025157232705,0.3199404571611253
