,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1670360,79701000,385000000176,Республика Адыгея,20,42500.0,271537.5,23.07.2018,ИРД,8630.0,"1688,46000",31.464368482039397,-5.389117647058823
1672026,79701000,385000000073,Республика Адыгея,20,46903.2,295639.71,11.10.2017,ИРД,5988.6,"7740,26000",49.36708245666767,-5.303188481809344
1670875,79701000,385000000264,Республика Адыгея,20,41350.0,213850.0,16.05.2017,ИРД,3321.7,"3321,55000",64.37968510100251,-4.171704957678355
1670180,79701000,385000000152,Республика Адыгея,20,59364.36,252712.86,17.07.2017,ИРД,5913.35,"5071,18000",42.735988906457415,-3.256979440189366
1670505,79701000,385000000211,Республика Адыгея,20,35000.0,97500.0,29.10.2018,ИРД,1000.0,"1209,71000",97.5,-1.7857142857142858
1669767,79701000,385000000018,Республика Адыгея,20,44914.0,124105.09,24.04.2017,ИРД,4464.0,"2134,22000",27.801319444444445,-1.7631716168677918
1670212,79701000,385000000157,Республика Адыгея,20,44996.0,114254.42,24.04.2017,ИРД,3209.9,"2276,33000",35.5943861179476,-1.5392128189172372
1670315,79701000,385000000173,Республика Адыгея,20,36500.0,78535.0,20.05.2018,ИРД,5381.01,"709,06000",14.594843718930088,-1.1516438356164385
1669765,79701000,385000000016,Республика Адыгея,20,44949.0,93134.76,24.04.2017,ИРД,3466.07,"1728,75000",26.87042096668561,-1.0720096108923445
1671811,79701000,385000000425,Республика Адыгея,20,49900.0,99800.0,18.05.2017,ИРД,14275.0,"6799,60000",6.991243432574431,-1.0
1672398,79701000,385000000525,Республика Адыгея,20,69271.29,136433.79,15.06.2017,ИРД,3218.9,"4255,43000",42.38522165957315,-0.9695575179847239
1670235,79701000,385000000160,Республика Адыгея,20,44935.0,84532.0,24.04.2017,ИРД,4581.0,"2461,06000",18.45273957651168,-0.8812061867141426
1672389,79701000,385000000524,Республика Адыгея,20,93193.14,160355.64,15.06.2017,ИРД,3284.7,"4279,35000",48.8189606356745,-0.7206807282166908
1671181,79701000,385000000316,Республика Адыгея,20,69300.0,93210.0,16.05.2017,ИРД,2639.8,"2720,70000",35.30949314341996,-0.345021645021645
1671668,79701000,385000000400,Республика Адыгея,20,45000.0,59224.87,05.06.2015,ИРД,3053.0,"3286,22000",19.398909269570915,-0.3161082222222223
1670983,79701000,385000000106,Республика Адыгея,21,5522.67,7087.57,08.08.2015,ИРД,3260.3,"2027,01000",2.173901174738521,-0.2833593171418896
1671880,79701000,385000000439,Республика Адыгея,21,5200.0,5200.0,19.10.2016,ИРД,1118.7,"526,69000",4.648252435863055,0.0
1671836,79701000,385000000429,Республика Адыгея,20,165850.0,165850.0,14.04.2015,ИРД,2791.2,"3205,70000",59.4188879335053,0.0
1671835,79701000,385000000429,Республика Адыгея,21,30097.48,30097.48,08.09.2016,ИРД,2791.2,"3205,70000",10.78298939524219,0.0
1671812,79701000,385000000425,Республика Адыгея,21,31600.0,31600.0,12.12.2016,ИРД,14275.0,"6799,60000",2.213660245183888,0.0
1671196,79701000,385000000319,Республика Адыгея,20,556810.8,556810.8,11.06.2015,ИРД,7645.4,"7336,71000",72.82951840322286,0.0
1671197,79701000,385000000319,Республика Адыгея,21,50000.0,50000.0,04.12.2015,ИРД,7645.4,"7336,71000",6.539880189394931,0.0
1671731,79701000,385000000410,Республика Адыгея,21,59000.0,59000.0,17.10.2016,ИРД,9141.72,"5999,00000",6.4539277072585906,0.0
1671343,79701000,385000000344,Республика Адыгея,21,28900.0,28900.0,01.12.2014,ИРД,4721.9,"0,00000",6.1204176284970035,0.0
1671699,79701000,385000000405,Республика Адыгея,20,49461.39,49461.39,21.04.2017,ИРД,3303.6,"464,26000",14.971966945150745,0.0
1671337,79701000,385000000343,Республика Адыгея,20,49900.0,49900.0,18.05.2017,ИРД,6208.51,"4800,00000",8.037355178617736,0.0
1671667,79701000,385000000400,Республика Адыгея,21,32000.0,32000.0,10.10.2015,ИРД,3053.0,"3286,22000",10.481493612839829,0.0
1671213,79701000,385000000321,Республика Адыгея,21,43500.0,43500.0,19.11.2015,ИРД,6226.7,"4826,88000",6.986043971927345,0.0
1671220,79701000,385000000321,Республика Адыгея,20,483380.0,483380.0,11.06.2015,ИРД,6226.7,"4826,88000",77.63020540575265,0.0
1671400,79701000,385000000353,Республика Адыгея,20,149191.13,149191.13,17.07.2018,ИРД,1558.8,"149,19000",95.70896202206826,0.0
1671380,79701000,385000000109,Республика Адыгея,20,72470.0,72470.0,31.03.2016,ИРД,936.7,"80,87000",77.3673534749653,0.0
1671378,79701000,385000000109,Республика Адыгея,21,8402.0,8402.0,02.08.2016,ИРД,936.7,"80,87000",8.96978755204441,0.0
1671365,79701000,385000000347,Республика Адыгея,20,49900.0,49900.0,18.05.2017,ИРД,6440.6,"4800,00000",7.747725367201813,0.0
1671363,79701000,385000000346,Республика Адыгея,21,45000.0,45000.0,15.11.2016,ИРД,5764.9,"4500,00000",7.805859598605354,0.0
1671715,79701000,385000000408,Республика Адыгея,20,49900.0,49900.0,18.05.2017,ИРД,2184.9,"1600,00000",22.838573847773354,0.0
1671606,79701000,385000000389,Республика Адыгея,21,45000.0,45000.0,19.12.2016,ИРД,8277.34,"4500,00000",5.436529126506825,0.0
1669320,79703000,385200000002,Республика Адыгея,21,1540.0,1540.0,13.11.2015,ИРД,4603.0,"199,99000",0.3345644145122746,0.0
1672044,79701000,385000000466,Республика Адыгея,20,90500.0,90500.0,27.04.2016,ИРД,4450.77,"2601,43000",20.33356026035944,0.0
