,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4383714,80703000,2368,Республика Башкортостан,74,19900.0,19900.0,31.01.2019,ИРД,11885.1,,1.6743653818646878,0.0
4459246,80701000,8113,Республика Башкортостан,74,40000.0,40000.0,29.12.2018,ИРД,4582.1,"46,78000",8.729621789135985,0.0
4459250,80701000,8113,Республика Башкортостан,52,6780.0,6780.0,29.12.2018,ИРД,4582.1,"46,78000",1.4796708932585494,0.0
4459329,80701000,16626,Республика Башкортостан,52,10515.0,10515.0,31.01.2019,ИРД,10116.8,,1.0393602720227741,0.0
4459330,80701000,16626,Республика Башкортостан,74,31898.0,31898.0,31.01.2019,ИРД,10116.8,,3.152973272180927,0.0
4459862,80701000,8136,Республика Башкортостан,74,20000.0,20000.0,29.12.2018,ИРД,3872.9,"26,74900",5.164088925611299,0.0
4459863,80701000,8136,Республика Башкортостан,52,6749.0,6749.0,29.12.2018,ИРД,3872.9,"26,74900",1.7426218079475329,0.0
4460050,80701000,7606,Республика Башкортостан,64,15300.0,15300.0,29.12.2018,ИРД,1569.1,"22,35654",9.750812567713977,0.0
4460051,80701000,7606,Республика Башкортостан,74,7056.54,7056.54,29.12.2018,ИРД,1569.1,"22,35654",4.497189471671659,0.0
4459232,80701000,8111,Республика Башкортостан,52,6789.0,6789.0,29.12.2018,ИРД,4551.8,"46,78900",1.491497868974911,0.0
4460263,80701000,19513,Республика Башкортостан,74,20000.0,20000.0,29.12.2018,ИРД,11212.8,"52,57800",1.783675799086758,0.0
4460270,80701000,19513,Республика Башкортостан,74,20000.0,20000.0,29.12.2018,ИРД,11212.8,"52,57800",1.783675799086758,0.0
4460271,80701000,19513,Республика Башкортостан,52,6289.0,6289.0,29.12.2018,ИРД,11212.8,"52,57800",0.5608768550228311,0.0
4460915,80701000,9548,Республика Башкортостан,74,19800.0,19800.0,29.12.2018,ИРД,10179.7,"53,58423",1.9450474964881086,0.0
4460916,80701000,9548,Республика Башкортостан,64,33784.23,33784.23,29.12.2018,ИРД,10179.7,"53,58423",3.318784443549417,0.0
4461236,80701000,8179,Республика Башкортостан,52,6560.0,6560.0,29.12.2018,ИРД,3117.1,"44,81800",2.1045202271341954,0.0
4461237,80701000,8179,Республика Башкортостан,74,38258.0,38258.0,29.12.2018,ИРД,3117.1,"44,81800",12.273587629527446,0.0
4461797,80701000,6745,Республика Башкортостан,52,2123.0,2123.0,29.12.2018,ИРД,972.4,"13,36600",2.1832579185520364,0.0
4461798,80701000,6745,Республика Башкортостан,74,11243.0,11243.0,29.12.2018,ИРД,972.4,"13,36600",11.562114356232003,0.0
4460264,80701000,19513,Республика Башкортостан,52,6289.0,6289.0,29.12.2018,ИРД,11212.8,"52,57800",0.5608768550228311,0.0
4461801,80701000,6746,Республика Башкортостан,52,2122.0,2122.0,29.12.2018,ИРД,941.5,"13,35000",2.2538502389803505,0.0
