,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6038424,81612000,126,Республика Бурятия,64,27516.39,0.0,29.12.2018,ИРД,1767.27,"0,00000",0.0,1.0
6055866,81701000,2321,Республика Бурятия,64,10005281.36,144459.74,19.04.2019,ИРД,13995.28,"3564,27194",10.322032856791717,0.9855616514116701
6049639,81650000,1575,Республика Бурятия,64,49941.0,3251.57,17.06.2019,ИРД,558.0,"12,36728",5.827186379928316,0.9348917722913037
6057995,81701000,2681,Республика Бурятия,64,3335191.45,335501.65,04.04.2019,ИРД,5583.0,"4428,68429",60.09343542898084,0.899405579850596
6053389,81701000,1991,Республика Бурятия,64,19721.68,2404.01,30.12.2016,ИРД,1350.8,"158,67312",1.7796935149541016,0.8781031839072533
6038567,81618000,146,Республика Бурятия,64,30039.62,4000.0,01.09.2016,ИРД,2056.1,"131,70848",1.945430669714508,0.8668425233075518
6040129,81622000,365,Республика Бурятия,64,34957.93,5164.52,15.12.2016,ИРД,2392.74,"257,40029",2.158412531240336,0.8522647078931733
6060705,81701000,3010,Республика Бурятия,64,88992.84,13156.37,17.06.2017,ИРД,6048.7,"813,55069",2.175073982839288,0.8521637246322289
6051094,81701000,1761,Республика Бурятия,64,89474.64,13414.87,15.12.2016,ИРД,6128.4,"734,88805",2.1889677566738466,0.8500707015976818
6043986,81627000,821,Республика Бурятия,64,19839.71,2997.13,15.08.2016,ИРД,1369.2,"1099,15593",2.188964358749635,0.8489327716987798
6065284,81701000,3673,Республика Бурятия,64,27749.49,4353.1,29.12.2017,ИРД,1199.2,"4,35310",3.630003335557038,0.8431286484904766
6044118,81630000,851,Республика Бурятия,64,11298.63,2660.08,19.04.2019,ИРД,1816.5,"108,75571",1.4643985686760252,0.7645661465151085
6045159,81633000,886,Республика Бурятия,64,7368.29,1915.75,19.04.2019,ИРД,675.37,"1010,09807",2.836593274797518,0.7400007328701774
6043445,81624000,409,Республика Бурятия,64,15449.26,4016.8,21.05.2019,ИРД,1124.4,"36,75933",3.5723941657773035,0.7400004919329469
6039996,81621000,290,Республика Бурятия,64,17898.19,4922.0,19.12.2019,ИРД,1127.8,"0,00000",4.364248980315659,0.7250001257110356
6048793,81648000,1449,Республика Бурятия,64,174891.63,48475.4,,ИРД,4132.6,"0,00000",11.73000048395683,0.722826072351204
6049702,81651000,1596,Республика Бурятия,64,8174.32,2273.57,11.04.2019,ИРД,1314.2,"136,92650",1.7300030436767615,0.7218643263292849
6049642,81650000,1575,Республика Бурятия,64,2165.04,606.21,17.06.2019,ИРД,558.0,"12,36728",1.0863978494623656,0.7200005542622769
6048786,81648000,1449,Республика Бурятия,64,318168.87,93272.78,,ИРД,4132.6,"0,00000",22.56999951604317,0.7068450474114579
6065904,81701000,3785,Республика Бурятия,64,152048.43,44936.32,29.12.2017,ИРД,6827.5,"5038,89275",6.581665324057122,0.704460480124655
6056946,81701000,2532,Республика Бурятия,64,41241.59,13758.19,14.06.2018,ИРД,1025.4,"510,88028",13.41738833625902,0.6664001072703549
6045047,81633000,876,Республика Бурятия,64,35264.93,12250.96,,ИРД,2032.97,"2200,05713",6.026139096986182,0.6526021744549046
6039464,81618000,184,Республика Бурятия,64,82431.6,28937.63,22.05.2019,ИРД,752.8,"39,12160",38.43999734325186,0.6489497959520378
6038644,81618000,214,Республика Бурятия,64,61890.5,21856.67,22.05.2019,ИРД,565.21,"39,92484",38.66999876152226,0.6468493549090734
6038654,81618000,216,Республика Бурятия,64,61133.85,21589.46,22.05.2019,ИРД,552.38,"70,69621",39.084434628335565,0.6468493314260431
6038688,81618000,220,Республика Бурятия,64,59458.5,21280.17,22.05.2019,ИРД,526.07,"71,84816",40.45121371680574,0.6421004566210046
6038663,81618000,217,Республика Бурятия,64,63838.5,23448.26,22.05.2019,ИРД,554.72,"74,35655",42.27044274588982,0.6326940639269407
6044941,81633000,857,Республика Бурятия,64,55225.69,20309.92,,ИРД,575.3,"20,30992",35.30318094907005,0.6322378226510162
6038672,81618000,218,Республика Бурятия,64,59294.25,22071.54,22.05.2019,ИРД,520.53,"73,48204",42.40205175494208,0.6277625570776255
6038624,81618000,213,Республика Бурятия,64,63323.85,23571.51,22.05.2019,ИРД,553.73,"85,01058",42.56859841438968,0.627762525493949
6041542,81624000,5664,Республика Бурятия,64,33514.13,12689.23,,ИРД,0.0,"891,29378",,0.6213767148363989
6049692,81651000,1596,Республика Бурятия,64,132339.94,52857.12,11.04.2019,ИРД,1314.2,"136,92650",40.219996956323236,0.6005958594208219
