,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5471643,8603000,300100010,Хабаровский край,20,158390.22,158390.22,09.01.2018,ИРД,7103.5,"641920,09000",22.29748996973323,0.0
5506023,8701000,100100890,Хабаровский край,20,50688.99,50688.99,,ИРД,884.7,"50689,00000",57.29511698880976,0.0
5506017,8701000,100100888,Хабаровский край,20,47934.81,47934.81,,ИРД,815.8,"47934,83000",58.758041186565336,0.0
5505992,8701000,100100886,Хабаровский край,20,43786.71,43786.71,,ИРД,842.6,"43789,71000",51.96618798955613,0.0
5505939,8701000,100100880,Хабаровский край,20,50891.0,50891.0,23.11.2018,ИРД,1127.8,"50891,00000",45.124135485015074,0.0
5505905,8701000,100100468,Хабаровский край,20,76834.52,76834.52,20.02.2017,ИРД,6167.8,"3369534,78000",12.457362430688415,0.0
5505883,8701000,100101888,Хабаровский край,20,69762.0,69762.0,15.11.2018,ИРД,4140.1,"1977014,88000",16.850317625178135,0.0
5506031,8701000,100100891,Хабаровский край,20,50735.0,50735.0,23.11.2018,ИРД,843.7,"50735,00000",60.13393386274742,0.0
5505876,8701000,100101888,Хабаровский край,20,105593.48,105593.48,08.11.2017,ИРД,4140.1,"1977014,88000",25.505055433443633,0.0
5505678,8701000,100100598,Хабаровский край,20,74371.86,74371.86,22.08.2017,ИРД,2097.6,"1478394,38000",35.455692219679634,0.0
5505469,8701000,100100586,Хабаровский край,20,45812.32,45812.32,10.08.2017,ИРД,3736.3,"2431986,98000",12.261413698043519,0.0
5505454,8701000,100100584,Хабаровский край,20,45243.56,45243.56,10.08.2017,ИРД,3415.3,"45243,56000",13.247316487570636,0.0
5505351,8701000,100101375,Хабаровский край,20,17082.0,17082.0,,ИРД,475.6,"17082,00000",35.91673675357443,0.0
5505345,8701000,100101374,Хабаровский край,20,39585.0,39585.0,10.08.2017,ИРД,1251.9,"312644,08000",31.61993769470405,0.0
5504704,8701000,100102022,Хабаровский край,20,33365.68,33365.68,10.08.2017,ИРД,1703.3,"1792117,92000",19.58884518288029,0.0
5505834,8701000,100101884,Хабаровский край,20,29900.02,29900.02,,ИРД,3837.3,"29900,02000",7.791942251061944,0.0
5504649,8701000,100101874,Хабаровский край,20,52796.74,52796.74,08.11.2017,ИРД,5107.3,"3580551,88000",10.337505139701994,0.0
5506210,8701000,100102701,Хабаровский край,20,69996.0,69996.0,,ИРД,6746.5,"69996,00000",10.375157489068405,0.0
