,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1926424,71920000,2041760656,Ямало-Ненецкий автономный округ,50,9918.0,176239.21,15.12.2017,ИРД,2293.8,"1678,42569",76.8328581393321,-16.769631982254484
1925896,71920000,2040800727,Ямало-Ненецкий автономный округ,50,15521.0,266901.0,26.12.2017,ИРД,973.5,"4078,14855",274.1664098613251,-16.196121383931448
1926240,71920000,2040980394,Ямало-Ненецкий автономный округ,50,38038.0,549000.0,25.12.2017,ИРД,4349.4,"13507,68832",126.22430680093807,-13.432935485567064
1926301,71920000,2040980401,Ямало-Ненецкий автономный округ,50,23012.0,226000.0,25.12.2017,ИРД,2909.3,"6012,79247",77.68191661224348,-8.820962975838693
1926626,71920000,2041760723,Ямало-Ненецкий автономный округ,50,6730.0,62646.57,11.12.2017,ИРД,1249.5,"780,25855",50.13731092436975,-8.308554234769687
1926107,71920000,2040980446,Ямало-Ненецкий автономный округ,50,9174.0,80000.0,04.12.2017,ИРД,3324.2,"89,17337",24.065940677456233,-7.7202964900806625
1921478,71916000,1615190078,Ямало-Ненецкий автономный округ,20,109610.0,376546.0,13.11.2016,ИРД,14864.0,"16771,95559",25.332750269106565,-2.435325244047076
1921505,71916000,1615190080,Ямало-Ненецкий автономный округ,21,83600.0,282253.0,05.08.2016,ИРД,5190.5,"5608,56734",54.378768904729796,-2.376232057416268
1917629,71958000,5800080684,Ямало-Ненецкий автономный округ,21,20630.0,35905.72,04.10.2016,ИРД,2310.52,"2642,28972",15.54010352647889,-0.7404614638875425
1928053,71928000,2841760058,Ямало-Ненецкий автономный округ,21,41902.0,59160.0,06.10.2016,ИРД,585.4,"1999,96900",101.05910488554835,-0.4118657820629087
1916232,71958000,5800080823,Ямало-Ненецкий автономный округ,20,22400.0,29798.68,04.10.2016,ИРД,2216.0,"2660,88547",13.447057761732852,-0.3302982142857143
1927936,71928000,2841760028,Ямало-Ненецкий автономный округ,21,45867.0,58300.0,06.10.2016,ИРД,177.3,"2189,21600",328.8212069937958,-0.27106634399459306
1909452,71955000,5500040024,Ямало-Ненецкий автономный округ,20,341629.0,411900.0,,ИРД,1642.4,"0,00000",250.79152459814904,-0.20569389600999916
1908225,71952000,5200000038,Ямало-Ненецкий автономный округ,20,102380.0,123000.0,04.08.2016,ИРД,1022.2,"102,00000",120.3287027978869,-0.2014065247118578
1909702,71955000,5500040165,Ямало-Ненецкий автономный округ,20,475685.0,561750.0,,ИРД,4120.0,"0,00000",136.34708737864077,-0.18092855566183505
1909632,71955000,5500040157,Ямало-Ненецкий автономный округ,20,473743.0,559160.0,,ИРД,4153.4,"0,00000",134.62705253527233,-0.18030240024654717
