,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5951893,87644000,8764400005736,-,2,,,,Инженерные системы,1864.8,,,
5951895,87644000,8764400005736,-,4,,,,Инженерные системы,1864.8,,,
5951896,87644000,8764400005736,-,4,,,,Инженерные системы,1864.8,,,
5951898,87644000,8764400005736,-,3,,,,Инженерные системы,1864.8,,,
5952121,87644000,8764400005722,-,5,,,,Инженерные системы,841.9,,,
5952124,87644000,8764400005722,-,3,,,,Инженерные системы,841.9,,,
5952125,87644000,8764400005722,-,4,,,,Инженерные системы,841.9,,,
5952126,87644000,8764400005722,-,4,,,,Инженерные системы,841.9,,,
5952220,87644000,8764400005749,-,2,,,,Инженерные системы,408.8,,,
5952222,87644000,8764400005749,-,3,,,,Инженерные системы,408.8,,,
5952223,87644000,8764400005749,-,5,,,,Инженерные системы,408.8,,,
5952224,87644000,8764400005749,-,4,,,,Инженерные системы,408.8,,,
5952228,87644000,8764400005749,-,4,,,,Инженерные системы,408.8,,,
5952365,87644000,8764400005755,-,3,,,,Инженерные системы,1667.6,,,
5952366,87644000,8764400005755,-,2,,,,Инженерные системы,1667.6,,,
5952367,87644000,8764400005755,-,4,,,,Инженерные системы,1667.6,,,
5952368,87644000,8764400005755,-,4,,,,Инженерные системы,1667.6,,,
6085556,53715000,1001712,-,54,,,,Инженерные системы,571.4,,,
6085557,53715000,1001712,-,53,,,,Инженерные системы,571.4,,,
6085558,53715000,1001712,-,5,,,,Инженерные системы,571.4,,,
6085559,53715000,1001712,-,28,,,,Инженерные системы,571.4,,,
6085562,53715000,1001712,-,3,,,,Инженерные системы,571.4,,,
6085564,53715000,1001712,-,2,,,,Инженерные системы,571.4,,,
