,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
311388,11701000,10538,Архангельская область,5,889655.73,0.0,,Инженерные системы,1984.8,"140,13540",0.0,1.0
287883,11715000,4655,Архангельская область,3,934972.96,0.0,15.11.2016,Инженерные системы,2569.8,"3492,90000",0.0,1.0
298748,11730000,15790,Архангельская область,5,620883.38,48910.45,25.11.2016,Инженерные системы,2780.3,"2084,00000",17.59178865590044,0.9212244173777048
310305,11701000,10462,Архангельская область,3,9261849.6,1171205.07,,Инженерные системы,5693.7,"119,60000",205.70192844723118,0.8735452290220734
263435,11614000,33687,Архангельская область,5,333401.19,48024.95,,Инженерные системы,313.4,"51,40000",153.23851308232292,0.8559544733478606
300479,11730000,16340,Архангельская область,3,10827353.6,1567726.48,13.09.2019,Инженерные системы,6372.4,"2934,10000",246.01821605674473,0.8552068642147237
296092,11730000,16236,Архангельская область,53,2349547.3,508653.86,,Инженерные системы,2790.1,"5246,90000",182.3066771800294,0.7835098446411358
310119,11701000,10260,Архангельская область,53,3030723.25,674728.97,,Инженерные системы,4185.7,"38,10000",161.19859760613517,0.7773703125153378
307841,11701000,11669,Архангельская область,53,4339407.99,984208.6,,Инженерные системы,3835.5,"1193,20000",256.60503193846955,0.7731928866176974
287918,11715000,4628,Архангельская область,53,1052054.0,244379.24,27.08.2018,Инженерные системы,2532.5,"2777,90000",96.49723198420533,0.7677122657202007
292393,11710000,3821,Архангельская область,3,342653.28,83971.32,,Инженерные системы,356.4,,235.60976430976436,0.7549379360968032
324320,11701000,14102,Архангельская область,53,2860523.6,711058.83,,Инженерные системы,2756.8,"43,10000",257.9290590539756,0.7514235400819625
299721,11730000,16156,Архангельская область,3,5776325.31,1444140.58,26.09.2019,Инженерные системы,3466.0,"4213,90000",416.65914021927296,0.7499897421809161
308740,11701000,13300,Архангельская область,53,2664621.13,677066.77,,Инженерные системы,2067.8,"3317,90000",327.43339297804425,0.7459050510494151
309874,11701000,10449,Архангельская область,53,1560544.44,399723.17,07.12.2016,Инженерные системы,4367.3,"458,60000",91.52638243308222,0.743856592767073
308483,11701000,13308,Архангельская область,53,1443535.62,377152.24,15.12.2016,Инженерные системы,3622.7,"6306,40000",104.10805200541033,0.7387302157462523
300353,11730000,16324,Архангельская область,54,1439000.0,396200.0,26.07.2016,Инженерные системы,5890.2,,67.26426946453431,0.7246699096594857
280061,11701000,10820,Архангельская область,53,1931028.39,536669.6,28.12.2016,Инженерные системы,4117.2,"5116,30000",130.34819780433304,0.7220809374014434
296489,11730000,15323,Архангельская область,53,1337307.39,384677.98,,Инженерные системы,2223.8,"5525,50000",172.9822735857541,0.7123488714139238
299833,11730000,16189,Архангельская область,53,1501297.78,436099.49,,Инженерные системы,3478.3,"6269,80000",125.37719288158007,0.709518327536593
304697,11701000,13991,Архангельская область,53,3408956.1,1068184.12,,Инженерные системы,6231.1,"7219,00000",171.42785703968804,0.6866536004966447
266934,11701000,12363,Архангельская область,53,2902365.61,911789.04,,Инженерные системы,3495.7,"163,30000",260.83160454272394,0.685846250087011
307860,11701000,11669,Архангельская область,54,1583946.44,512433.07,,Инженерные системы,3835.5,"1193,20000",133.6026776169991,0.6764833348784192
309423,11701000,13281,Архангельская область,53,839705.66,272532.35,04.07.2018,Инженерные системы,1646.2,"6930,90000",165.55239339083948,0.6754429998721219
286916,11708000,3008,Архангельская область,53,688677.63,229222.74,25.01.2018,Инженерные системы,3985.7,"6460,90000",57.51128785407833,0.6671552406893193
288997,11715000,4738,Архангельская область,54,1807270.5,610298.84,29.03.2019,Инженерные системы,3082.8,"6778,60000",197.96900220578692,0.6623090788014302
310453,11701000,10512,Архангельская область,53,1369287.62,463190.1,16.11.2016,Инженерные системы,4407.7,,105.08657576513828,0.6617291405877167
293792,11725000,4957,Архангельская область,3,4462562.31,1511523.49,,Инженерные системы,2201.4,"2024,30000",686.6191923321522,0.6612879809850767
298371,11730000,15708,Архангельская область,54,1431238.37,508253.0,30.04.2019,Инженерные системы,2206.2,"7352,40000",230.37485268787964,0.6448858480505941
288427,11715000,4771,Архангельская область,3,4950944.84,1773708.29,23.08.2019,Инженерные системы,2041.7,"5174,20000",868.7408972914728,0.6417434757766358
298276,11730000,15697,Архангельская область,54,994188.46,361793.41,,Инженерные системы,1789.3,"2842,20000",202.19829542279103,0.6360917224889133
287703,11715000,17252,Архангельская область,53,3145292.81,1159719.49,,Инженерные системы,3041.0,"11373,70000",381.3612265702072,0.631284093387795
309634,11701000,13276,Архангельская область,53,2405153.5,899216.95,,Инженерные системы,3511.5,"100,00000",256.0777303146803,0.6261290807426636
294154,11725000,5011,Архангельская область,3,5772410.6,2164663.01,06.09.2019,Инженерные системы,2202.7,"4880,80000",982.7316520633767,0.6249984347960279
291965,11710000,3693,Архангельская область,3,4971215.29,1895061.05,30.08.2019,Инженерные системы,2024.41,"4467,90000",936.1053590922787,0.6187932045888119
300340,11730000,16322,Архангельская область,3,21431485.0,8383819.67,,Инженерные системы,17226.4,"8449,60000",486.68437224260435,0.6088082711020725
300610,11730000,16362,Архангельская область,53,3718466.53,1466468.79,,Инженерные системы,3660.7,"4458,90000",400.59791569918326,0.6056253893456451
310114,11701000,10260,Архангельская область,54,2174683.0,858238.86,,Инженерные системы,4185.7,"38,10000",205.04070048020643,0.6053499015718613
287069,11708000,2896,Архангельская область,54,171753.79,68240.9,28.12.2016,Инженерные системы,985.1,"3313,70000",69.27306872398741,0.6026818389276883
298369,11730000,15708,Архангельская область,5,1014281.37,405157.78,30.04.2019,Инженерные системы,2206.2,"7352,40000",183.64508204151937,0.6005469567088667
296090,11730000,16236,Архангельская область,54,1685908.0,678072.59,,Инженерные системы,2790.1,"5246,90000",243.02805992616751,0.5977997672470858
295156,11730000,15595,Архангельская область,53,592342.2,240636.26,30.06.2015,Инженерные системы,3461.7,"1247,20000",69.51389779588064,0.5937546573585336
288344,11715000,4663,Архангельская область,3,5888752.28,2418714.93,,Инженерные системы,2827.8,"2645,40000",855.3345109272226,0.5892652950923587
308520,11701000,13297,Архангельская область,53,1172720.7,481738.51,07.11.2018,Инженерные системы,4171.9,"9655,50000",115.47220930511278,0.5892129217127318
306958,11701000,11857,Архангельская область,3,5313734.4,2183361.87,29.08.2019,Инженерные системы,2722.2,"3115,30000",802.0578465946662,0.5891097097363391
298269,11730000,15697,Архангельская область,53,1537528.62,632115.71,,Инженерные системы,1789.3,"2842,20000",353.2754205555245,0.5888754838267661
300495,11730000,16341,Архангельская область,53,3289384.76,1354132.55,,Инженерные системы,4058.9,"5904,40000",333.62057453989996,0.5883325762109993
288354,11715000,4665,Архангельская область,3,5825058.35,2409466.66,,Инженерные системы,2849.5,"5250,70000",845.575244779786,0.586361798418723
