,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6404670,27603000,612918,Калининградская область,31,3744.0,3744.0,28.08.2015,Инженерные системы,2279.0,,1.64282580078982,0.0
6457150,27701000,627246,Калининградская область,5,68559.45,68559.45,30.09.2015,Инженерные системы,796.2,,86.10832705350414,0.0
6457382,27701000,627303,Калининградская область,3,1465168.55,1465168.55,03.12.2015,Инженерные системы,1460.0,,1003.5401027397261,0.0
6457383,27701000,627303,Калининградская область,4,297679.03,297679.03,03.12.2015,Инженерные системы,1460.0,,203.88974657534249,0.0
6457384,27701000,627303,Калининградская область,5,184453.04,184453.04,03.12.2015,Инженерные системы,1460.0,,126.337698630137,0.0
6457841,27701000,622241,Калининградская область,4,829995.44,829995.44,27.11.2015,Инженерные системы,4790.4,,173.2622411489646,0.0
6458027,27618000,616398,Калининградская область,27,30118.49,30118.49,14.12.2016,Инженерные системы,689.5,,43.68163886874547,0.0
6457149,27701000,627246,Калининградская область,4,78509.68,78509.68,30.09.2015,Инженерные системы,796.2,,98.60547601105249,0.0
6458386,27618000,616442,Калининградская область,27,14757.19,14757.19,11.11.2016,Инженерные системы,356.0,,41.452780898876405,0.0
6458590,27618000,616476,Калининградская область,27,30118.49,30118.49,14.12.2016,Инженерные системы,94.2,,319.7291932059448,0.0
6458687,27618000,616492,Калининградская область,27,30118.49,30118.49,15.12.2016,Инженерные системы,344.0,,87.55375000000001,0.0
6459883,27711000,616682,Калининградская область,4,45042.72,45042.72,14.07.2016,Инженерные системы,300.0,,150.1424,0.0
6459884,27711000,616682,Калининградская область,27,11981.02,11981.02,14.07.2016,Инженерные системы,300.0,,39.936733333333336,0.0
6460254,27712000,616732,Калининградская область,28,31738.0,31738.0,,Инженерные системы,453.1,,70.04634738468329,0.0
6460258,27712000,616732,Калининградская область,27,7556.32,7556.32,22.09.2016,Инженерные системы,453.1,,16.676936658574263,0.0
6458387,27618000,616442,Калининградская область,4,56539.6,56539.6,10.07.2016,Инженерные системы,356.0,,158.8191011235955,0.0
6460260,27712000,616732,Калининградская область,4,44803.71,44803.71,22.09.2016,Инженерные системы,453.1,,98.88260869565217,0.0
6457068,27701000,627244,Калининградская область,4,70165.04,70165.04,10.09.2015,Инженерные системы,671.9,,104.42780175621371,0.0
6456837,27701000,627240,Калининградская область,3,1477749.19,1477749.19,09.11.2015,Инженерные системы,1687.2,,875.858931958274,0.0
6455366,27701000,627026,Калининградская область,28,2843.07,2843.07,,Инженерные системы,250.9,,11.33148664806696,0.0
6455384,27701000,627029,Калининградская область,28,2752.52,2752.52,,Инженерные системы,232.1,,11.85919862128393,0.0
6455411,27701000,627033,Калининградская область,28,2843.13,2843.13,,Инженерные системы,413.8,,6.870782986950218,0.0
6455423,27701000,627034,Калининградская область,28,2843.13,2843.13,,Инженерные системы,230.1,,12.356062581486311,0.0
6455594,27701000,627069,Калининградская область,28,2857.49,2857.49,,Инженерные системы,1053.5,,2.712377788324632,0.0
6455632,27701000,627076,Калининградская область,28,1831.41,1831.41,,Инженерные системы,393.6,,4.65297256097561,0.0
6457067,27701000,627244,Калининградская область,5,64919.1,64919.1,10.09.2015,Инженерные системы,671.9,,96.62018157463909,0.0
6455642,27701000,622765,Калининградская область,28,314758.0,314758.0,,Инженерные системы,2757.9,,114.12959135574168,0.0
6455788,27701000,627092,Калининградская область,28,5514.57,5514.57,,Инженерные системы,163.5,,33.728256880733944,0.0
6455822,27701000,627096,Калининградская область,28,5600.15,5600.15,,Инженерные системы,580.9,,9.640471681872956,0.0
6455826,27701000,627097,Калининградская область,28,4472.2,4472.2,,Инженерные системы,475.9,,9.397352384954823,0.0
6455842,27701000,627098,Калининградская область,28,3916.65,3916.65,,Инженерные системы,390.9,,10.019570222563317,0.0
6456835,27701000,627240,Калининградская область,5,89561.77,89561.77,09.11.2015,Инженерные системы,1687.2,,53.08307847321005,0.0
6456836,27701000,627240,Калининградская область,4,218677.51,218677.51,09.11.2015,Инженерные системы,1687.2,,129.60971431958274,0.0
6455666,27701000,627079,Калининградская область,28,2024.65,2024.65,,Инженерные системы,605.6,,3.3432133421400265,0.0
6460548,27712000,616793,Калининградская область,27,6587.39,6587.39,04.09.2015,Инженерные системы,208.7,,31.563919501677052,0.0
6461145,27621000,616983,Калининградская область,25,83327.17,83327.17,24.01.2017,Инженерные системы,1090.9,,76.38387569896415,0.0
