,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1701194,49625000,2236,Новгородская область,5,47244.03,251040.0,29.10.2015,Инженерные системы,528.6,"251,04000",474.9148694665153,-4.313687253183101
1701177,49625000,2224,Новгородская область,5,51320.48,224180.0,06.11.2015,Инженерные системы,438.0,"224,18000",511.82648401826486,-3.368236618207779
1701188,49625000,2232,Новгородская область,5,46420.46,202494.0,29.10.2015,Инженерные системы,523.6,"202,49400",386.7341482047364,-3.3621713356567344
1701187,49625000,2231,Новгородская область,5,106180.77,361965.0,26.11.2015,Инженерные системы,690.3,"361,97000",524.3589743589744,-2.408950603767518
1701161,49625000,2218,Новгородская область,5,100707.58,257798.0,20.11.2015,Инженерные системы,706.1,"420,20000",365.1012604446962,-1.559866893832619
1682146,49608000,1004,Новгородская область,4,435031.35,1073077.3,,Инженерные системы,2449.4,"1851,69000",438.098024005879,-1.4666665977061195
1701183,49625000,2227,Новгородская область,5,97468.35,224180.0,13.11.2015,Инженерные системы,867.8,"1722,93000",258.3314127679189,-1.3000286759753292
1701192,49625000,2234,Новгородская область,5,157299.57,336062.0,30.11.2015,Инженерные системы,1473.8,"336,06200",228.02415524494504,-1.1364457639648982
1694025,49701000,5319,Новгородская область,4,494203.5,758497.05,,Инженерные системы,3427.86,"3050,46000",221.27422065078505,-0.5347868843502728
1701179,49625000,2225,Новгородская область,4,79169.41,112927.0,14.12.2015,Инженерные системы,528.1,"134,26149",213.83639462223064,-0.4263968873836498
1691514,49701000,4980,Новгородская область,3,2245308.6,3167251.33,,Инженерные системы,3351.7,"0,00000",944.9686218933676,-0.4106084704792918
1701184,49625000,2228,Новгородская область,4,84321.15,116250.92,14.12.2015,Инженерные системы,852.4,"146,46092",136.38071328015016,-0.3786685784052993
