,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4372560,54629000,40726,Орловская область,31,16844.0,0.0,25.11.2015,Инженерные системы,744.6,"2782,93542",0.0,1.0
4347322,54705000,44053,Орловская область,3,493384.22,0.0,06.11.2014,Инженерные системы,4139.2,"0,00000",0.0,1.0
4348383,54710000,42432,Орловская область,5,83913.0,0.0,01.11.2014,Инженерные системы,1931.61,"0,00000",0.0,1.0
4359485,54701000,42774,Орловская область,27,19205.0,0.0,05.11.2014,Инженерные системы,1948.0,"0,00000",0.0,1.0
4359488,54701000,42774,Орловская область,25,316881.0,0.0,05.11.2014,Инженерные системы,1948.0,"0,00000",0.0,1.0
4361756,54701000,43140,Орловская область,3,9937948.0,0.0,31.10.2014,Инженерные системы,22000.8,"4676,85748",0.0,1.0
4365529,54701000,43667,Орловская область,4,245986.0,0.0,28.10.2014,Инженерные системы,1269.6,"0,00000",0.0,1.0
4365530,54701000,43667,Орловская область,5,43211.0,0.0,28.10.2014,Инженерные системы,1269.6,"0,00000",0.0,1.0
4369851,54623000,40452,Орловская область,5,91075.0,0.0,01.10.2014,Инженерные системы,785.3,"0,00000",0.0,1.0
4347324,54705000,44053,Орловская область,27,46600.0,0.0,06.11.2014,Инженерные системы,4139.2,"0,00000",0.0,1.0
4373273,54632000,40766,Орловская область,5,10044.0,0.0,18.08.2014,Инженерные системы,775.7,"0,00000",0.0,1.0
4373279,54632000,40768,Орловская область,31,22694.0,0.0,29.09.2016,Инженерные системы,332.4,"1820,44564",0.0,1.0
4374038,54636000,44414,Орловская область,5,119637.0,0.0,01.10.2014,Инженерные системы,658.6,"0,00000",0.0,1.0
4376493,54647000,41315,Орловская область,4,152310.0,0.0,01.11.2014,Инженерные системы,646.0,"0,00000",0.0,1.0
4382100,54655000,44610,Орловская область,31,10777.0,0.0,16.10.2015,Инженерные системы,511.8,"1495,14939",0.0,1.0
4383247,54659000,41763,Орловская область,4,83170.0,0.0,28.10.2014,Инженерные системы,777.0,"0,00000",0.0,1.0
4383249,54659000,41763,Орловская область,27,47530.0,6879.0,28.10.2014,Инженерные системы,777.0,"0,00000",8.853281853281853,0.8552703555649064
4372104,54629000,40669,Орловская область,4,346768.0,81603.0,01.10.2014,Инженерные системы,1004.05,"0,00000",81.27384094417609,0.7646755179255295
4343535,54608000,44182,Орловская область,4,43443.0,10313.0,11.09.2014,Инженерные системы,423.7,"0,00000",24.340335142789712,0.7626084754736091
4361769,54701000,43140,Орловская область,25,1018034.0,312557.0,31.10.2014,Инженерные системы,22000.8,"4676,85748",14.206619759281482,0.6929798022462904
4361768,54701000,43140,Орловская область,26,436300.0,165958.0,31.10.2014,Инженерные системы,22000.8,"4676,85748",7.543271153776226,0.6196241118496447
4367714,54612000,40273,Орловская область,27,106594.0,42210.0,28.10.2014,Инженерные системы,868.4,"0,00000",48.60663288807002,0.6040114828226729
4379964,54652000,44421,Орловская область,27,7500.0,2979.0,28.10.2014,Инженерные системы,1107.1,"0,00000",2.6908138379550177,0.6028
4375808,54647000,41132,Орловская область,4,235676.0,96456.0,01.11.2014,Инженерные системы,1586.0,"0,00000",60.817150063051706,0.5907262512941496
4359484,54701000,42774,Орловская область,4,310156.0,128400.0,05.11.2014,Инженерные системы,1948.0,"0,00000",65.91375770020534,0.5860147796592683
4343529,54608000,44182,Орловская область,27,12800.0,5445.0,11.09.2014,Инженерные системы,423.7,"0,00000",12.851073873023365,0.574609375
4367712,54612000,40273,Орловская область,4,369263.0,179047.0,28.10.2014,Инженерные системы,868.4,"0,00000",206.1803316444035,0.5151233673560579
4349855,54710000,42590,Орловская область,27,25809.0,12803.0,01.11.2014,Инженерные системы,3645.8,"244,42800",3.5117121070821216,0.5039327366422566
4376398,54647000,44283,Орловская область,4,264865.0,136826.0,26.09.2014,Инженерные системы,932.3,"0,00000",146.76177196181487,0.48341230438147736
4382394,54657000,41686,Орловская область,27,16848.0,8741.44,25.10.2014,Инженерные системы,766.0,"0,00000",11.411801566579635,0.48115859449192777
4361759,54701000,43140,Орловская область,4,5819992.0,3020328.0,31.10.2014,Инженерные системы,22000.8,"4676,85748",137.28264426748117,0.48104258562554725
4374037,54636000,44414,Орловская область,27,10000.0,5206.0,01.10.2014,Инженерные системы,658.6,"0,00000",7.90464621925296,0.4794
4367895,54615000,40287,Орловская область,4,431302.0,224778.29,17.09.2014,Инженерные системы,1131.8,"0,00000",198.60248277080757,0.4788378212945917
