,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6395512,85605000,801011,Республика Калмыкия,2,,,,Инженерные системы,940.9,,,
6395516,85605000,801012,Республика Калмыкия,2,,,,Инженерные системы,740.78,,,
6395521,85605000,801013,Республика Калмыкия,2,,,,Инженерные системы,625.5,,,
6395524,85605000,801014,Республика Калмыкия,2,,,,Инженерные системы,817.55,,,
6395530,85605000,801015,Республика Калмыкия,2,,,,Инженерные системы,611.52,,,
6395538,85605000,801016,Республика Калмыкия,2,,,,Инженерные системы,625.58,,,
6395543,85605000,801017,Республика Калмыкия,2,,,,Инженерные системы,629.55,,,
6395544,85605000,801018,Республика Калмыкия,2,,,,Инженерные системы,609.23,,,
6395554,85605000,801019,Республика Калмыкия,2,,,,Инженерные системы,646.5,,,
6395558,85605000,8010110,Республика Калмыкия,2,,,,Инженерные системы,627.74,,,
6395563,85605000,8010111,Республика Калмыкия,2,,,,Инженерные системы,672.69,,,
6395568,85605000,8010112,Республика Калмыкия,2,,,,Инженерные системы,601.16,,,
6395576,85605000,8010113,Республика Калмыкия,2,,,,Инженерные системы,620.65,,,
6395581,85605000,8010114,Республика Калмыкия,2,,,,Инженерные системы,789.53,,,
6395586,85605000,8010115,Республика Калмыкия,2,,,,Инженерные системы,631.79,,,
6395590,85605000,8010116,Республика Калмыкия,2,,,,Инженерные системы,772.23,,,
6395595,85605000,8010117,Республика Калмыкия,2,,,,Инженерные системы,621.43,,,
6395599,85605000,8010118,Республика Калмыкия,2,,,,Инженерные системы,797.45,,,
6395605,85605000,8010119,Республика Калмыкия,2,,,,Инженерные системы,503.43,,,
6395608,85605000,8010120,Республика Калмыкия,2,,,,Инженерные системы,926.03,,,
6395618,85605000,8010121,Республика Калмыкия,2,,,,Инженерные системы,791.28,,,
6395620,85605000,8010122,Республика Калмыкия,2,,,,Инженерные системы,640.82,,,
6395627,85605000,8010123,Республика Калмыкия,2,,,,Инженерные системы,617.82,,,
6395631,85605000,8010124,Республика Калмыкия,2,,,,Инженерные системы,645.9,,,
6395641,85605000,8010125,Республика Калмыкия,2,,,,Инженерные системы,640.75,,,
6395646,85605000,8010126,Республика Калмыкия,2,,,,Инженерные системы,770.14,,,
6395648,85605000,8010127,Республика Калмыкия,2,,,,Инженерные системы,621.66,,,
6395655,85605000,8010128,Республика Калмыкия,2,,,,Инженерные системы,939.6,,,
6395661,85605000,8010129,Республика Калмыкия,2,,,,Инженерные системы,783.21,,,
6395666,85605000,8010130,Республика Калмыкия,2,,,,Инженерные системы,802.87,,,
6395669,85605000,8010131,Республика Калмыкия,2,,,,Инженерные системы,309.32,,,
6395677,85605000,8010132,Республика Калмыкия,2,,,,Инженерные системы,302.13,,,
6395682,85605000,8010133,Республика Калмыкия,2,,,,Инженерные системы,918.78,,,
6395692,85605000,8010134,Республика Калмыкия,2,,,,Инженерные системы,607.9,,,
6395693,85605000,8010135,Республика Калмыкия,2,,,,Инженерные системы,616.29,,,
6395700,85605000,8010136,Республика Калмыкия,2,,,,Инженерные системы,608.2,,,
6395710,85605000,8010137,Республика Калмыкия,2,,,,Инженерные системы,607.91,,,
6395715,85605000,8010138,Республика Калмыкия,2,,,,Инженерные системы,606.2,,,
6395717,85605000,8010139,Республика Калмыкия,2,,,,Инженерные системы,612.08,,,
6395723,85605000,8010140,Республика Калмыкия,2,,,,Инженерные системы,608.79,,,
6395730,85605000,8010141,Республика Калмыкия,2,,,,Инженерные системы,606.3,,,
6395735,85605000,8010142,Республика Калмыкия,2,,,,Инженерные системы,591.6,,,
6395739,85605000,8010143,Республика Калмыкия,2,,,,Инженерные системы,628.65,,,
6395746,85605000,8010144,Республика Калмыкия,2,,,,Инженерные системы,606.4,,,
6395749,85605000,8010145,Республика Калмыкия,2,,,,Инженерные системы,624.15,,,
6395756,85605000,8010146,Республика Калмыкия,2,,,,Инженерные системы,925.54,,,
6395763,85605000,8010147,Республика Калмыкия,2,,,,Инженерные системы,910.84,,,
6395768,85605000,8010148,Республика Калмыкия,2,,,,Инженерные системы,300.9,,,
6395772,85605000,8010149,Республика Калмыкия,2,,,,Инженерные системы,296.57,,,
6395782,85605000,8010150,Республика Калмыкия,2,,,,Инженерные системы,302.4,,,
6395786,85605000,8010151,Республика Калмыкия,2,,,,Инженерные системы,865.9,,,
6395790,85605000,8010152,Республика Калмыкия,2,,,,Инженерные системы,714.84,,,
6395796,85605000,8010153,Республика Калмыкия,2,,,,Инженерные системы,303.48,,,
6395799,85605000,8010154,Республика Калмыкия,2,,,,Инженерные системы,287.42,,,
6395806,85605000,8010155,Республика Калмыкия,2,,,,Инженерные системы,315.33,,,
6395815,85605000,8010156,Республика Калмыкия,2,,,,Инженерные системы,312.7,,,
6395819,85605000,8010157,Республика Калмыкия,2,,,,Инженерные системы,488.67,,,
6395823,85605000,8010158,Республика Калмыкия,2,,,,Инженерные системы,237.59,,,
6395832,85605000,8010159,Республика Калмыкия,2,,,,Инженерные системы,231.73,,,
6395833,85605000,8010160,Республика Калмыкия,2,,,,Инженерные системы,556.89,,,
6395842,85605000,8010161,Республика Калмыкия,2,,,,Инженерные системы,592.64,,,
6395845,85605000,8010162,Республика Калмыкия,2,,,,Инженерные системы,298.56,,,
6395849,85605000,8010163,Республика Калмыкия,2,,,,Инженерные системы,475.72,,,
6395856,85605000,8010164,Республика Калмыкия,2,,,,Инженерные системы,302.11,,,
6395863,85605000,8010165,Республика Калмыкия,2,,,,Инженерные системы,306.38,,,
6395868,85605000,8010166,Республика Калмыкия,2,,,,Инженерные системы,235.31,,,
6395871,85605000,8010167,Республика Калмыкия,2,,,,Инженерные системы,309.23,,,
6395875,85605000,8010168,Республика Калмыкия,2,,,,Инженерные системы,295.24,,,
6395883,85605000,8010169,Республика Калмыкия,2,,,,Инженерные системы,302.81,,,
6395889,85605000,8010170,Республика Калмыкия,2,,,,Инженерные системы,297.57,,,
6395893,85605000,8010171,Республика Калмыкия,2,,,,Инженерные системы,310.52,,,
6395900,85605000,8010172,Республика Калмыкия,2,,,,Инженерные системы,305.68,,,
6395907,85605000,8010173,Республика Калмыкия,2,,,,Инженерные системы,317.25,,,
6395913,85605000,8010174,Республика Калмыкия,2,,,,Инженерные системы,945.05,,,
6395917,85605000,8010175,Республика Калмыкия,2,,,,Инженерные системы,437.15,,,
6395923,85605000,8010176,Республика Калмыкия,2,,,,Инженерные системы,531.3,,,
6395926,85605000,8010177,Республика Калмыкия,2,,,,Инженерные системы,309.36,,,
6395934,85605000,8010178,Республика Калмыкия,2,,,,Инженерные системы,317.59,,,
6395937,85605000,8010179,Республика Калмыкия,2,,,,Инженерные системы,421.27,,,
6395942,85605000,8010180,Республика Калмыкия,2,,,,Инженерные системы,445.62,,,
6395950,85605000,8010181,Республика Калмыкия,2,,,,Инженерные системы,447.4,,,
6395955,85605000,8010183,Республика Калмыкия,2,,,,Инженерные системы,409.26,,,
6395961,85605000,8010184,Республика Калмыкия,2,,,,Инженерные системы,1238.35,,,
6395962,85605000,8010185,Республика Калмыкия,2,,,,Инженерные системы,441.56,,,
6395967,85605000,8010186,Республика Калмыкия,2,,,,Инженерные системы,782.51,,,
6395973,85605000,8010186,Республика Калмыкия,31,,,,Инженерные системы,782.51,,,
6395978,85605000,8010187,Республика Калмыкия,2,,,,Инженерные системы,416.07,,,
6395982,85605000,8010188,Республика Калмыкия,2,,,,Инженерные системы,420.42,,,
6395988,85605000,8010189,Республика Калмыкия,2,,,,Инженерные системы,305.34,,,
6395991,85605000,8010190,Республика Калмыкия,2,,,,Инженерные системы,279.27,,,
6395999,85605000,8010191,Республика Калмыкия,2,,,,Инженерные системы,314.15,,,
6396002,85610000,802011,Республика Калмыкия,3,,,,Инженерные системы,1003.79,,,
6396004,85610000,802011,Республика Калмыкия,31,,,,Инженерные системы,1003.79,,,
