,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5571242,71701000,76682,Тюменская область,5,7614.32,66885.6,28.12.2018,Инженерные системы,412.7,"2432,58995",162.06833050642115,-7.7841855871568315
5571240,71701000,76682,Тюменская область,3,52854.5,330894.0,21.12.2018,Инженерные системы,412.7,"2432,58995",801.7785316210322,-5.260469780245769
5571448,71701000,79661,Тюменская область,3,67446.29,408128.92,10.09.2018,Инженерные системы,562.1,"1706,72000",726.0788471802169,-5.051169308200644
5584027,71701000,96589,Тюменская область,2,118668.78,582440.0,10.10.2017,Инженерные системы,3498.2,"1036,23477",166.49705562860902,-3.9081148386289972
5571116,71701000,27075,Тюменская область,4,31332.65,116133.8,21.12.2016,Инженерные системы,832.3,"2760,41731",139.53358164123514,-2.7064787051206967
5576358,71701000,37880,Тюменская область,4,145023.78,516220.0,24.12.2018,Инженерные системы,944.4,"3556,47099",546.6116052520118,-2.5595541641515616
5579871,71701000,27066,Тюменская область,5,9572.09,33810.1,27.11.2018,Инженерные системы,330.3,"2022,71615",102.36179231002119,-2.532154419776663
5576878,71701000,27029,Тюменская область,4,72544.23,238830.6,21.12.2016,Инженерные системы,667.9,"1994,10513",357.5843689175026,-2.2922066992784953
5559539,71715000,10235,Тюменская область,3,143254.97,467809.99,25.09.2018,Инженерные системы,435.1,"2108,30599",1075.178096989198,-2.2655759866481424
5576359,71701000,37880,Тюменская область,3,228126.52,739870.0,24.12.2018,Инженерные системы,944.4,"3556,47099",783.4286319356205,-2.2432441436445005
5576833,71701000,84023,Тюменская область,5,259321.14,828030.0,07.06.2017,Инженерные системы,2643.38,"7535,90019",313.24667660343954,-2.193067869437871
5558160,71715000,7822,Тюменская область,3,119343.46,369661.6,12.10.2018,Инженерные системы,469.5,"1010,95269",787.3516506922257,-2.0974600535295354
5580969,71701000,37896,Тюменская область,5,83535.46,243347.15,07.12.2018,Инженерные системы,1543.29,"6688,89733",157.68076641460775,-1.913100017645201
5559538,71715000,10235,Тюменская область,4,85518.73,235159.97,25.09.2018,Инженерные системы,435.1,"2108,30599",540.473385428637,-1.7498066213097412
5576357,71701000,37880,Тюменская область,5,37769.96,99530.0,24.12.2018,Инженерные системы,944.4,"3556,47099",105.38966539601864,-1.6351629707841895
5585074,71701000,96593,Тюменская область,3,145941.64,367060.0,18.10.2018,Инженерные системы,2917.2,"457,25160",125.82613464966407,-1.5151149459468864
5580970,71701000,37896,Тюменская область,4,381348.71,952792.1,07.12.2018,Инженерные системы,1543.29,"6688,89733",617.3772265743962,-1.4984799345459956
5559537,71715000,10235,Тюменская область,5,41230.89,102960.18,25.09.2018,Инженерные системы,435.1,"2108,30599",236.63566996092848,-1.4971612303299782
5576866,71701000,27056,Тюменская область,4,40260.12,94794.84,21.12.2016,Инженерные системы,684.0,"2453,62927",138.58894736842106,-1.3545593008664651
5581227,71701000,26990,Тюменская область,3,178543.49,417850.0,16.11.2018,Инженерные системы,344.4,"2204,30242",1213.2694541231128,-1.340326158069387
5562606,71701000,30935,Тюменская область,3,778894.28,1776120.6,30.05.2018,Инженерные системы,3622.7,"8146,69582",490.2753747205124,-1.2803102367114572
5581250,71701000,96552,Тюменская область,3,981639.3,2234960.0,10.11.2017,Инженерные системы,3634.3,"8009,05802",614.9629914976749,-1.2767629617110887
5579872,71701000,27066,Тюменская область,4,69829.0,155846.85,27.11.2018,Инженерные системы,330.3,"2022,71615",471.8342415985468,-1.231835627031749
5593814,71701000,97207,Тюменская область,3,736248.48,1622840.7,17.10.2018,Инженерные системы,3824.9,"8712,90949",424.283170801851,-1.2042024453483422
5589015,71701000,33133,Тюменская область,3,1174570.61,2539837.0,28.12.2018,Инженерные системы,3446.5,"8005,42231",736.932250108806,-1.1623536110783494
5571241,71701000,76682,Тюменская область,4,121106.28,255471.0,21.12.2018,Инженерные системы,412.7,"2432,58995",619.0235037557549,-1.1094777248545657
5557111,71710000,8638,Тюменская область,4,41424.88,85410.72,10.11.2016,Инженерные системы,455.3,"2773,16644",187.5921809795739,-1.0618217843962374
5606707,71644000,6182,Тюменская область,3,874297.4,1766113.0,03.10.2016,Инженерные системы,956.84,"5298,32771",1845.7767233811294,-1.020036889049424
5560102,71715000,11818,Тюменская область,3,119663.09,238619.49,12.10.2018,Инженерные системы,586.9,"387,39061",406.57606065769295,-0.9940943360229123
5606744,71644000,6191,Тюменская область,3,753597.56,1455003.15,03.10.2016,Инженерные системы,962.0,"5303,83842",1512.4772869022868,-0.9307429153565728
5606441,71644000,5640,Тюменская область,3,649324.5,1245668.0,13.12.2016,Инженерные системы,1757.07,"3849,40109",708.9461432953724,-0.9184059742085814
5580020,71701000,31728,Тюменская область,4,1381821.33,2522250.0,13.09.2018,Инженерные системы,4232.2,"10752,53841",595.9666367373943,-0.8253083414192194
5599768,71626000,16547,Тюменская область,5,49358.22,87808.52,15.09.2017,Инженерные системы,603.3,"1252,73032",145.5470246974971,-0.7790049965335055
5594380,71701000,38031,Тюменская область,5,338721.25,600540.0,22.05.2017,Инженерные системы,2771.25,"10867,61010",216.70365358592693,-0.772962280931592
5574679,71701000,85030,Тюменская область,4,92121.41,162070.0,04.08.2017,Инженерные системы,1246.5,"2459,21958",130.02005615724028,-0.7593087209585697
5544264,71615000,4734,Тюменская область,3,354692.7,616160.0,,Инженерные системы,1312.0,"674,45320",469.6341463414634,-0.7371657212003517
5560067,71715000,11641,Тюменская область,5,65352.14,110327.03,14.09.2018,Инженерные системы,804.8,"2851,39133",137.08626988071572,-0.6881930721778965
5593950,71701000,83259,Тюменская область,4,1165467.23,1959120.9,09.11.2018,Инженерные системы,889.7,"5479,96447",2202.00168596156,-0.6809746765681262
5558164,71715000,7822,Тюменская область,4,51992.65,86830.67,12.10.2018,Инженерные системы,469.5,"1010,95269",184.9428541001065,-0.6700566330048573
5578313,71701000,28761,Тюменская область,3,1992758.56,3317349.9,27.12.2018,Инженерные системы,10465.12,"15021,29595",316.99109995872,-0.6647023711693402
5569797,71701000,78774,Тюменская область,4,258597.5,427779.8,20.04.2017,Инженерные системы,1198.4,"3205,19544",356.9591121495327,-0.654230222643297
5580019,71701000,31728,Тюменская область,3,1791989.84,2900450.0,13.09.2018,Инженерные системы,4232.2,"10752,53841",685.3291432351969,-0.6185638641790513
