,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3431157,97710000,1316,Чувашская Республика,4,300219.63,633696.1,,Инженерные системы,671.2,"492,33000",944.124106078665,-1.1107750349302608
3450157,97713000,2677,Чувашская Республика,3,446795.43,689424.18,,Инженерные системы,299.26,,2303.763215932634,-0.5430421479467685
3450193,97713000,2682,Чувашская Республика,3,773525.82,1179357.41,,Инженерные системы,546.78,,2156.9139507663044,-0.5246516399413791
3448101,97701000,1204,Чувашская Республика,4,1433436.91,1933663.35,,Инженерные системы,3336.6,,579.5310645567345,-0.3489699731535448
3448093,97701000,1203,Чувашская Республика,4,1442573.82,1932830.75,,Инженерные системы,3278.7,,589.511315460396,-0.33984876420396976
3435706,97701000,1209,Чувашская Республика,4,3600760.05,4784841.23,,Инженерные системы,8379.7,,571.003882000549,-0.32884201211908043
3448066,97701000,1194,Чувашская Республика,4,2177782.5,2878349.06,,Инженерные системы,4975.25,,578.5335530877845,-0.3216880289927943
3448109,97701000,1205,Чувашская Республика,4,2912366.02,3842894.39,,Инженерные системы,6746.4,,569.6214855330251,-0.31950941729501436
3448196,97701000,1195,Чувашская Республика,4,2188049.5,2865008.06,,Инженерные системы,5075.0,,564.5336078817734,-0.30938905175591325
3447656,97701000,1188,Чувашская Республика,4,2199302.33,2865259.44,,Инженерные системы,5095.5,,562.3117338828378,-0.30280380324063944
3438057,97701000,294,Чувашская Республика,4,2202524.29,2857632.77,,Инженерные системы,5065.8,,564.1029590587864,-0.2974353031993123
3447677,97701000,1191,Чувашская Республика,4,2227145.86,2850926.92,,Инженерные системы,5165.5,,551.9169335011131,-0.28008091935208956
3435761,97701000,1213,Чувашская Республика,4,4386774.76,5604911.47,,Инженерные системы,10197.7,,549.6250595722564,-0.277683896859113
3430330,97710000,1323,Чувашская Республика,4,1475851.41,1775145.5,,Инженерные системы,3366.9,"3743,93000",527.2343995960675,-0.20279418915214514
3450617,97713000,2694,Чувашская Республика,3,1774456.38,2084694.12,,Инженерные системы,1196.82,"2679,02000",1741.8610317340956,-0.17483537127015783
3430323,97710000,1322,Чувашская Республика,4,1508888.55,1739142.23,,Инженерные системы,3391.3,"2787,27000",512.8246483649338,-0.15259820216675377
3429937,97710000,1329,Чувашская Республика,4,1492057.4,1715841.53,,Инженерные системы,3412.0,"1827,06000",502.88438745603753,-0.14998359312450052
3430345,97710000,6632,Чувашская Республика,4,1504656.72,1714871.29,,Инженерные системы,3357.1,"2008,73000",510.8192457776057,-0.1397093218711043
3432221,97710000,6696,Чувашская Республика,4,2170785.55,2455328.89,,Инженерные системы,5001.7,,490.8988723833897,-0.1310785121082091
3437016,97701000,2183,Чувашская Республика,4,1605980.24,1729329.85,,Инженерные системы,3645.8,"3453,14000",474.3348099182621,-0.07680643069431546
3430375,97710000,6635,Чувашская Республика,4,2445662.27,2562203.56,,Инженерные системы,5573.7,"2974,84000",459.695276028491,-0.04765224186085188
3430083,97710000,1319,Чувашская Республика,4,2482065.65,2541126.07,,Инженерные системы,5530.5,"1646,72000",459.47492450953797,-0.023794866183334002
3441722,97701000,1777,Чувашская Республика,3,1334987.03,1334987.03,14.07.2016,Инженерные системы,1822.7,"2841,17000",732.422795852307,0.0
3441723,97701000,1777,Чувашская Республика,4,344478.5,344478.5,23.12.2016,Инженерные системы,1822.7,"2841,17000",188.99352608767214,0.0
3441727,97701000,1777,Чувашская Республика,5,291559.04,291559.04,23.12.2016,Инженерные системы,1822.7,"2841,17000",159.9599714708948,0.0
3442033,97701000,1783,Чувашская Республика,3,2126255.07,2126255.07,23.06.2016,Инженерные системы,3012.8,"4312,76000",705.7405304036112,0.0
3442039,97701000,1784,Чувашская Республика,2,318671.0,318671.0,21.10.2015,Инженерные системы,1440.7,"1298,11000",221.19178177274935,0.0
3442040,97701000,1784,Чувашская Республика,4,185760.57,185760.57,09.07.2015,Инженерные системы,1440.7,"1298,11000",128.9377177760811,0.0
3442042,97701000,1784,Чувашская Республика,5,107058.24,107058.24,09.07.2015,Инженерные системы,1440.7,"1298,11000",74.30987714305546,0.0
3442045,97701000,1784,Чувашская Республика,4,260489.88,260489.88,09.07.2015,Инженерные системы,1440.7,"1298,11000",180.80785729159436,0.0
3442103,97701000,1792,Чувашская Республика,4,313755.56,313755.56,31.12.2015,Инженерные системы,3143.67,"5450,50000",99.80550121354976,0.0
3441700,97701000,1773,Чувашская Республика,3,1901906.0,1901906.0,31.12.2015,Инженерные системы,3331.0,"4915,46000",570.9714800360252,0.0
3441699,97701000,1773,Чувашская Республика,5,297253.0,297253.0,08.07.2015,Инженерные системы,3331.0,"4915,46000",89.23836685679976,0.0
3441721,97701000,1777,Чувашская Республика,4,450954.96,450954.96,14.07.2016,Инженерные системы,1822.7,"2841,17000",247.4104131233884,0.0
3441702,97701000,1774,Чувашская Республика,5,237834.6,237834.6,27.07.2015,Инженерные системы,2234.7,"959,55000",106.42797690965232,0.0
3421230,97704000,5042,Чувашская Республика,5,494479.65,494479.65,20.07.2016,Инженерные системы,3443.86,"2060,37000",143.5829708524737,0.0
3441693,97701000,1773,Чувашская Республика,2,385553.0,385553.0,21.10.2015,Инженерные системы,3331.0,"4915,46000",115.74692284599219,0.0
3441534,97701000,1762,Чувашская Республика,3,1390774.62,1390774.62,23.06.2016,Инженерные системы,2015.68,"2731,45000",689.9778833941896,0.0
3441540,97701000,1634,Чувашская Республика,4,352637.82,352637.82,13.01.2017,Инженерные системы,1380.1,"1025,75000",255.51613651184698,0.0
3441543,97701000,1634,Чувашская Республика,5,328453.37,328453.37,13.01.2017,Инженерные системы,1380.1,"1025,75000",237.99244257662488,0.0
3441561,97701000,1637,Чувашская Республика,4,300138.76,300138.76,08.07.2015,Инженерные системы,1459.0,"1152,57000",205.71539410555175,0.0
3441562,97701000,1637,Чувашская Республика,2,342165.96,342165.96,30.10.2015,Инженерные системы,1459.0,"1152,57000",234.52087731322825,0.0
3441565,97701000,1637,Чувашская Республика,5,157647.65,157647.65,08.07.2015,Инженерные системы,1459.0,"1152,57000",108.05185058259082,0.0
3441566,97701000,1638,Чувашская Республика,5,163423.77,163423.77,08.07.2015,Инженерные системы,2483.3,"1242,01000",65.8091128739983,0.0
3441567,97701000,1638,Чувашская Республика,2,395728.39,395728.39,30.10.2015,Инженерные системы,2483.3,"1242,01000",159.3558530986993,0.0
3441569,97701000,1638,Чувашская Республика,4,223676.35,223676.35,08.07.2015,Инженерные системы,2483.3,"1242,01000",90.07222244593886,0.0
3441619,97701000,125,Чувашская Республика,4,656530.32,656530.32,19.01.2017,Инженерные системы,2482.2,"656,53000",264.49533478365964,0.0
3441636,97701000,1766,Чувашская Республика,4,680163.95,680163.95,16.12.2016,Инженерные системы,1537.4,"2809,60000",442.411831663848,0.0
3441638,97701000,1766,Чувашская Республика,3,1022084.32,1022084.32,16.12.2016,Инженерные системы,1537.4,"2809,60000",664.8135293352412,0.0
3441659,97701000,1768,Чувашская Республика,2,125549.21,125549.21,21.10.2015,Инженерные системы,2401.03,"1245,85000",52.28972982428375,0.0
3441676,97701000,1770,Чувашская Республика,5,378158.57,378158.57,08.07.2015,Инженерные системы,2913.61,"378,16000",129.79038718291054,0.0
3441678,97701000,1771,Чувашская Республика,5,567972.74,567972.74,08.07.2015,Инженерные системы,4544.89,"2403,18000",124.96952401488264,0.0
3441683,97701000,1771,Чувашская Республика,4,445657.62,445657.62,08.07.2015,Инженерные системы,4544.89,"2403,18000",98.05685506139862,0.0
3441685,97701000,1771,Чувашская Республика,4,650742.91,650742.91,08.07.2015,Инженерные системы,4544.89,"2403,18000",143.18122330793483,0.0
3441686,97701000,1771,Чувашская Республика,2,738811.0,738811.0,21.10.2015,Инженерные системы,4544.89,"2403,18000",162.55860977933457,0.0
3441688,97701000,1772,Чувашская Республика,2,361878.0,361878.0,21.10.2015,Инженерные системы,2964.16,"1432,50000",122.08450286084422,0.0
3441689,97701000,1772,Чувашская Республика,5,526604.79,526604.79,27.07.2015,Инженерные системы,2964.16,"1432,50000",177.65734305840442,0.0
3441692,97701000,1773,Чувашская Республика,4,1358522.43,1358522.43,08.07.2015,Инженерные системы,3331.0,"4915,46000",407.84221855298705,0.0
