,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1440236,38705000,4606002830,Курская область,6,5838860.5,4503546.93,14.03.2016,Лифтовое оборудование,4615.7,"0,00000",975.7018285417163,0.22869420668639032
1473171,38708000,4614002481,Курская область,6,17917207.0,11125728.91,10.02.2016,Лифтовое оборудование,14163.8,"0,00000",785.5045192674282,0.3790478108557879
1453117,38701000,4612000919,Курская область,6,15041547.6,9000000.0,15.02.2015,Лифтовое оборудование,12258.8,"0,00000",734.1664763272099,0.40165731350675643
1441933,38705000,4606002620,Курская область,6,13742732.3,7748465.68,28.11.2016,Лифтовое оборудование,10863.82,"0,00000",713.2358304905641,0.4361772090983684
1449264,38701000,4612000540,Курская область,6,25351991.5,14141985.93,30.11.2016,Лифтовое оборудование,20041.1,"0,00000",705.6491874198523,0.4421745553993263
1465523,38701000,4612001991,Курская область,6,8228875.5,4500000.0,20.02.2015,Лифтовое оборудование,6706.5,"0,00000",670.9908297919928,0.45314520799348584
1451273,38701000,4612000474,Курская область,6,24688221.6,13500000.0,15.02.2015,Лифтовое оборудование,20120.8,"0,00000",670.9474772374856,0.45318054014874853
1468093,38701000,4612002221,Курская область,6,13903750.5,7500000.0,15.02.2015,Лифтовое оборудование,11331.5,"0,00000",661.8717733751048,0.46057720181328055
1438722,38705000,4606002555,Курская область,6,6013936.5,3102189.78,09.11.2016,Лифтовое оборудование,4754.1,"0,00000",652.5293494036725,0.4841665222105355
1448883,38701000,4612000511,Курская область,6,24618773.4,12600000.0,31.03.2015,Лифтовое оборудование,20064.2,"0,00000",627.9841708116944,0.4881954598111699
1450484,38701000,4612000603,Курская область,6,11028558.21,5600000.0,31.03.2015,Лифтовое оборудование,8988.23,"0,00000",623.0370161867243,0.49222737067096645
1450583,38701000,4612000611,Курская область,6,5515487.7,2800000.0,31.03.2015,Лифтовое оборудование,4495.1,"0,00000",622.9004916464594,0.49233863761494745
1465518,38701000,4612001985,Курская область,6,2775351.3,1400000.0,31.03.2015,Лифтовое оборудование,2261.9,"0,00000",618.9486714708872,0.495559354954452
1465412,38701000,4612001981,Курская область,6,5956962.3,3000000.0,02.03.2015,Лифтовое оборудование,4854.9,"0,00000",617.9323981956375,0.49638761353248784
1449278,38701000,4612000541,Курская область,6,34064219.4,16800000.0,31.03.2015,Лифтовое оборудование,27762.2,"0,00000",605.1393621542961,0.5068138857748198
1468276,38701000,4612002237,Курская область,6,5432419.8,2640000.0,25.02.2015,Лифтовое оборудование,4427.4,"0,00000",596.2867597235398,0.5140287206817117
1439642,38705000,4606002658,Курская область,6,3742963.5,1796416.39,03.09.2015,Лифтовое оборудование,3050.5,"0,00000",588.8924405835108,0.5200550606491354
1452956,38701000,4612000906,Курская область,6,5864937.3,2800000.0,31.03.2015,Лифтовое оборудование,4779.9,"0,00000",585.7863135212034,0.5225865415475115
1467929,38701000,4612002206,Курская область,6,8244213.0,3825000.0,31.03.2015,Лифтовое оборудование,6719.0,"0,00000",569.2811430272362,0.5360381882418613
1465329,38701000,4612001974,Курская область,6,22311768.0,10200000.0,31.03.2015,Лифтовое оборудование,18184.0,"0,00000",560.9326880774307,0.5428421450061689
1453040,38701000,4612000913,Курская область,6,9332930.1,4200000.0,31.03.2015,Лифтовое оборудование,7606.3,"0,00000",552.1738558826236,0.549980557552874
1473933,38708000,4614002532,Курская область,6,11280131.5,4743686.31,14.03.2016,Лифтовое оборудование,8917.1,"0,00000",531.9763499343957,0.5794653360202405
1468516,38701000,4612002256,Курская область,6,15565587.03,6375000.0,31.03.2015,Лифтовое оборудование,12685.89,"0,00000",502.52682310819347,0.5904426869533875
1465163,38701000,4612001959,Курская область,6,3461980.5,1400000.0,31.03.2015,Лифтовое оборудование,2821.5,"0,00000",496.1899698741804,0.5956071965165604
