,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6071660,53713000,1001053,Оренбургская область,6,6852846.99,6852846.99,22.12.2016,Лифтовое оборудование,11441.0,"6852,85000",598.972728782449,0.0
6116826,53701000,1004646,Оренбургская область,6,3278819.93,3278819.93,14.04.2017,Лифтовое оборудование,8479.0,"3278,82000",386.6988949168534,0.0
6116933,53701000,1004655,Оренбургская область,6,5400000.0,5400000.0,31.05.2017,Лифтовое оборудование,36293.7,"5400,00000",148.78615296869705,0.0
6116967,53701000,1004657,Оренбургская область,6,5955754.48,5955754.48,20.12.2018,Лифтовое оборудование,7236.1,"5991,06000",823.0613838946394,0.0
6117097,53701000,1004669,Оренбургская область,6,12045103.57,12045103.57,29.12.2018,Лифтовое оборудование,14623.2,"12110,72000",823.698203539581,0.0
6117423,53701000,1004695,Оренбургская область,6,3943300.98,3943300.98,27.12.2018,Лифтовое оборудование,5013.7,"4062,82000",786.505171829188,0.0
6118870,53701000,1004838,Оренбургская область,6,3975680.1,3975680.1,31.07.2018,Лифтовое оборудование,3840.1,"4001,07000",1035.3063982708784,0.0
6119479,53701000,1004899,Оренбургская область,6,7790228.95,7790228.95,20.12.2018,Лифтовое оборудование,9380.6,"7921,09000",830.4616922158497,0.0
6119486,53701000,1004900,Оренбургская область,6,3557302.54,3557302.54,24.05.2017,Лифтовое оборудование,4869.0,"3557,30000",730.6022879441364,0.0
6119515,53701000,1004902,Оренбургская область,6,7988941.14,7988941.14,20.12.2018,Лифтовое оборудование,9681.5,"8106,75000",825.175968599907,0.0
6119517,53701000,1004903,Оренбургская область,6,1648646.04,1648646.04,17.03.2017,Лифтовое оборудование,7182.6,"1791,05000",229.53332219530532,0.0
6119548,53701000,1004905,Оренбургская область,6,2935644.92,2935644.92,24.05.2017,Лифтовое оборудование,4961.3,"3008,95000",591.7088101908773,0.0
6119578,53701000,1004907,Оренбургская область,6,19370510.54,19370510.54,19.12.2018,Лифтовое оборудование,24514.6,"19422,06000",790.1622110905338,0.0
6119602,53701000,1004908,Оренбургская область,6,11886863.01,11886863.01,24.12.2018,Лифтовое оборудование,12739.7,"11951,93000",933.056744664317,0.0
6120119,53701000,1004957,Оренбургская область,6,1650057.2,1650057.2,31.05.2017,Лифтовое оборудование,2721.7,"1650,06000",606.2597641180145,0.0
6120633,53701000,1005002,Оренбургская область,6,3420483.22,3420483.22,19.12.2017,Лифтовое оборудование,5084.4,"3496,42000",672.7407796396823,0.0
6120641,53701000,1005003,Оренбургская область,6,8551208.07,8551208.07,27.12.2017,Лифтовое оборудование,12706.2,"8742,78000",672.9949213769655,0.0
6120709,53701000,1005007,Оренбургская область,6,14427969.14,14427969.14,14.09.2018,Лифтовое оборудование,15506.2,"26975,72000",930.4645328965188,0.0
6120769,53701000,1005011,Оренбургская область,6,3420483.22,3420483.22,27.12.2017,Лифтовое оборудование,4933.6,"3496,42000",693.3037173666288,0.0
6120839,53701000,1005015,Оренбургская область,6,10239116.64,10239116.64,02.05.2017,Лифтовое оборудование,17931.2,"11831,28000",571.0223877933435,0.0
6120950,53701000,1005023,Оренбургская область,7,386525.51,386525.51,09.12.2015,Лифтовое оборудование,8224.7,"14709,71000",46.99569710749328,0.0
6120953,53701000,1005023,Оренбургская область,6,6217109.83,6217109.83,07.09.2018,Лифтовое оборудование,8224.7,"14709,71000",755.9071856724257,0.0
6121349,53701000,1005071,Оренбургская область,6,1626632.69,1626632.69,19.12.2017,Лифтовое оборудование,5261.5,"1668,36000",309.15759574265894,0.0
6121365,53701000,1005072,Оренбургская область,6,1283731.16,1283731.16,23.11.2016,Лифтовое оборудование,8487.7,"3736,50000",151.24605723576468,0.0
6121466,53701000,1005078,Оренбургская область,6,1626632.69,1626632.69,19.12.2017,Лифтовое оборудование,7160.2,"1668,38000",227.1769908661769,0.0
6122219,53701000,1005160,Оренбургская область,6,5942733.56,5942733.56,31.07.2018,Лифтовое оборудование,7529.5,"5981,61000",789.2600517962679,0.0
6116723,53701000,1004636,Оренбургская область,6,11920757.67,11920757.67,25.12.2018,Лифтовое оборудование,15067.5,"11986,37000",791.1569716276755,0.0
6116528,53701000,1004598,Оренбургская область,6,11881569.94,11881569.94,28.12.2018,Лифтовое оборудование,14227.9,"11947,19000",835.0895030187168,0.0
6116516,53701000,1004597,Оренбургская область,6,1700000.0,1700000.0,31.05.2017,Лифтовое оборудование,14816.8,"1700,00000",114.73462556017495,0.0
6116397,53701000,1004588,Оренбургская область,6,15876009.25,15876009.25,20.12.2018,Лифтовое оборудование,18904.7,"15926,24000",839.7916523404233,0.0
6108345,53701000,1003801,Оренбургская область,6,14464821.11,14464821.11,29.12.2017,Лифтовое оборудование,23887.4,"14759,85000",605.5418802381171,0.0
6109315,53701000,1003896,Оренбургская область,6,9819089.52,9819089.52,14.04.2017,Лифтовое оборудование,14420.4,"9819,09000",680.9165848381459,0.0
6111807,53701000,1004147,Оренбургская область,6,8770986.96,8770986.96,18.04.2017,Лифтовое оборудование,13992.1,"8770,99000",626.8527926472796,0.0
6111813,53701000,1004148,Оренбургская область,6,1708318.54,1708318.54,29.12.2017,Лифтовое оборудование,2440.6,"1751,47000",699.9584282553471,0.0
6149398,53630000,1008990,Оренбургская область,6,1542000.0,1542000.0,06.03.2015,Лифтовое оборудование,3936.1,"231,30000",391.7583394730825,0.0
6112470,53701000,1004197,Оренбургская область,6,3980276.04,3980276.04,13.11.2018,Лифтовое оборудование,6448.2,"4095,93000",617.2693216711641,0.0
6112489,53701000,1004198,Оренбургская область,6,3282093.42,3282093.42,14.04.2017,Лифтовое оборудование,7277.8,"3282,09000",450.97329137926295,0.0
6113006,53701000,1004252,Оренбургская область,6,15814671.12,15814671.12,19.12.2018,Лифтовое оборудование,19828.2,"15864,91000",797.5848095137228,0.0
6113106,53701000,1004259,Оренбургская область,6,19835955.95,19835955.95,29.12.2018,Лифтовое оборудование,24280.0,"19887,50000",816.9668842668863,0.0
6113131,53701000,1004261,Оренбургская область,6,9889255.6,9889255.6,27.12.2018,Лифтовое оборудование,12938.8,"9930,83000",764.3101060376542,0.0
6113239,53701000,1004269,Оренбургская область,6,3862046.49,3862046.49,19.12.2018,Лифтовое оборудование,4866.7,"3887,44000",793.5657611934165,0.0
6113354,53701000,1004278,Оренбургская область,6,4722832.97,4722832.97,29.12.2018,Лифтовое оборудование,4869.4,"4994,66000",969.9003922454513,0.0
6122228,53701000,1005161,Оренбургская область,6,8757249.56,8757249.56,22.03.2017,Лифтовое оборудование,14330.7,"8757,25000",611.0831683030138,0.0
6113390,53701000,1004281,Оренбургская область,6,9881400.48,9881400.48,22.12.2016,Лифтовое оборудование,14783.0,"9881,40000",668.4299857944937,0.0
6113675,53701000,1004309,Оренбургская область,6,5940365.95,5940365.95,29.12.2018,Лифтовое оборудование,5906.5,"5974,38000",1005.7336747650893,0.0
6114072,53701000,1004354,Оренбургская область,6,6103723.39,6103723.39,17.12.2015,Лифтовое оборудование,9142.7,"8511,83000",667.6062202631607,0.0
6114864,53701000,1004436,Оренбургская область,6,6696820.13,6696820.13,20.12.2016,Лифтовое оборудование,11502.5,"6815,10000",582.2056187785264,0.0
6115312,53701000,1004486,Оренбургская область,6,1643595.42,1643595.42,31.05.2017,Лифтовое оборудование,4270.0,"1643,60000",384.9169601873536,0.0
6115608,53701000,1004513,Оренбургская область,6,11930227.14,11930227.14,25.12.2018,Лифтовое оборудование,16847.6,"12142,71000",708.1262102614023,0.0
6115634,53701000,1004515,Оренбургская область,6,12050647.83,12050647.83,26.12.2018,Лифтовое оборудование,16811.3,"12235,64000",716.8183204154349,0.0
6115656,53701000,1004517,Оренбургская область,6,14456085.81,14456085.81,28.12.2018,Лифтовое оборудование,19766.3,"23040,67000",731.3501166126185,0.0
6116194,53701000,1004573,Оренбургская область,6,1700000.0,1700000.0,04.04.2017,Лифтовое оборудование,16862.3,"2271,76000",100.81661457808248,0.0
6116246,53701000,1004576,Оренбургская область,6,11921975.22,11921975.22,28.12.2018,Лифтовое оборудование,14527.5,"11987,59000",820.6487847186371,0.0
6116285,53701000,1004579,Оренбургская область,6,4669171.47,4669171.47,20.12.2016,Лифтовое оборудование,8761.0,"4669,17000",532.9496027850702,0.0
6116323,53701000,1004582,Оренбургская область,6,3970348.93,3970348.93,27.12.2018,Лифтовое оборудование,4985.1,"3995,95000",796.4431866963552,0.0
6116369,53701000,1004585,Оренбургская область,6,4715658.63,4715658.63,22.12.2016,Лифтовое оборудование,8886.4,"7405,71000",530.6601807256031,0.0
