,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5689228,92608000,3058,Республика Татарстан,6,11240864.83,11240864.83,03.10.2017,Лифтовое оборудование,19654.9,"20251,52000",571.911575739383,0.0
5759989,92730000,4975,Республика Татарстан,6,6235660.0,6235660.0,17.07.2014,Лифтовое оборудование,8596.3,"8855,93000",725.3888300780569,0.0
5760115,92730000,5124,Республика Татарстан,6,4086000.0,4086000.0,,Лифтовое оборудование,5877.5,"5568,54000",695.1935346660995,0.0
5760145,92730000,11144,Республика Татарстан,6,18387000.0,18387000.0,,Лифтовое оборудование,26204.7,"27476,24000",701.6680213854767,0.0
5760769,92730000,3555,Республика Татарстан,6,11250000.0,11250000.0,,Лифтовое оборудование,13350.77,"24139,59000",842.648027042635,0.0
5761016,92730000,2024,Республика Татарстан,6,2250000.0,2250000.0,,Лифтовое оборудование,4766.7,"2340,00000",472.02467115614576,0.0
5761282,92730000,4006,Республика Татарстан,6,12471320.0,12471320.0,26.09.2014,Лифтовое оборудование,19778.7,"24017,37000",630.5429578283708,0.0
5761301,92730000,2326,Республика Татарстан,6,6235660.0,6235660.0,26.09.2014,Лифтовое оборудование,7982.5,"14376,87000",781.1663012840589,0.0
5761332,92730000,2868,Республика Татарстан,6,15589150.0,15589150.0,05.05.2015,Лифтовое оборудование,19938.8,"15775,64000",781.8499608802937,0.0
5761362,92730000,2869,Республика Татарстан,6,40758527.0,40758527.0,01.03.2018,Лифтовое оборудование,32932.5,"59044,13000",1237.6384119031352,0.0
5761386,92730000,3727,Республика Татарстан,6,9009270.0,9009270.0,18.05.2015,Лифтовое оборудование,69182.1,"25718,58000",130.22544849028867,0.0
5761388,92730000,3727,Республика Татарстан,6,15472008.0,15472008.0,,Лифтовое оборудование,69182.1,"25718,58000",223.6417801714605,0.0
5761704,92730000,5445,Республика Татарстан,6,24024720.0,24024720.0,16.07.2014,Лифтовое оборудование,42427.32,"24295,57000",566.2558936081751,0.0
5762164,92730000,3952,Республика Татарстан,6,1514790.13,1514790.13,25.12.2018,Лифтовое оборудование,5912.1,"4503,64000",256.2186245158234,0.0
5762185,92730000,3413,Республика Татарстан,6,1466985.46,1466985.46,24.12.2018,Лифтовое оборудование,5987.2,"6944,90000",245.02028661143774,0.0
5762400,92730000,99,Республика Татарстан,6,4265277.0,4265277.0,06.05.2015,Лифтовое оборудование,6541.3,"4372,93000",652.0534144588996,0.0
5762581,92730000,102,Республика Татарстан,6,7794575.0,7794575.0,29.04.2015,Лифтовое оборудование,53403.7,"19641,46000",145.95571093388662,0.0
5762587,92730000,102,Республика Татарстан,6,1676179.81,1676179.81,30.11.2016,Лифтовое оборудование,53403.7,"19641,46000",31.386960266797995,0.0
5758674,92730000,98,Республика Татарстан,6,6806973.28,6806973.28,01.12.2016,Лифтовое оборудование,48139.9,"26775,01000",141.39982176946774,0.0
5758666,92730000,97,Республика Татарстан,6,2250000.0,2250000.0,,Лифтовое оборудование,2558.3,"9026,76000",879.490286518391,0.0
5758476,92730000,837,Республика Татарстан,6,1676179.81,1676179.81,30.11.2016,Лифтовое оборудование,2926.2,"8699,93000",572.8179242703849,0.0
5758077,92730000,4192,Республика Татарстан,6,41537047.96,41537047.96,27.11.2018,Лифтовое оборудование,51210.8,"43268,77000",811.0993766939786,0.0
5756257,92730000,9143,Республика Татарстан,6,26501555.0,26501555.0,05.08.2014,Лифтовое оборудование,44772.6,"46058,42000",591.9145861531383,0.0
5756336,92730000,9735,Республика Татарстан,6,4300249.2,4300249.2,,Лифтовое оборудование,6425.0,"6679,70000",669.2994863813229,0.0
5756353,92730000,2686,Республика Татарстан,6,12471320.0,12471320.0,07.10.2014,Лифтовое оборудование,23074.3,"14023,30000",540.4853018293079,0.0
5756370,92730000,6539,Республика Татарстан,6,4014468.45,4014468.45,30.11.2017,Лифтовое оборудование,6369.2,"4125,53000",630.2939851158702,0.0
5756391,92730000,5267,Республика Татарстан,6,3004231.91,3004231.91,24.12.2018,Лифтовое оборудование,6459.6,"4968,38000",465.0801767911326,0.0
5756520,92730000,3003,Республика Татарстан,6,7507725.0,7507725.0,05.08.2014,Лифтовое оборудование,13316.6,"7613,40000",563.7869275941306,0.0
5756564,92730000,2855,Республика Татарстан,6,7507725.0,7507725.0,05.08.2014,Лифтовое оборудование,13225.17,"7613,40000",567.6845741869481,0.0
5756592,92730000,3728,Республика Татарстан,6,7557725.0,7557725.0,28.04.2015,Лифтовое оборудование,13276.4,"7668,90000",569.2601156940135,0.0
5762684,92730000,1255,Республика Татарстан,6,9353490.0,9353490.0,26.09.2014,Лифтовое оборудование,11789.4,"19674,99000",793.3813425619625,0.0
5756833,92730000,9290,Республика Татарстан,6,19922389.58,19922389.58,09.11.2018,Лифтовое оборудование,35152.3,"40805,65000",566.7449805560375,0.0
5757074,92730000,3219,Республика Татарстан,6,2961316.07,2961316.07,05.12.2018,Лифтовое оборудование,6092.1,"3183,32000",486.0911787396792,0.0
5757252,92730000,4989,Республика Татарстан,6,2991094.92,2991094.92,05.12.2018,Лифтовое оборудование,6196.4,"10380,80000",482.714950616487,0.0
5757309,92730000,1212,Республика Татарстан,6,4515868.0,4515868.0,09.10.2014,Лифтовое оборудование,7875.4,"4592,63000",573.4144297432512,0.0
5757342,92730000,1213,Республика Татарстан,6,4515868.0,4515868.0,09.10.2014,Лифтовое оборудование,7583.1,"4592,63000",595.5174005354011,0.0
