,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1856356,70724000,215658,Тульская область,6,2679005.66,2679005.66,17.12.2018,Лифтовое оборудование,5335.0,,502.1566373008435,0.0
1872548,70701000,1123038,Тульская область,6,1451149.77,1451149.77,18.07.2019,Лифтовое оборудование,0.0,,,0.0
1873521,70701000,1125423,Тульская область,6,5375202.29,5375202.29,30.07.2019,Лифтовое оборудование,0.0,,,0.0
1873393,70701000,1125085,Тульская область,6,2902298.81,2902298.81,22.07.2019,Лифтовое оборудование,0.0,,,0.0
1873264,70701000,1125006,Тульская область,6,1339643.73,1339643.73,21.12.2018,Лифтовое оборудование,3514.9,,381.13281458931976,0.0
1873230,70701000,1124894,Тульская область,6,1339672.21,1339672.21,21.12.2018,Лифтовое оборудование,2569.7,,521.3340895824416,0.0
1872808,70701000,1124959,Тульская область,6,3997966.85,3997966.85,21.12.2018,Лифтовое оборудование,5658.6,,706.5293270420245,0.0
1872719,70701000,1125149,Тульская область,6,2926338.94,2926338.94,18.07.2019,Лифтовое оборудование,0.0,,,0.0
1872698,70701000,1200,Тульская область,6,1461164.38,1461164.38,18.07.2019,Лифтовое оборудование,0.0,,,0.0
1872685,70701000,1124703,Тульская область,6,22154306.47,22154306.47,18.07.2019,Лифтовое оборудование,0.0,,,0.0
1872577,70701000,1123543,Тульская область,6,1477024.43,1477024.43,18.07.2019,Лифтовое оборудование,0.0,,,0.0
1871896,70701000,1125538,Тульская область,6,9403378.18,9403378.18,30.07.2019,Лифтовое оборудование,0.0,,,0.0
1871151,70701000,1124688,Тульская область,6,4430861.5,4430861.5,01.08.2019,Лифтовое оборудование,0.0,,,0.0
1871844,70701000,1123041,Тульская область,6,7384769.23,7384769.23,18.07.2019,Лифтовое оборудование,0.0,,,0.0
1871738,70701000,1123920,Тульская область,6,1343800.57,1343800.57,30.07.2019,Лифтовое оборудование,2271.0,,591.7219594892118,0.0
1871675,70701000,1123454,Тульская область,6,1329372.96,1329372.96,30.07.2019,Лифтовое оборудование,2146.0,,619.4654986020503,0.0
1871669,70701000,1123453,Тульская область,6,103534.9,103534.9,15.09.2017,Лифтовое оборудование,2127.0,,48.676492712740945,0.0
1871507,70701000,1125536,Тульская область,6,2902298.45,2902298.45,01.08.2019,Лифтовое оборудование,0.0,,,0.0
1871500,70701000,1125346,Тульская область,6,7255746.05,7255746.05,22.07.2019,Лифтовое оборудование,0.0,,,0.0
1871468,70701000,1123039,Тульская область,6,2902298.23,2902298.23,01.08.2019,Лифтовое оборудование,0.0,,,0.0
1871422,70701000,1153168,Тульская область,6,7384768.62,7384768.62,01.08.2019,Лифтовое оборудование,0.0,,,0.0
1871235,70701000,1123498,Тульская область,6,2679032.18,2679032.18,21.12.2018,Лифтовое оборудование,6101.5,,439.07763336884375,0.0
1873756,70701000,1125812,Тульская область,6,2687601.1,2687601.1,30.07.2019,Лифтовое оборудование,0.0,,,0.0
1874359,70701000,1125027,Тульская область,6,1404455.31,1404455.31,12.08.2019,Лифтовое оборудование,6234.5,,225.27152297698294,0.0
1874412,70701000,1123930,Тульская область,6,2731070.73,2731070.73,21.12.2018,Лифтовое оборудование,4416.6,,618.364970792012,0.0
1874420,70701000,1124239,Тульская область,6,7999907.99,7999907.99,21.12.2018,Лифтовое оборудование,11953.8,,669.2355560574881,0.0
1880246,70701000,1123058,Тульская область,6,4030029.18,4030029.18,09.08.2019,Лифтовое оборудование,5890.1,,684.2038641109658,0.0
1880239,70701000,1125623,Тульская область,6,5907815.44,5907815.44,01.08.2019,Лифтовое оборудование,8081.8,,731.002430151699,0.0
1879680,70701000,1125064,Тульская область,6,1339672.21,1339672.21,21.12.2018,Лифтовое оборудование,2735.8,,489.6820710578258,0.0
1879679,70701000,1124800,Тульская область,6,1339706.57,1339706.57,21.12.2018,Лифтовое оборудование,2553.6,,524.6344650689224,0.0
1878273,70701000,1123380,Тульская область,6,1633924.58,1633924.58,21.12.2018,Лифтовое оборудование,2628.7,,621.5713394453533,0.0
1877674,70701000,1123812,Тульская область,6,8060063.65,8060063.65,07.08.2019,Лифтовое оборудование,11649.0,,691.9103485277707,0.0
1877143,70701000,1125050,Тульская область,6,11341938.47,11341938.47,12.08.2019,Лифтовое оборудование,0.0,,,0.0
