,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5615528,96701000,10298,Чеченская Республика,6,4644049.0,4644049.0,26.12.2018,Лифтовое оборудование,6336.0,,732.962279040404,0.0
5615565,96701000,10300,Чеченская Республика,6,1809207.0,1809207.0,28.12.2018,Лифтовое оборудование,6336.0,,285.54403409090907,0.0
5636315,96701000,11356,Чеченская Республика,6,919731.0,919731.0,29.12.2018,Лифтовое оборудование,2632.2,,349.41531798495555,0.0
5635832,96701000,11331,Чеченская Республика,6,2860205.0,2860205.0,28.12.2018,Лифтовое оборудование,7459.2,,383.44661625911624,0.0
5634448,96701000,11257,Чеченская Республика,6,1988829.0,1988829.0,30.01.2019,Лифтовое оборудование,3615.0,,550.1601659751037,0.0
5629224,96701000,11000,Чеченская Республика,6,138637.0,138637.0,01.10.2018,Лифтовое оборудование,4374.4,,31.69280358449159,0.0
5629068,96701000,10993,Чеченская Республика,6,94188.0,94188.0,01.10.2018,Лифтовое оборудование,2831.3,,33.26669727686928,0.0
5628982,96701000,10989,Чеченская Республика,6,91538.0,91538.0,30.09.2017,Лифтовое оборудование,4528.5,,20.213757314784147,0.0
5628917,96701000,10987,Чеченская Республика,6,94188.04,94188.04,01.10.2018,Лифтовое оборудование,2831.3,,33.2667114046551,0.0
5628886,96701000,10986,Чеченская Республика,6,94188.04,94188.04,01.10.2018,Лифтовое оборудование,2831.3,,33.2667114046551,0.0
5628781,96701000,10981,Чеченская Республика,6,82565.0,82565.0,01.10.2018,Лифтовое оборудование,4538.8,,18.19093152375077,0.0
5628708,96701000,10979,Чеченская Республика,6,138637.0,138637.0,01.10.2018,Лифтовое оборудование,4900.7,,28.28922398840982,0.0
5627563,96701000,10925,Чеченская Республика,6,1839023.0,1839023.0,28.12.2018,Лифтовое оборудование,5321.1,,345.6095544154404,0.0
5627551,96701000,10924,Чеченская Республика,6,1839023.0,1839023.0,29.12.2018,Лифтовое оборудование,5321.1,,345.6095544154404,0.0
5627526,96701000,10923,Чеченская Республика,6,1839023.0,1839023.0,28.12.2018,Лифтовое оборудование,5321.1,,345.6095544154404,0.0
5627352,96701000,10915,Чеченская Республика,6,950489.0,950489.0,28.12.2018,Лифтовое оборудование,4425.8,,214.76094717339237,0.0
5627317,96701000,10913,Чеченская Республика,6,950489.0,950489.0,29.12.2018,Лифтовое оборудование,4425.8,,214.76094717339237,0.0
5627296,96701000,10912,Чеченская Республика,6,950489.0,950489.0,29.12.2018,Лифтовое оборудование,4425.8,,214.76094717339237,0.0
5626334,96701000,10856,Чеченская Республика,6,2061710.0,2061710.0,26.12.2018,Лифтовое оборудование,2672.9,,771.3382468479928,0.0
5625071,96701000,10784,Чеченская Республика,6,250360.0,250360.0,28.01.1900,Лифтовое оборудование,5387.6,,46.46967109659217,0.0
5624985,96701000,10779,Чеченская Республика,6,250360.0,250360.0,29.12.2018,Лифтовое оборудование,3961.3,,63.20147426349936,0.0
5622976,96701000,10827,Чеченская Республика,6,2920127.0,2920127.0,29.12.2018,Лифтовое оборудование,7004.4,,416.8989492319114,0.0
5618517,96701000,10459,Чеченская Республика,6,226530.0,226530.0,29.12.2018,Лифтовое оборудование,5664.8,,39.98905521818952,0.0
5617451,96701000,10358,Чеченская Республика,6,1864332.0,1864332.0,29.12.2018,Лифтовое оборудование,9194.9,,202.75718061099087,0.0
5617127,96701000,10391,Чеченская Республика,6,1876648.0,1876648.0,29.12.2018,Лифтовое оборудование,9540.0,,196.71362683438156,0.0
5617093,96701000,10390,Чеченская Республика,6,2770954.0,2770954.0,29.12.2018,Лифтовое оборудование,16030.0,,172.8605115408609,0.0
5615690,96701000,10306,Чеченская Республика,6,2912028.0,2912028.0,28.12.2018,Лифтовое оборудование,35524.5,,81.97238525524638,0.0
5615671,96701000,10305,Чеченская Республика,6,924609.0,924609.0,29.12.2018,Лифтовое оборудование,5283.5,,174.99933756032934,0.0
5615655,96701000,10304,Чеченская Республика,6,924609.0,924609.0,29.12.2018,Лифтовое оборудование,5283.5,,174.99933756032934,0.0
5615632,96701000,10303,Чеченская Республика,6,924609.0,924609.0,29.12.2018,Лифтовое оборудование,5283.5,,174.99933756032934,0.0
5615588,96701000,10301,Чеченская Республика,6,943037.0,943037.0,28.12.2018,Лифтовое оборудование,6336.0,,148.83791035353536,0.0
5636352,96701000,11357,Чеченская Республика,6,919731.0,919731.0,28.12.2018,Лифтовое оборудование,2865.0,,321.02303664921465,0.0
5611480,96702000,10011,Чеченская Республика,6,,,,Лифтовое оборудование,10099.9,,,
5611497,96702000,10011,Чеченская Республика,6,,,,Лифтовое оборудование,10099.9,,,
5615768,96701000,10316,Чеченская Республика,6,,,,Лифтовое оборудование,16878.0,,,
5615769,96701000,10316,Чеченская Республика,7,,,,Лифтовое оборудование,16878.0,,,
5615794,96701000,10317,Чеченская Республика,7,,,,Лифтовое оборудование,8606.4,,,
5615795,96701000,10317,Чеченская Республика,6,,,,Лифтовое оборудование,8606.4,,,
5615842,96701000,10319,Чеченская Республика,6,,,,Лифтовое оборудование,5199.0,,,
5615849,96701000,10319,Чеченская Республика,7,,,,Лифтовое оборудование,5199.0,,,
5615877,96701000,10320,Чеченская Республика,7,,,,Лифтовое оборудование,9312.5,,,
5615878,96701000,10320,Чеченская Республика,6,,,,Лифтовое оборудование,9312.5,,,
5616100,96701000,10330,Чеченская Республика,6,,,,Лифтовое оборудование,8985.0,,,
5617414,96701000,10356,Чеченская Республика,6,,,,Лифтовое оборудование,5968.3,,,
5617442,96701000,10357,Чеченская Республика,6,,,,Лифтовое оборудование,11266.0,,,
5617443,96701000,10357,Чеченская Республика,7,,,,Лифтовое оборудование,11266.0,,,
5617486,96701000,10359,Чеченская Республика,7,,,,Лифтовое оборудование,18397.4,,,
