,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2064797,78715000,22000879,Ярославская область,6,407705.71,407705.71,16.12.2016,Лифтовое оборудование,5839.11,"887,67000",69.82326244924313,0.0
2056321,78705000,21000453,Ярославская область,6,,,,Лифтовое оборудование,5273.7,"0,00000",,
2056766,78705000,21000267,Ярославская область,6,,,,Лифтовое оборудование,6689.32,"221,44000",,
2056776,78705000,21000213,Ярославская область,6,,,,Лифтовое оборудование,6820.3,"0,00000",,
2056792,78705000,21000212,Ярославская область,6,,,,Лифтовое оборудование,6452.5,"0,00000",,
2056798,78705000,21000386,Ярославская область,6,,,,Лифтовое оборудование,2507.1,"0,00000",,
2056840,78705000,21000476,Ярославская область,6,,,,Лифтовое оборудование,2723.8,"0,00000",,
2056847,78705000,21000369,Ярославская область,6,,,,Лифтовое оборудование,2633.8,"503,78000",,
2057449,78705000,21000388,Ярославская область,6,,,,Лифтовое оборудование,4403.4,"0,00000",,
2057460,78705000,21000362,Ярославская область,6,,,,Лифтовое оборудование,2095.6,"0,00000",,
2057475,78705000,21000367,Ярославская область,6,,,,Лифтовое оборудование,2087.3,"0,00000",,
2057482,78705000,21000373,Ярославская область,6,,,,Лифтовое оборудование,2328.8,"0,00000",,
2057737,78705000,21000472,Ярославская область,6,,,,Лифтовое оборудование,3024.2,"326,08000",,
2057833,78705000,21000364,Ярославская область,6,,,,Лифтовое оборудование,9380.6,"0,00000",,
2057855,78705000,21000424,Ярославская область,6,,,,Лифтовое оборудование,6899.0,"1826,53000",,
2057867,78705000,21000436,Ярославская область,6,,,,Лифтовое оборудование,6213.0,"1397,25000",,
2057881,78705000,21000389,Ярославская область,6,,,,Лифтовое оборудование,9152.9,"1323,21000",,
2058543,78705000,21000450,Ярославская область,6,,,,Лифтовое оборудование,6952.4,"984,98000",,
2058545,78705000,21000372,Ярославская область,6,,,,Лифтовое оборудование,7743.7,"0,00000",,
2058656,78705000,21000446,Ярославская область,6,,,,Лифтовое оборудование,3376.2,"0,00000",,
2059039,78705000,21000357,Ярославская область,6,,,,Лифтовое оборудование,7650.9,"2287,43000",,
2059063,78705000,21000465,Ярославская область,6,,,,Лифтовое оборудование,5176.8,"0,00000",,
2059069,78705000,21000467,Ярославская область,6,,,,Лифтовое оборудование,4312.1,"0,00000",,
2059082,78705000,21000352,Ярославская область,6,,,,Лифтовое оборудование,12906.5,"3151,47000",,
2059091,78705000,21000368,Ярославская область,6,,,,Лифтовое оборудование,4456.8,"0,00000",,
2059100,78705000,21000363,Ярославская область,6,,,,Лифтовое оборудование,5083.6,"0,00000",,
2059109,78705000,21000374,Ярославская область,6,,,,Лифтовое оборудование,4672.7,"1676,77000",,
2059129,78705000,21000397,Ярославская область,6,,,,Лифтовое оборудование,9182.61,"3301,73000",,
2059137,78705000,21000278,Ярославская область,6,,,,Лифтовое оборудование,12834.4,"0,00000",,
2059147,78705000,21000260,Ярославская область,6,,,,Лифтовое оборудование,5111.2,"0,00000",,
2059158,78705000,21000326,Ярославская область,6,,,,Лифтовое оборудование,12708.62,"1998,20000",,
2059360,78715000,22001308,Ярославская область,6,,,,Лифтовое оборудование,5730.0,"1060,04000",,
2059375,78715000,22001142,Ярославская область,6,,,,Лифтовое оборудование,6780.0,"1431,06000",,
2059400,78715000,22001272,Ярославская область,6,,,,Лифтовое оборудование,6346.4,"0,00000",,
2059437,78715000,22000881,Ярославская область,6,,,,Лифтовое оборудование,4830.8,"413,63000",,
2059446,78715000,22000689,Ярославская область,6,,,,Лифтовое оборудование,2232.9,"471,53000",,
2059450,78715000,22000880,Ярославская область,6,,,,Лифтовое оборудование,2140.4,"377,00000",,
2059464,78715000,22000757,Ярославская область,6,,,,Лифтовое оборудование,2142.7,"471,51000",,
2059476,78715000,22000776,Ярославская область,6,,,,Лифтовое оборудование,4901.0,"803,92000",,
2059489,78715000,22001214,Ярославская область,6,,,,Лифтовое оборудование,11983.42,"2425,05000",,
2059596,78715000,22001187,Ярославская область,6,,,,Лифтовое оборудование,8849.0,"2278,34000",,
2059610,78715000,22000580,Ярославская область,6,,,,Лифтовое оборудование,4399.0,"348,90000",,
2059630,78715000,22000521,Ярославская область,6,,,,Лифтовое оборудование,4802.7,"0,00000",,
2059673,78715000,22000675,Ярославская область,6,,,,Лифтовое оборудование,8351.1,"0,00000",,
2059717,78715000,22000650,Ярославская область,6,,,,Лифтовое оборудование,4864.2,"874,74000",,
2059726,78715000,22000624,Ярославская область,6,,,,Лифтовое оборудование,8459.7,"995,92000",,
2059773,78715000,22001143,Ярославская область,6,,,,Лифтовое оборудование,8875.0,"843,00000",,
2059837,78715000,22001219,Ярославская область,6,,,,Лифтовое оборудование,5440.0,"349,14000",,
2059943,78715000,22001234,Ярославская область,6,,,,Лифтовое оборудование,4109.0,"0,00000",,
2060347,78715000,22000114,Ярославская область,6,,,,Лифтовое оборудование,13582.2,"8389,40000",,
2060353,78715000,22001357,Ярославская область,6,,,,Лифтовое оборудование,8279.61,"0,00000",,
2060371,78715000,22001366,Ярославская область,6,,,,Лифтовое оборудование,4568.5,"0,00000",,
2060381,78715000,22001369,Ярославская область,6,,,,Лифтовое оборудование,6568.3,"0,00000",,
2060385,78715000,22001371,Ярославская область,6,,,,Лифтовое оборудование,5423.3,"3356,24000",,
2060400,78715000,22001374,Ярославская область,6,,,,Лифтовое оборудование,12032.7,"927,27000",,
2060467,78715000,22000626,Ярославская область,6,,,,Лифтовое оборудование,4760.9,"0,00000",,
2060617,78715000,22000623,Ярославская область,6,,,,Лифтовое оборудование,4547.2,"796,17000",,
2060628,78715000,22001127,Ярославская область,6,,,,Лифтовое оборудование,10529.0,"2337,41000",,
2060660,78715000,22001156,Ярославская область,6,,,,Лифтовое оборудование,9736.0,"2314,94000",,
2060685,78715000,22001195,Ярославская область,6,,,,Лифтовое оборудование,11634.0,"2637,71000",,
2060701,78715000,22001158,Ярославская область,6,,,,Лифтовое оборудование,8895.0,"0,00000",,
2060712,78715000,22001197,Ярославская область,6,,,,Лифтовое оборудование,5959.0,"0,00000",,
2060746,78715000,22001252,Ярославская область,6,,,,Лифтовое оборудование,4091.0,"0,00000",,
2060776,78715000,22001155,Ярославская область,6,,,,Лифтовое оборудование,6368.0,"0,00000",,
2060782,78715000,22001191,Ярославская область,6,,,,Лифтовое оборудование,12494.9,"3062,59000",,
2060857,78715000,22001125,Ярославская область,6,,,,Лифтовое оборудование,4511.0,"1570,33000",,
2060874,78715000,22001192,Ярославская область,6,,,,Лифтовое оборудование,12145.0,"2297,35000",,
2060878,78715000,22001154,Ярославская область,6,,,,Лифтовое оборудование,5808.0,"0,00000",,
2060965,78715000,22001110,Ярославская область,6,,,,Лифтовое оборудование,4070.0,"975,30000",,
2060990,78715000,22001177,Ярославская область,6,,,,Лифтовое оборудование,12214.0,"1331,02000",,
2061062,78715000,22000915,Ярославская область,6,,,,Лифтовое оборудование,5181.83,"1014,34000",,
2061093,78715000,22001253,Ярославская область,6,,,,Лифтовое оборудование,13212.81,"2086,00000",,
2061097,78715000,22000542,Ярославская область,6,,,,Лифтовое оборудование,11584.0,"0,00000",,
2061131,78715000,22001072,Ярославская область,6,,,,Лифтовое оборудование,12293.6,"0,00000",,
2061209,78715000,22001238,Ярославская область,6,,,,Лифтовое оборудование,5574.0,"1050,00000",,
2061377,78715000,22001310,Ярославская область,6,,,,Лифтовое оборудование,3929.0,"98,09000",,
2061397,78715000,22001316,Ярославская область,6,,,,Лифтовое оборудование,3943.9,"0,00000",,
2061414,78715000,22001233,Ярославская область,6,,,,Лифтовое оборудование,4066.0,"0,00000",,
2061631,78715000,22000722,Ярославская область,6,,,,Лифтовое оборудование,5830.0,"1142,79000",,
2061651,78715000,22000691,Ярославская область,6,,,,Лифтовое оборудование,6271.2,"0,00000",,
2061665,78715000,22000750,Ярославская область,6,,,,Лифтовое оборудование,5600.5,"0,00000",,
2061678,78715000,22001023,Ярославская область,6,,,,Лифтовое оборудование,8757.0,"0,00000",,
2061700,78715000,22000933,Ярославская область,6,,,,Лифтовое оборудование,9920.7,"1184,74000",,
2061711,78715000,22001301,Ярославская область,6,,,,Лифтовое оборудование,7357.5,"1231,41000",,
2061722,78715000,22000821,Ярославская область,6,,,,Лифтовое оборудование,9965.3,"1398,68000",,
2061757,78715000,22001145,Ярославская область,6,,,,Лифтовое оборудование,5216.0,"1805,31000",,
2061763,78715000,22001361,Ярославская область,6,,,,Лифтовое оборудование,5920.54,"0,00000",,
2061868,78715000,22001331,Ярославская область,6,,,,Лифтовое оборудование,8624.0,"0,00000",,
2061893,78715000,22001026,Ярославская область,6,,,,Лифтовое оборудование,4715.0,"578,65000",,
2061931,78715000,22001025,Ярославская область,6,,,,Лифтовое оборудование,3553.8,"540,06000",,
2061978,78715000,22000763,Ярославская область,6,,,,Лифтовое оборудование,5025.0,"584,18000",,
2062215,78715000,22000918,Ярославская область,6,,,,Лифтовое оборудование,8095.0,"1706,74000",,
2062230,78715000,22000803,Ярославская область,6,,,,Лифтовое оборудование,8247.0,"1685,36000",,
2062518,78715000,22001280,Ярославская область,6,,,,Лифтовое оборудование,7296.0,"1202,79000",,
2062533,78715000,22001388,Ярославская область,6,,,,Лифтовое оборудование,7520.0,"0,00000",,
