,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
280026,11701000,10819,Архангельская область,8,65355.95,3408093.64,,Ремонт кровли ,3473.6,,981.1416513127591,-51.1466467857938
322483,11652000,9402,Архангельская область,8,54055.86,472952.05,01.12.2015,Ремонт кровли ,602.9,,784.4618510532426,-7.749320610198414
284063,11701000,14758,Архангельская область,8,153830.73,867288.08,26.12.2016,Ремонт кровли ,575.9,"153,80000",1505.9699253342594,-4.637937751449271
292394,11710000,3821,Архангельская область,8,717361.76,2166893.5,,Ремонт кровли ,356.4,,6079.948092031425,-2.0206426113374096
315454,11646000,7909,Архангельская область,8,1476021.54,3348512.8,,Ремонт кровли ,676.5,,4949.760236511455,-1.2686070014940296
272147,11622000,34536,Архангельская область,8,159510.84,349169.94,,Ремонт кровли ,97.6,,3577.560860655738,-1.1890044588819169
276694,11635000,3175,Архангельская область,8,218983.14,474327.61,19.01.2016,Ремонт кровли ,364.1,,1302.7399340840427,-1.166046253606556
266340,11701000,12354,Архангельская область,8,3056290.34,6500000.0,04.07.2018,Ремонт кровли ,5219.2,"6233,90000",1245.4015941140406,-1.126761294543764
295359,11730000,15806,Архангельская область,8,1493606.34,2961430.73,,Ремонт кровли ,4497.1,"8020,70000",658.5200973960997,-0.982738457042168
326189,11701000,11522,Архангельская область,8,1885836.31,3699750.49,10.07.2019,Ремонт кровли ,698.7,"1885,80000",5295.1917704308,-0.9618619444229495
291942,11710000,3695,Архангельская область,8,2634851.05,5104549.75,18.07.2019,Ремонт кровли ,1977.89,"2634,90000",2580.8056818124364,-0.9373200431956108
295624,11730000,15852,Архангельская область,8,2040133.77,3571730.8,06.11.2015,Ремонт кровли ,20215.3,"7727,20000",176.6845310235317,-0.7507336295893968
263333,11611000,6445,Архангельская область,8,500452.99,875223.84,30.06.2015,Ремонт кровли ,651.8,,1342.7797483890765,-0.748863244877406
279177,11701000,13459,Архангельская область,8,577565.92,994809.71,07.08.2017,Ремонт кровли ,416.7,"577,60000",2387.352315814735,-0.7224176073269695
291792,11710000,3668,Архангельская область,8,777670.53,1329832.9,23.10.2017,Ремонт кровли ,654.2,"761,40000",2032.761999388566,-0.7100209519319188
286345,11708000,2906,Архангельская область,8,2301797.19,3909387.94,10.10.2018,Ремонт кровли ,6129.7,"7941,80000",637.7780217628922,-0.6984067740564059
291955,11710000,3690,Архангельская область,8,3533440.11,5963187.67,06.06.2019,Ремонт кровли ,1984.0,"3533,40000",3005.6389465725806,-0.6876436233130325
286331,11708000,2904,Архангельская область,8,1146469.47,1913531.4,17.12.2018,Ремонт кровли ,3686.6,"6315,10000",519.0504529919167,-0.6690644191336381
286423,11708000,2919,Архангельская область,8,2021421.22,3361191.93,17.12.2018,Ремонт кровли ,6105.6,"4304,00000",550.5096845518868,-0.6627865072080327
267636,11701000,12166,Архангельская область,8,564936.26,938215.68,23.05.2016,Ремонт кровли ,504.8,"139,80000",1858.588906497623,-0.6607460813366804
286664,11708000,2840,Архангельская область,8,785424.4,1279692.92,18.07.2019,Ремонт кровли ,2585.1,"785,40000",495.0264670612355,-0.6293012032730328
291824,11710000,3647,Архангельская область,8,4452823.48,7230942.31,26.04.2019,Ремонт кровли ,2400.47,"4452,80000",3012.3027198840227,-0.6239005077290868
287260,11708000,2987,Архангельская область,8,1199666.86,1939297.86,17.12.2018,Ремонт кровли ,3614.6,"6751,00000",536.5179715597853,-0.6165303257606032
287547,11708000,3031,Архангельская область,8,819378.5,1301464.82,18.07.2019,Ремонт кровли ,2562.0,"819,40000",507.9878298204528,-0.5883560771975346
287241,11708000,2984,Архангельская область,8,1234031.12,1943957.23,17.12.2018,Ремонт кровли ,3281.7,"2523,50000",592.3628698540391,-0.5752902811721635
298207,11730000,15679,Архангельская область,8,1651837.41,2588516.87,14.06.2019,Ремонт кровли ,3678.2,"1876,20000",703.745546734816,-0.5670530612331878
323505,11701000,14253,Архангельская область,8,785408.19,1218659.65,19.05.2017,Ремонт кровли ,437.3,"2729,40000",2786.781728790304,-0.5516258494834386
287544,11708000,3030,Архангельская область,8,1993118.63,3087625.0,08.11.2018,Ремонт кровли ,5063.3,"4605,30000",609.8048703414769,-0.5491426117470991
334479,11658000,4889,Архангельская область,8,791490.52,1219332.0,09.12.2016,Ремонт кровли ,800.0,"2788,00000",1524.165,-0.5405516164615591
300604,11730000,16362,Архангельская область,8,1687066.32,2597486.58,03.07.2018,Ремонт кровли ,3660.7,"4458,90000",709.5600786734778,-0.5396469890999899
292044,11710000,3722,Архангельская область,8,3127425.32,4780830.36,23.04.2019,Ремонт кровли ,2889.02,"4200,20000",1654.8277132037856,-0.5286793035237051
292092,11710000,3731,Архангельская область,8,3731170.77,5697311.05,05.04.2019,Ремонт кровли ,2769.47,"3731,20000",2057.184605718784,-0.5269499578546494
296694,11730000,15365,Архангельская область,8,1677808.67,2514745.39,30.11.2018,Ремонт кровли ,3659.7,"4036,20000",687.1452277509086,-0.49882727093071955
320662,11650000,13040,Архангельская область,8,4346694.91,6410489.25,11.10.2018,Ремонт кровли ,4169.4,"8660,50000",1537.5088142178731,-0.47479622626654505
