,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
610016,24602000,52343,Ивановская область,8,668729.6,0.0,,Ремонт кровли ,162.6,"0,00000",0.0,1.0
622244,24711000,51973,Ивановская область,8,2075990.4,0.0,,Ремонт кровли ,396.0,"16,50756",0.0,1.0
622236,24711000,51977,Ивановская область,8,1100379.76,0.0,,Ремонт кровли ,208.94,"0,00000",0.0,1.0
622231,24711000,52126,Ивановская область,8,30969257.33,0.0,,Ремонт кровли ,7769.8,"1432,50000",0.0,1.0
622220,24711000,51962,Ивановская область,8,1587398.72,0.0,,Ремонт кровли ,302.8,"14,43968",0.0,1.0
622188,24711000,61679,Ивановская область,8,5469920.16,0.0,,Ремонт кровли ,985.9,"73,00000",0.0,1.0
622183,24711000,51902,Ивановская область,8,3975620.63,0.0,,Ремонт кровли ,1680.1,"0,00000",0.0,1.0
622180,24711000,61676,Ивановская область,8,2046632.96,0.0,,Ремонт кровли ,1043.4,"0,00000",0.0,1.0
622174,24711000,52056,Ивановская область,8,6144807.84,0.0,,Ремонт кровли ,2596.8,"29,00326",0.0,1.0
622149,24711000,61840,Ивановская область,8,3178747.8,0.0,,Ремонт кровли ,1290.6,"21,63377",0.0,1.0
622131,24711000,61892,Ивановская область,8,1635628.8,0.0,,Ремонт кровли ,312.9,"0,00000",0.0,1.0
622129,24711000,61891,Ивановская область,8,1633531.84,0.0,,Ремонт кровли ,311.6,"0,00000",0.0,1.0
622126,24711000,61896,Ивановская область,8,1559614.0,0.0,,Ремонт кровли ,297.5,"0,00000",0.0,1.0
622124,24711000,61890,Ивановская область,8,1582156.32,0.0,,Ремонт кровли ,301.8,"0,00000",0.0,1.0
622122,24711000,61895,Ивановская область,8,1542838.32,0.0,,Ремонт кровли ,294.3,"0,00000",0.0,1.0
622120,24711000,61889,Ивановская область,8,1547556.48,0.0,,Ремонт кровли ,295.2,"0,00000",0.0,1.0
622118,24711000,61888,Ивановская область,8,1580583.6,0.0,,Ремонт кровли ,301.5,"0,00000",0.0,1.0
622116,24711000,61887,Ивановская область,8,1540741.36,0.0,,Ремонт кровли ,293.4,"0,00000",0.0,1.0
622114,24711000,61894,Ивановская область,8,1613610.72,0.0,,Ремонт кровли ,318.8,"0,00000",0.0,1.0
622113,24711000,61886,Ивановская область,8,1527635.36,0.0,,Ремонт кровли ,292.0,"0,00000",0.0,1.0
622111,24711000,61885,Ивановская область,8,1575865.44,0.0,,Ремонт кровли ,300.6,"0,00000",0.0,1.0
622109,24711000,61893,Ивановская область,8,1675471.04,0.0,,Ремонт кровли ,319.6,"0,00000",0.0,1.0
622106,24711000,61884,Ивановская область,8,2103775.12,0.0,,Ремонт кровли ,401.3,"0,00000",0.0,1.0
622238,24711000,52122,Ивановская область,8,25587961.25,0.0,,Ремонт кровли ,6419.7,"52,74664",0.0,1.0
622248,24711000,52152,Ивановская область,8,8948631.84,0.0,,Ремонт кровли ,2407.1,"0,00000",0.0,1.0
