,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5894318,33636000,33636000156990,Кировская область,8,59769.0,142442.13,15.12.2016,Ремонт кровли ,175.0,"231,10632",813.9550285714286,-1.3832108618179995
5822352,33602000,33602000201868,Кировская область,8,179550.0,338000.0,14.11.2016,Ремонт кровли ,218.8,"410,09000",1544.7897623400365,-0.8824839877471456
5844262,33701000,33701000142344,Кировская область,8,485816.0,700000.0,27.09.2017,Ремонт кровли ,4492.07,"1185,81600",155.8301629315661,-0.44087473446737035
5824701,33607000,33607000156865,Кировская область,8,2967360.0,4209217.0,,Ремонт кровли ,4007.8,"1057,61969",1050.2562503118918,-0.418505675078184
5876523,33713000,33713000128486,Кировская область,8,1344694.0,1728204.4,24.04.2018,Ремонт кровли ,5022.3,"1206,19048",344.10616649742144,-0.2852027301378603
5885843,33627000,33627000249444,Кировская область,8,624910.0,738715.2,,Ремонт кровли ,357.8,"69,79370",2064.60368921185,-0.18211454449440712
5887453,33628000,33628000192518,Кировская область,8,602001.0,705351.0,30.08.2017,Ремонт кровли ,4027.4,"1307,35200",175.1380543278542,-0.17167745568528955
5885796,33627000,33627000226862,Кировская область,8,134415.0,145477.0,08.08.2016,Ремонт кровли ,207.1,"308,01300",702.4480927088364,-0.08229736264553807
5885777,33627000,33627000232399,Кировская область,8,100311.0,107698.0,06.07.2016,Ремонт кровли ,151.5,"97,41300",710.8778877887788,-0.07364097656288941
5894986,33636000,3363600025165,Кировская область,8,241164.0,257963.09,03.11.2016,Ремонт кровли ,317.3,"401,12243",812.9942956192878,-0.06965836526181353
5894890,33636000,33636000177372,Кировская область,8,98919.0,104535.88,29.11.2016,Ремонт кровли ,169.6,"188,58402",616.3672169811322,-0.056782620123535466
5882990,33620000,3362000095869,Кировская область,8,468756.0,491213.0,18.07.2016,Ремонт кровли ,589.16,"575,36400",833.7514427320253,-0.04790765344870252
5894401,33636000,3363600075254,Кировская область,8,180090.0,187093.96,16.09.2016,Ремонт кровли ,334.0,"187,09396",560.1615568862276,-0.03889144316730519
5824353,33607000,33607000115929,Кировская область,8,1910546.33,1943131.33,05.03.2019,Ремонт кровли ,986.0,"3530,66837",1970.721430020284,-0.017055330974360617
5824122,33607000,33607000129925,Кировская область,8,1309891.0,1322105.0,05.03.2019,Ремонт кровли ,1182.9,"87,24591",1117.6811226646378,-0.00932443997248626
5878835,33614000,33614000156812,Кировская область,8,1009323.95,1009323.95,14.11.2018,Ремонт кровли ,525.8,"1243,11067",1919.5967097755802,0.0
5878588,33614000,3361400029935,Кировская область,8,781111.77,781111.77,22.02.2017,Ремонт кровли ,612.3,"840,18122",1275.7010779029888,0.0
5878536,33614000,3361400033182,Кировская область,8,678576.3,678576.3,15.02.2017,Ремонт кровли ,543.0,"1490,58706",1249.6801104972376,0.0
5878504,33614000,3361400034083,Кировская область,8,1136919.0,1136919.0,26.11.2017,Ремонт кровли ,795.5,"1161,12742",1429.1879321181648,0.0
5878501,33614000,3361400032068,Кировская область,8,697430.52,697430.52,22.02.2017,Ремонт кровли ,528.4,"686,34276",1319.8912187736564,0.0
5878775,33614000,33614000156825,Кировская область,8,298399.92,298399.92,14.11.2018,Ремонт кровли ,169.2,"610,93849",1763.5929078014185,0.0
5878471,33614000,33614000212564,Кировская область,8,120000.0,120000.0,09.07.2018,Ремонт кровли ,409.5,"120,00000",293.040293040293,0.0
5878941,33614000,33614000233368,Кировская область,8,891122.9,891122.9,08.12.2016,Ремонт кровли ,770.4,"873,30153",1156.7015835929387,0.0
5877231,33713000,33713000211654,Кировская область,8,2776080.98,2776080.98,08.02.2018,Ремонт кровли ,3390.1,"3537,63233",818.8787882363353,0.0
5877186,33713000,33713000123637,Кировская область,8,1425376.0,1425376.0,01.08.2018,Ремонт кровли ,4956.6,"1425,37600",287.57131904934835,0.0
5876904,33713000,33713000107703,Кировская область,8,3513144.0,3513144.0,13.11.2018,Ремонт кровли ,3422.8,"3630,03573",1026.3947645202757,0.0
5876549,33713000,33713000140783,Кировская область,8,1789535.0,1789535.0,25.10.2018,Ремонт кровли ,895.7,"2928,42436",1997.9178296304565,0.0
5876524,33713000,33713000128486,Кировская область,8,1344694.0,1344694.0,18.12.2017,Ремонт кровли ,5022.3,"1206,19048",267.74465882165543,0.0
5875924,33713000,3371300078339,Кировская область,8,1429135.76,1429135.76,24.01.2018,Ремонт кровли ,1378.7,"1687,56402",1036.5821135852614,0.0
5875886,33713000,3371300067808,Кировская область,8,1625539.68,1625539.68,13.03.2018,Ремонт кровли ,1945.1,"3329,24594",835.7100817438692,0.0
5875668,33713000,33713000134589,Кировская область,8,1108323.0,1108323.0,16.02.2018,Ремонт кровли ,1134.8,"1176,76648",976.6681353542475,0.0
5875598,33713000,33713000142150,Кировская область,8,3010633.0,3010633.0,29.12.2018,Ремонт кровли ,4999.8,"3871,09527",602.1506860274411,0.0
