,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1446144,38618000,4611003838,Курская область,8,401388.0,28887000.0,27.07.2016,Ремонт кровли ,863.2,"0,00000",33465.01390176089,-70.96777183174385
1466456,38701000,4612002073,Курская область,8,183210.0,13000712.5,01.04.2016,Ремонт кровли ,394.0,"0,00000",32996.73223350254,-69.96071448065062
1460632,38701000,4612001573,Курская область,8,90721.5,2014209.34,08.07.2019,Ремонт кровли ,195.1,"0,00000",10323.98431573552,-21.202116808033377
1479110,38626000,4620004101,Курская область,8,176458.0,2121029.95,05.09.2015,Ремонт кровли ,425.2,"0,00000",4988.311265286924,-11.020027145269697
1477806,38626000,4620004111,Курская область,8,55009.5,611944.86,16.05.2016,Ремонт кровли ,118.3,"0,00000",5172.822147083685,-10.124348703405776
1467660,38701000,4612002183,Курская область,8,302017.5,3201107.99,19.05.2016,Ремонт кровли ,649.5,"0,00000",4928.57273287144,-9.599081145960087
1466425,38701000,4612002070,Курская область,8,203344.5,2155263.37,17.12.2015,Ремонт кровли ,437.3,"0,00000",4928.569334552939,-9.599073837748255
1452793,38701000,4612000892,Курская область,8,89419.5,939479.72,24.10.2016,Ремонт кровли ,192.3,"0,00000",4885.489963598544,-9.50643002924418
1461094,38701000,4612001618,Курская область,8,59566.5,600000.0,12.04.2016,Ремонт кровли ,128.1,"0,00000",4683.84074941452,-9.072775805192515
1442462,38705000,4606002745,Курская область,8,172847.5,1730075.93,24.09.2015,Ремонт кровли ,416.5,"0,00000",4153.843769507803,-9.009262095199524
1447162,38701000,4612000266,Курская область,8,214225.5,2138871.82,10.05.2016,Ремонт кровли ,460.7,"0,00000",4642.656435858476,-8.98420738894296
1453282,38701000,4612000932,Курская область,8,155914.5,1526919.5,12.04.2016,Ремонт кровли ,335.3,"0,00000",4553.890545779898,-8.793313001677202
1483688,38640000,4627004733,Курская область,8,51894.0,498160.85,16.08.2016,Ремонт кровли ,111.6,"0,00000",4463.806899641577,-8.599584730411994
1483676,38640000,4627004732,Курская область,8,90814.5,871776.09,16.08.2016,Ремонт кровли ,232.3,"0,00000",3752.802798105897,-8.599525296070562
1483771,38640000,4627004746,Курская область,8,74679.0,716882.91,16.08.2016,Ремонт кровли ,160.6,"0,00000",4463.779016189291,-8.599524765998474
1458239,38701000,4612001291,Курская область,8,175165.5,1636851.63,18.04.2016,Ремонт кровли ,376.7,"0,00000",4345.239262012211,-8.34460056346712
1477955,38626000,4620004137,Курская область,8,149358.0,1388957.58,27.06.2016,Ремонт кровли ,321.2,"0,00000",4324.276400996265,-8.29951914192745
1464288,38701000,4612001893,Курская область,8,387717.0,3602971.55,12.04.2016,Ремонт кровли ,833.8,"0,00000",4321.1460182297915,-8.292787135978045
1450656,38701000,4612000435,Курская область,8,174514.5,1619793.06,11.04.2016,Ремонт кровли ,375.3,"0,00000",4315.995363709033,-8.281710459589318
1468450,38701000,4612002250,Курская область,8,325872.0,2962746.09,23.06.2016,Ремонт кровли ,700.8,"0,00000",4227.662799657534,-8.091747956252762
