,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1588512,50701000,102085,Новосибирская область,8,3092593.9,1405057.41,28.02.2019,Ремонт кровли ,446.63,"1405,05741",3145.9091641851196,0.545670251111858
1629973,50701000,106595,Новосибирская область,8,4227298.6,1997047.32,21.03.2019,Ремонт кровли ,779.4,"3585,71804",2562.288067744419,0.5275830952656146
1618246,50701000,105317,Новосибирская область,8,9286224.0,4559134.02,,Ремонт кровли ,6861.03,"150,16284",664.497024499237,0.5090432860546978
1594038,50701000,102658,Новосибирская область,8,5672830.0,2846582.45,28.03.2019,Ремонт кровли ,1942.4,"2746,14325",1465.4975545716638,0.4982076935145245
1603105,50701000,103595,Новосибирская область,8,8788725.5,4611262.18,06.06.2019,Ремонт кровли ,4133.7,"4611,26218",1115.5289885574666,0.4753207185729035
1621479,50701000,108426,Новосибирская область,8,2198362.5,1257116.05,31.07.2019,Ремонт кровли ,424.3,"110,24781",2962.8000235682302,0.42815798122466153
1624505,50701000,105888,Новосибирская область,8,7351100.0,4230039.89,25.01.2019,Ремонт кровли ,3703.7,"4230,03989",1142.1119124119123,0.42457048741004755
1621723,50701000,105613,Новосибирская область,8,5543781.7,3225638.18,08.07.2019,Ремонт кровли ,1626.2,"941,22902",1983.5433403025459,0.4181520206684906
1653123,50630000,111766,Новосибирская область,8,4854500.0,2873129.24,07.05.2019,Ремонт кровли ,671.9,"97,55137",4276.126268789999,0.4081513564733752
1637174,50701000,107440,Новосибирская область,8,8038358.5,4801610.37,15.08.2019,Ремонт кровли ,4067.6,"143,13559",1180.4529378503296,0.40266282351054633
1628256,50701000,107982,Новосибирская область,8,6384361.0,3844888.76,22.03.2019,Ремонт кровли ,3230.7,"3844,88876",1190.1101185501593,0.39776451237641486
1639376,50701000,108690,Новосибирская область,8,6889367.7,4206571.1,29.07.2019,Ремонт кровли ,3817.9,"245,56948",1101.8023258859582,0.389411150169848
1639595,50701000,108709,Новосибирская область,8,3047418.95,1884574.61,21.02.2019,Ремонт кровли ,687.2,"1923,26564",2742.3961146682186,0.38158335269261223
1579213,50604000,109851,Новосибирская область,8,4176811.8,2583968.03,14.08.2019,Ремонт кровли ,747.3,"0,00000",3457.7385655024755,0.38135397194577936
1634634,50701000,107154,Новосибирская область,8,10381708.24,6427611.12,29.12.2018,Ремонт кровли ,18375.9,"6427,61112",349.78483339591526,0.3808715317933073
1638830,50701000,108645,Новосибирская область,8,1776053.5,1101629.96,31.05.2019,Ремонт кровли ,410.7,"1463,13825",2682.3227660092525,0.3797315452490592
1594433,50701000,102735,Новосибирская область,8,1775360.0,1105137.5,21.06.2019,Ремонт кровли ,402.2,"1092,40019",2747.7312282446546,0.3775135747116078
1632818,50701000,106903,Новосибирская область,8,7504640.9,4696417.78,22.02.2019,Ремонт кровли ,4500.5,"180,20698",1043.5324475058328,0.374198200476188
1639409,50701000,108695,Новосибирская область,8,4462672.5,2801975.99,15.05.2019,Ремонт кровли ,2414.5,"4087,13552",1160.478769931663,0.3721304913143413
1667139,50657000,112423,Новосибирская область,8,2177590.0,1381015.77,16.04.2019,Ремонт кровли ,125.8,"1408,59580",10977.867806041337,0.36580542250836934
1591241,50701000,102505,Новосибирская область,8,7437094.0,4766241.5,,Ремонт кровли ,2239.8,"0,00000",2127.9763818198053,0.3591258225322955
1639913,50701000,108752,Новосибирская область,8,6033450.0,3880039.06,23.05.2019,Ремонт кровли ,2195.7,"3885,13937",1767.1080111126294,0.35691203871748334
1587418,50701000,105259,Новосибирская область,8,5735245.0,3699728.72,,Ремонт кровли ,799.9,"430,90257",4625.23905488186,0.354913570388013
1656295,50640000,111353,Новосибирская область,8,4360728.0,2813823.17,29.04.2019,Ремонт кровли ,1198.7,"3488,05240",2347.39565362476,0.35473545472223905
1596620,50701000,102968,Новосибирская область,8,5083355.0,3281101.32,27.05.2019,Ремонт кровли ,2061.6,"3404,99235",1591.531490104773,0.3545401963860482
1632067,50701000,106811,Новосибирская область,8,9355253.75,6075349.62,26.12.2018,Ремонт кровли ,9025.2,"11649,49298",673.1540154234809,0.35059488685702406
1630015,50701000,108507,Новосибирская область,8,2237444.5,1454405.03,07.08.2019,Ремонт кровли ,511.3,"0,00000",2844.5238216311363,0.349970455133077
1622875,50701000,105735,Новосибирская область,8,3744900.0,2445226.6,20.06.2019,Ремонт кровли ,1003.5,"174,49590",2436.6981564524167,0.3470515634596384
1653249,50632000,101777,Новосибирская область,8,1643595.0,1073409.11,30.06.2019,Ремонт кровли ,277.1,"127,78396",3873.72468422952,0.34691386259997137
1653119,50630000,114857,Новосибирская область,8,4854500.0,3175194.23,07.05.2019,Ремонт кровли ,671.9,"3138,49926",4725.694642059831,0.3459276485734885
1627908,50701000,107973,Новосибирская область,8,4327440.0,2831945.2,10.07.2019,Ремонт кровли ,682.8,"107,26348",4147.547158758056,0.34558417909895917
1597788,50701000,103074,Новосибирская область,8,7628500.0,5000325.82,,Ремонт кровли ,4294.9,"1920,64727",1164.2473212414727,0.3445204404535623
1617107,50701000,105142,Новосибирская область,8,4066132.2,2670743.13,30.08.2019,Ремонт кровли ,3812.8,"143,79544",700.4676694292907,0.3431735618433656
1638392,50701000,108601,Новосибирская область,8,8023795.0,5283839.17,01.03.2019,Ремонт кровли ,3354.4,"5422,41857",1575.1965090627236,0.3414787927657673
1627399,50701000,106244,Новосибирская область,8,3820265.5,2518862.93,,Ремонт кровли ,1795.6,"6463,23775",1402.7973546446872,0.34065762445044717
1609804,50701000,104406,Новосибирская область,8,5590997.0,3700353.35,09.08.2019,Ремонт кровли ,1930.9,"1053,21248",1916.387876119944,0.33815858781537533
1633154,50701000,106945,Новосибирская область,8,30347560.0,20140883.32,07.06.2019,Ремонт кровли ,17379.77,"22863,91572",1158.8693820459073,0.33632610595382295
1590777,50701000,102424,Новосибирская область,8,9139965.97,6073733.09,28.03.2019,Ремонт кровли ,7613.6,"5993,42663",797.7478577808132,0.3354753059326763
1605995,50701000,103931,Новосибирская область,8,5369379.7,3587842.27,05.08.2019,Ремонт кровли ,6480.9,"135,88053",553.6024734219013,0.3317957621808717
1622685,50701000,108457,Новосибирская область,8,4161000.0,2798443.82,,Ремонт кровли ,1159.0,"56,12262",2414.533062985332,0.32745882720499886
1587920,50701000,102012,Новосибирская область,8,18031000.0,12155038.75,,Ремонт кровли ,6676.6,"1748,39980",1820.5432031273401,0.32588105207697854
1590823,50701000,102441,Новосибирская область,8,6081995.0,4100980.84,12.04.2019,Ремонт кровли ,3274.49,"4100,98084",1252.4029207601795,0.3257178212083371
1633109,50701000,106941,Новосибирская область,8,28315605.0,19124084.88,16.04.2019,Ремонт кровли ,16869.2,"22427,45454",1133.668750148199,0.32460970267101835
1644843,50613000,111808,Новосибирская область,8,4524948.8,3091179.91,26.03.2019,Ремонт кровли ,660.0,"3060,29278",4683.605924242424,0.31685858854358745
