,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5983378,84701000,39568,Республика Алтай,8,1288905.0,1288905.4,18.12.2014,Ремонт кровли ,1687.0,"1288,91000",764.0221695317131,-3.1034094825209597e-07
5984686,84615000,39467,Республика Алтай,8,2343726.0,2343726.49,24.11.2017,Ремонт кровли ,1464.8,"2343,73000",1600.0317381212453,-2.090688076266242e-07
5982738,84701000,39518,Республика Алтай,8,2188737.0,2188737.45,06.11.2018,Ремонт кровли ,784.6,"2188,73700",2789.622036706602,-2.055980230545125e-07
5982697,84701000,39517,Республика Алтай,8,1646299.0,1646299.33,09.10.2015,Ремонт кровли ,1742.4,"1646,30000",944.845804637282,-2.0044961460494466e-07
5982867,84701000,39532,Республика Алтай,8,1152519.0,1152519.22,23.11.2017,Ремонт кровли ,578.4,"1152,52000",1992.5989280774552,-1.9088622397727093e-07
5984889,84615000,39421,Республика Алтай,8,1306542.0,1306542.24,29.12.2017,Ремонт кровли ,1140.7,"1306,54000",1145.386376786184,-1.8369099500106907e-07
5984702,84615000,39410,Республика Алтай,8,2160493.0,2160493.34,20.12.2018,Ремонт кровли ,3075.4,"2160,49300",702.508076998114,-1.5737148875325603e-07
5985244,84615000,39465,Республика Алтай,8,2749528.0,2749528.4,24.11.2017,Ремонт кровли ,1304.5,"2749,52840",2107.7258719816023,-1.4547951499561662e-07
5983185,84701000,39554,Республика Алтай,8,2100610.0,2100610.25,09.10.2015,Ремонт кровли ,1566.2,"2100,61000",1341.2145639126547,-1.1901304859064748e-07
5985090,84615000,39726,Республика Алтай,8,1105448.0,1105448.12,29.12.2018,Ремонт кровли ,450.0,"1105,44800",2456.551377777778,-1.0855327442969612e-07
5983013,84701000,39544,Республика Алтай,8,2816272.0,2816272.3,29.12.2018,Ремонт кровли ,4341.7,"2816,27200",648.6565861298569,-1.0652380161210831e-07
5985599,84625000,39394,Республика Алтай,8,411879.0,411879.04,31.10.2017,Ремонт кровли ,164.85,"411,87904",2498.507976948741,-9.711590049273025e-08
5983113,84701000,39675,Республика Алтай,8,3700747.0,3700747.35,06.11.2018,Ремонт кровли ,2557.0,"3700,70000",1447.300488854126,-9.457550059302412e-08
5982808,84701000,39525,Республика Алтай,8,2862205.0,2862205.26,21.10.2015,Ремонт кровли ,4413.6,"2862,21000",648.496750951604,-9.083905582461165e-08
5982757,84701000,39520,Республика Алтай,8,2208245.0,2208245.2,26.12.2018,Ремонт кровли ,745.6,"2208,24500",2961.7022532188844,-9.056966060661951e-08
5982968,84701000,39541,Республика Алтай,8,1168940.0,1168940.09,06.11.2018,Ремонт кровли ,527.5,"1168,94000",2216.000170616114,-7.699283118365273e-08
5985443,84615000,39491,Республика Алтай,8,1628976.0,1628976.12,29.12.2018,Ремонт кровли ,795.2,"1628,97600",2048.511217303823,-7.366591043192699e-08
5983938,84701000,39741,Республика Алтай,8,6654942.0,6654942.48,28.12.2018,Ремонт кровли ,7295.8,"6654,94200",912.1607609857726,-7.212684955737177e-08
5983305,84701000,39671,Республика Алтай,8,4903437.0,4903437.35,29.12.2018,Ремонт кровли ,4416.6,"4903,43700",1110.2289883620883,-7.137850443015195e-08
5982917,84701000,39537,Республика Алтай,8,3144724.0,3144724.22,09.11.2015,Ремонт кровли ,4113.3,"3144,72000",764.525860015073,-6.995844474901167e-08
5984662,84615000,39499,Республика Алтай,8,3084677.0,3084677.21,16.09.2016,Ремонт кровли ,1294.3,"3084,67721",2383.2783821370626,-6.807844061558052e-08
5984515,84701000,39689,Республика Алтай,8,4370784.0,4370784.14,09.11.2018,Ремонт кровли ,4521.7,"4370,78400",966.6240882853793,-3.203086669684978e-08
5985155,84615000,39453,Республика Алтай,8,1492855.0,1492855.04,29.12.2018,Ремонт кровли ,1322.5,"1492,85500",1128.8128846880907,-2.6794296858873035e-08
5985344,84615000,39482,Республика Алтай,8,4163185.0,4163185.08,29.12.2018,Ремонт кровли ,4105.1,"4163,18500",1014.1494920951986,-1.921605695507305e-08
5985481,84615000,39506,Республика Алтай,8,2366056.0,2366056.02,02.10.2015,Ремонт кровли ,808.7,"2366,05602",2925.7524669222207,-8.452885315743351e-09
5984077,84701000,39710,Республика Алтай,8,829409.0,829409.0,04.12.2014,Ремонт кровли ,1526.3,"829,40900",543.4115180501867,0.0
5984479,84701000,39644,Республика Алтай,8,2110371.0,2110371.0,30.06.2015,Ремонт кровли ,4330.1,"2110,37000",487.37234705895935,0.0
5985853,84640000,39720,Республика Алтай,8,873000.0,873000.0,28.12.2014,Ремонт кровли ,364.1,"901,55000",2397.692941499588,0.0
5984292,84701000,39624,Республика Алтай,8,1902700.0,1902700.0,04.12.2014,Ремонт кровли ,2603.3,"1902,70000",730.8800368762724,0.0
5984314,84701000,39659,Республика Алтай,8,2122243.0,2122243.0,30.04.2015,Ремонт кровли ,4393.6,"2122,24300",483.03054442825925,0.0
