,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5005415,82606000,10253,Республика Дагестан,8,343200.0,0.0,,Ремонт кровли ,640.0,"0,00000",0.0,1.0
5036653,82636000,9939,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,641.57,"0,00000",0.0,1.0
5036666,82632000,10500,Республика Дагестан,8,572000.0,0.0,,Ремонт кровли ,324.6,"0,00000",0.0,1.0
5036669,82632000,9954,Республика Дагестан,8,550000.0,0.0,,Ремонт кровли ,394.1,"0,00000",0.0,1.0
5036672,82632000,9955,Республика Дагестан,8,215600.0,0.0,,Ремонт кровли ,240.14,"0,00000",0.0,1.0
5036673,82632000,9955,Республика Дагестан,8,215600.0,0.0,,Ремонт кровли ,240.14,"0,00000",0.0,1.0
5036681,82632000,9958,Республика Дагестан,8,440000.0,0.0,,Ремонт кровли ,441.44,"0,00000",0.0,1.0
5036683,82632000,10592,Республика Дагестан,8,538450.0,0.0,,Ремонт кровли ,573.72,"0,00000",0.0,1.0
5036686,82632000,10601,Республика Дагестан,8,591360.0,0.0,,Ремонт кровли ,573.72,"0,00000",0.0,1.0
5036689,82632000,10602,Республика Дагестан,8,1338700.0,0.0,,Ремонт кровли ,2166.3,"0,00000",0.0,1.0
5036695,82634000,9960,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,600.0,"0,00000",0.0,1.0
5036699,82634000,9959,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,600.0,"0,00000",0.0,1.0
5036705,82634000,9962,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,600.0,"0,00000",0.0,1.0
5036709,82634000,9963,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,600.0,"0,00000",0.0,1.0
5036712,82634000,9964,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,600.0,"0,00000",0.0,1.0
5036720,82634000,9965,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,600.0,"0,00000",0.0,1.0
5036725,82634000,9966,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,600.0,"0,00000",0.0,1.0
5036730,82634000,9961,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,600.0,"0,00000",0.0,1.0
5036739,82637000,9967,Республика Дагестан,8,331100.0,0.0,,Ремонт кровли ,317.0,"0,00000",0.0,1.0
5036740,82637000,9967,Республика Дагестан,8,331100.0,0.0,,Ремонт кровли ,317.0,"0,00000",0.0,1.0
5036741,82637000,9968,Республика Дагестан,8,600600.0,0.0,,Ремонт кровли ,592.55,"0,00000",0.0,1.0
5036742,82637000,9968,Республика Дагестан,8,600600.0,0.0,,Ремонт кровли ,592.55,"0,00000",0.0,1.0
5036753,82637000,9969,Республика Дагестан,8,616000.0,0.0,,Ремонт кровли ,644.84,"0,00000",0.0,1.0
5036754,82637000,9969,Республика Дагестан,8,616000.0,0.0,,Ремонт кровли ,644.84,"0,00000",0.0,1.0
5036761,82637000,9970,Республика Дагестан,8,473000.0,0.0,,Ремонт кровли ,546.84,"0,00000",0.0,1.0
5036762,82637000,9970,Республика Дагестан,8,473000.0,0.0,,Ремонт кровли ,546.84,"0,00000",0.0,1.0
5036771,82637000,9973,Республика Дагестан,8,312400.0,0.0,,Ремонт кровли ,320.5,"0,00000",0.0,1.0
5036659,82636000,9940,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,424.0,"0,00000",0.0,1.0
5036648,82636000,9938,Республика Дагестан,8,385000.0,0.0,,Ремонт кровли ,511.0,"0,00000",0.0,1.0
5036491,82627000,9907,Республика Дагестан,8,348700.0,0.0,,Ремонт кровли ,480.4,"0,00000",0.0,1.0
5036607,82636000,9953,Республика Дагестан,8,1738000.0,0.0,,Ремонт кровли ,5545.91,"0,00000",0.0,1.0
5036506,82627000,9913,Республика Дагестан,8,421850.0,0.0,,Ремонт кровли ,545.4,"0,00000",0.0,1.0
5036509,82627000,9914,Республика Дагестан,8,282480.0,0.0,,Ремонт кровли ,335.8,"0,00000",0.0,1.0
5036519,82627000,9927,Республика Дагестан,8,506440.0,0.0,,Ремонт кровли ,479.4,"0,00000",0.0,1.0
5036523,82627000,9926,Республика Дагестан,8,506440.0,0.0,,Ремонт кровли ,479.4,"0,00000",0.0,1.0
5036524,82629000,9928,Республика Дагестан,8,469700.0,0.0,,Ремонт кровли ,659.0,"0,00000",0.0,1.0
5036528,82629000,9933,Республика Дагестан,8,276100.0,0.0,,Ремонт кровли ,480.0,"0,00000",0.0,1.0
5036529,82629000,9933,Республика Дагестан,8,276100.0,0.0,,Ремонт кровли ,480.0,"0,00000",0.0,1.0
5036533,82629000,9929,Республика Дагестан,8,310200.0,0.0,,Ремонт кровли ,434.0,"0,00000",0.0,1.0
5036540,82629000,9930,Республика Дагестан,8,310200.0,0.0,,Ремонт кровли ,434.0,"0,00000",0.0,1.0
5036543,82629000,9931,Республика Дагестан,8,469700.0,0.0,,Ремонт кровли ,612.0,"0,00000",0.0,1.0
5036546,82629000,9931,Республика Дагестан,8,469700.0,0.0,,Ремонт кровли ,612.0,"0,00000",0.0,1.0
5036549,82629000,9932,Республика Дагестан,8,469700.0,0.0,,Ремонт кровли ,612.0,"0,00000",0.0,1.0
5036554,82629000,9932,Республика Дагестан,8,469700.0,0.0,,Ремонт кровли ,612.0,"0,00000",0.0,1.0
5036556,82629000,9934,Республика Дагестан,8,410300.0,0.0,,Ремонт кровли ,574.0,"0,00000",0.0,1.0
5036559,82629000,9935,Республика Дагестан,8,410300.0,0.0,,Ремонт кровли ,574.0,"0,00000",0.0,1.0
5036561,82629000,9936,Республика Дагестан,8,469700.0,0.0,,Ремонт кровли ,659.0,"0,00000",0.0,1.0
5036563,82629000,9936,Республика Дагестан,8,469700.0,0.0,,Ремонт кровли ,659.0,"0,00000",0.0,1.0
5036568,82629000,9937,Республика Дагестан,8,363000.0,0.0,,Ремонт кровли ,508.0,"0,00000",0.0,1.0
5036571,82629000,9937,Республика Дагестан,8,363000.0,0.0,,Ремонт кровли ,508.0,"0,00000",0.0,1.0
5036579,82636000,10284,Республика Дагестан,8,2670030.0,0.0,,Ремонт кровли ,8898.0,"0,00000",0.0,1.0
5036584,82636000,9948,Республика Дагестан,8,1576410.0,0.0,,Ремонт кровли ,5497.89,"0,00000",0.0,1.0
5036586,82636000,9949,Республика Дагестан,8,748000.0,0.0,,Ремонт кровли ,3119.78,"0,00000",0.0,1.0
5036592,82636000,9950,Республика Дагестан,8,682000.0,0.0,,Ремонт кровли ,1923.04,"0,00000",0.0,1.0
5036596,82636000,9951,Республика Дагестан,8,2310000.0,0.0,,Ремонт кровли ,7897.38,"0,00000",0.0,1.0
5036604,82636000,9952,Республика Дагестан,8,1309000.0,0.0,,Ремонт кровли ,4572.95,"0,00000",0.0,1.0
5036772,82637000,9973,Республика Дагестан,8,312400.0,0.0,,Ремонт кровли ,320.5,"0,00000",0.0,1.0
5036783,82637000,9971,Республика Дагестан,8,512600.0,0.0,,Ремонт кровли ,583.48,"0,00000",0.0,1.0
5036784,82637000,9971,Республика Дагестан,8,512600.0,0.0,,Ремонт кровли ,583.48,"0,00000",0.0,1.0
5036786,82637000,9972,Республика Дагестан,8,882200.0,0.0,,Ремонт кровли ,899.32,"0,00000",0.0,1.0
5036904,82639000,9993,Республика Дагестан,8,446600.0,0.0,,Ремонт кровли ,554.7,"0,00000",0.0,1.0
5036908,82639000,9994,Республика Дагестан,8,339900.0,0.0,,Ремонт кровли ,436.5,"0,00000",0.0,1.0
5036909,82639000,9994,Республика Дагестан,8,339900.0,0.0,,Ремонт кровли ,436.5,"0,00000",0.0,1.0
5036914,82639000,9975,Республика Дагестан,8,260700.0,0.0,,Ремонт кровли ,318.5,"0,00000",0.0,1.0
5036921,82639000,9975,Республика Дагестан,8,260700.0,0.0,,Ремонт кровли ,318.5,"0,00000",0.0,1.0
5036926,82639000,9976,Республика Дагестан,8,308000.0,0.0,,Ремонт кровли ,437.3,"0,00000",0.0,1.0
5036927,82639000,9976,Республика Дагестан,8,308000.0,0.0,,Ремонт кровли ,437.3,"0,00000",0.0,1.0
5036933,82639000,9977,Республика Дагестан,8,260700.0,0.0,,Ремонт кровли ,319.28,"0,00000",0.0,1.0
5036934,82639000,9977,Республика Дагестан,8,260700.0,0.0,,Ремонт кровли ,319.28,"0,00000",0.0,1.0
5036938,82639000,9978,Республика Дагестан,8,308000.0,0.0,,Ремонт кровли ,365.83,"0,00000",0.0,1.0
5036944,82639000,9978,Республика Дагестан,8,308000.0,0.0,,Ремонт кровли ,365.83,"0,00000",0.0,1.0
5036946,82639000,9979,Республика Дагестан,8,260700.0,0.0,,Ремонт кровли ,270.76,"0,00000",0.0,1.0
5036951,82639000,9979,Республика Дагестан,8,260700.0,0.0,,Ремонт кровли ,270.76,"0,00000",0.0,1.0
5036956,82639000,9980,Республика Дагестан,8,308000.0,0.0,,Ремонт кровли ,431.6,"0,00000",0.0,1.0
5036957,82639000,9980,Республика Дагестан,8,308000.0,0.0,,Ремонт кровли ,431.6,"0,00000",0.0,1.0
5036973,82640000,9996,Республика Дагестан,8,275000.0,0.0,,Ремонт кровли ,495.0,"0,00000",0.0,1.0
5036974,82640000,9996,Республика Дагестан,8,275000.0,0.0,,Ремонт кровли ,495.0,"0,00000",0.0,1.0
5036981,82640000,10000,Республика Дагестан,8,275000.0,0.0,,Ремонт кровли ,355.0,"0,00000",0.0,1.0
5036985,82640000,10000,Республика Дагестан,8,275000.0,0.0,,Ремонт кровли ,355.0,"0,00000",0.0,1.0
5036991,82640000,9997,Республика Дагестан,8,189200.0,0.0,,Ремонт кровли ,404.0,"0,00000",0.0,1.0
5036992,82640000,9997,Республика Дагестан,8,189200.0,0.0,,Ремонт кровли ,404.0,"0,00000",0.0,1.0
5036997,82640000,10501,Республика Дагестан,8,133650.0,0.0,,Ремонт кровли ,156.0,"0,00000",0.0,1.0
5037001,82640000,10501,Республика Дагестан,8,133650.0,0.0,,Ремонт кровли ,156.0,"0,00000",0.0,1.0
5037007,82640000,9998,Республика Дагестан,8,133650.0,0.0,,Ремонт кровли ,180.0,"0,00000",0.0,1.0
5037008,82640000,9998,Республика Дагестан,8,133650.0,0.0,,Ремонт кровли ,180.0,"0,00000",0.0,1.0
5036903,82639000,9993,Республика Дагестан,8,446600.0,0.0,,Ремонт кровли ,554.7,"0,00000",0.0,1.0
5036897,82639000,9992,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,295.07,"0,00000",0.0,1.0
5036895,82639000,9992,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,295.07,"0,00000",0.0,1.0
5036834,82639000,9985,Республика Дагестан,8,237600.0,0.0,,Ремонт кровли ,140.75,"0,00000",0.0,1.0
5036788,82637000,9972,Республика Дагестан,8,882200.0,0.0,,Ремонт кровли ,899.32,"0,00000",0.0,1.0
5036797,82639000,9974,Республика Дагестан,8,290400.0,0.0,,Ремонт кровли ,317.87,"0,00000",0.0,1.0
5036798,82639000,9974,Республика Дагестан,8,290400.0,0.0,,Ремонт кровли ,317.87,"0,00000",0.0,1.0
5036804,82639000,9983,Республика Дагестан,8,253000.0,0.0,,Ремонт кровли ,389.9,"0,00000",0.0,1.0
5036805,82639000,9983,Республика Дагестан,8,253000.0,0.0,,Ремонт кровли ,389.9,"0,00000",0.0,1.0
5036811,82639000,9981,Республика Дагестан,8,200200.0,0.0,,Ремонт кровли ,255.89,"0,00000",0.0,1.0
5036812,82639000,9981,Республика Дагестан,8,200200.0,0.0,,Ремонт кровли ,255.89,"0,00000",0.0,1.0
5036820,82639000,9982,Республика Дагестан,8,200200.0,0.0,,Ремонт кровли ,214.87,"0,00000",0.0,1.0
5036825,82639000,9982,Республика Дагестан,8,200200.0,0.0,,Ремонт кровли ,214.87,"0,00000",0.0,1.0
5036826,82639000,9984,Республика Дагестан,8,787600.0,0.0,,Ремонт кровли ,750.8,"0,00000",0.0,1.0
5036832,82639000,9984,Республика Дагестан,8,787600.0,0.0,,Ремонт кровли ,750.8,"0,00000",0.0,1.0
5036840,82639000,9985,Республика Дагестан,8,237600.0,0.0,,Ремонт кровли ,140.75,"0,00000",0.0,1.0
5036889,82639000,9991,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,562.0,"0,00000",0.0,1.0
5036842,82639000,9986,Республика Дагестан,8,396000.0,0.0,,Ремонт кровли ,434.7,"0,00000",0.0,1.0
5036848,82639000,9986,Республика Дагестан,8,396000.0,0.0,,Ремонт кровли ,434.7,"0,00000",0.0,1.0
5036851,82639000,9987,Республика Дагестан,8,435600.0,0.0,,Ремонт кровли ,541.51,"0,00000",0.0,1.0
5036852,82639000,9987,Республика Дагестан,8,435600.0,0.0,,Ремонт кровли ,541.51,"0,00000",0.0,1.0
5036858,82639000,9990,Республика Дагестан,8,278300.0,0.0,,Ремонт кровли ,230.94,"0,00000",0.0,1.0
5036859,82639000,9990,Республика Дагестан,8,278300.0,0.0,,Ремонт кровли ,230.94,"0,00000",0.0,1.0
5036869,82639000,9988,Республика Дагестан,8,323400.0,0.0,,Ремонт кровли ,328.6,"0,00000",0.0,1.0
5036870,82639000,9988,Республика Дагестан,8,323400.0,0.0,,Ремонт кровли ,328.6,"0,00000",0.0,1.0
5036879,82639000,9989,Республика Дагестан,8,316800.0,0.0,,Ремонт кровли ,403.26,"0,00000",0.0,1.0
5036880,82639000,9989,Республика Дагестан,8,316800.0,0.0,,Ремонт кровли ,403.26,"0,00000",0.0,1.0
5036882,82639000,9991,Республика Дагестан,8,330000.0,0.0,,Ремонт кровли ,562.0,"0,00000",0.0,1.0
5036495,82627000,9912,Республика Дагестан,8,419210.0,0.0,,Ремонт кровли ,584.8,"0,00000",0.0,1.0
