,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2324520,36740000,1201601,Самарская область,8,6811025.16,578982.36,31.12.2018,Ремонт кровли ,3317.5,"578,98236",174.52369555388094,0.9149933605589559
2334345,36604000,220271,Самарская область,8,587667.0,62779.6,31.12.2018,Ремонт кровли ,440.2,"62,77960",142.61608359836438,0.8931714729600267
2299716,36701000,1108958,Самарская область,22,4396216.3,503550.27,30.11.2018,Ремонт кровли ,1259.3,"503,55027",399.8652187723339,0.8854582587303541
2320209,36740000,1201030,Самарская область,8,1771218.66,354243.73,,Ремонт кровли ,3665.5,"0,00000",96.64267630609739,0.800000001129166
2230139,36704000,170256,Самарская область,8,2945010.0,1081349.98,30.04.2018,Ремонт кровли ,394.4,"1081,34998",2741.759584178499,0.6328195897467241
2356023,36640000,222021,Самарская область,8,1701000.0,629035.5,,Ремонт кровли ,743.8,"0,00000",845.7051626781393,0.6301966490299824
2275376,36701000,1104958,Самарская область,8,4835084.1,1877902.32,31.12.2018,Ремонт кровли ,514.0,,3653.506459143969,0.6116091713895937
2230198,36704000,170266,Самарская область,8,2945010.0,1252759.28,31.07.2019,Ремонт кровли ,3347.4,"0,00000",374.24845551771523,0.5746162899277082
2230205,36704000,170267,Самарская область,8,2945010.0,1273635.34,31.07.2019,Ремонт кровли ,3749.8,"0,00000",339.6542055576297,0.5675276688364386
2356002,36640000,222018,Самарская область,8,3724650.0,1612075.03,31.07.2018,Ремонт кровли ,748.8,"1612,07503",2152.877978098291,0.567187512920677
2275743,36701000,1105023,Самарская область,8,3489264.3,1582691.54,01.12.2018,Ремонт кровли ,649.4,"6502,48030",2437.159747459193,0.5464111044841171
2234427,36713000,140202,Самарская область,8,1617651.0,775598.15,31.07.2018,Ремонт кровли ,1484.2,"775,59815",522.5698356016709,0.520540493592252
2286651,36701000,1106790,Самарская область,8,5262570.0,2598711.0,23.11.2017,Ремонт кровли ,3525.2,"2598,71100",737.181152842392,0.5061897513952308
2258320,36701000,1102080,Самарская область,8,2910300.0,1443734.54,23.11.2017,Ремонт кровли ,1798.9,"1443,73454",802.5652009561398,0.5039224341133216
2258355,36701000,1102085,Самарская область,8,3978300.0,1980481.66,23.11.2017,Ремонт кровли ,2781.6,"1980,48166",711.9936942766753,0.5021789055626775
2258442,36701000,1102096,Самарская область,8,3978300.0,1980928.61,23.11.2017,Ремонт кровли ,4321.0,"1980,92861",458.44216847951867,0.5020665585802981
2305429,36735000,130211,Самарская область,8,4696530.0,2460691.42,,Ремонт кровли ,7428.1,"0,00000",331.2679446964903,0.4760618115928143
2279631,36701000,1105691,Самарская область,8,2585440.0,1363948.99,30.11.2018,Ремонт кровли ,1055.9,"1363,94899",1291.7406856709915,0.4724499543597995
2349170,36628000,2160233,Самарская область,22,3803510.0,2009961.01,31.12.2018,Ремонт кровли ,950.1,"0,00000",2115.525744658457,0.4715510120914629
2274172,36701000,1104706,Самарская область,8,806942.59,464683.63,01.12.2018,Ремонт кровли ,446.1,"1034,30279",1041.6579914817305,0.42414288729016025
2229109,36704000,170135,Самарская область,8,2762916.0,1616825.72,30.08.2019,Ремонт кровли ,2048.7,"0,00000",789.1959388880754,0.41481184371873775
