,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5390121,15701000,1053519,Брянская область,10,2376898.0,6388219.39,20.11.2018,Ремонт фасада,2588.0,"4981,68000",2468.400073415765,-1.6876287455330434
5407507,15701000,1014739,Брянская область,10,449237.0,914006.0,25.12.2018,Ремонт фасада,4387.6,"0,00000",208.31570790409333,-1.034574177995134
5434976,15650000,15016437,Брянская область,23,2716698.0,2845363.88,,Ремонт фасада,612.7,"2484,07000",4643.975648767749,-0.04736112736859227
5419345,15710000,9010862,Брянская область,10,1307111.0,1336432.76,,Ремонт фасада,830.1,"1204,09000",1609.9659800024094,-0.022432494256417405
5395391,15701000,1014702,Брянская область,10,286242.0,291967.4,16.01.2018,Ремонт фасада,3580.5,"472,42000",81.54375087278314,-0.020001956386554116
5409900,15701000,1044938,Брянская область,10,86934.0,86934.49,11.03.2019,Ремонт фасада,3146.5,"86,93000",27.628949626569206,-5.636459843159624e-06
5405241,15701000,1052872,Брянская область,10,619508.0,619508.26,30.11.2018,Ремонт фасада,9586.8,"0,00000",64.62096424250011,-4.1968788136604085e-07
5406796,15701000,1053020,Брянская область,10,4249241.0,4249241.76,07.10.2017,Ремонт фасада,3847.8,"4171,01000",1104.3302042725713,-1.7885547084208276e-07
5399956,15701000,1014697,Брянская область,10,272028.0,272028.03,06.02.2019,Ремонт фасада,3828.5,"331,75000",71.05342301162335,-1.1028276511219314e-07
5390478,15701000,1053218,Брянская область,10,16873685.0,16873685.97,29.12.2017,Ремонт фасада,16312.4,"253,94000",1034.4085462592873,-5.7485961057582094e-08
5407961,15701000,1052942,Брянская область,10,1785629.0,1785629.0,30.11.2018,Ремонт фасада,9615.8,"2119,79000",185.6973938725847,0.0
5414735,15715000,12002943,Брянская область,10,97200.0,97200.0,09.10.2017,Ремонт фасада,2946.9,"97,20000",32.98381349893108,0.0
5405229,15701000,1014722,Брянская область,10,198550.0,198550.0,20.12.2018,Ремонт фасада,4236.5,"198,55000",46.86651717219403,0.0
5404008,15701000,1053259,Брянская область,10,357500.0,357500.0,27.11.2017,Ремонт фасада,7688.2,"1427,38000",46.499830909705786,0.0
5405670,15701000,1014716,Брянская область,10,390000.0,390000.0,10.08.2017,Ремонт фасада,4713.8,"390,00000",82.7357970215113,0.0
5401349,15701000,1053307,Брянская область,10,357000.0,357000.0,16.11.2017,Ремонт фасада,6002.6,"950,34000",59.474227834605,0.0
5430135,15634000,12000932,Брянская область,10,1316676.0,1302962.0,31.05.2017,Ремонт фасада,889.6,"1217,70000",1464.6605215827337,0.010415622370271806
5413390,15715000,12003242,Брянская область,10,6400259.0,6301264.99,,Ремонт фасада,1841.5,"0,00000",3421.811018191692,0.015467188124730542
5430030,15634000,12000917,Брянская область,10,1715081.0,1669997.02,,Ремонт фасада,1225.5,"1825,62000",1362.7066666666667,0.026286793451737837
5418257,15725000,1004900,Брянская область,10,4387024.0,4097900.0,10.07.2017,Ремонт фасада,2818.32,"4108,25000",1454.0222543926877,0.06590435794287881
5434961,15650000,15016435,Брянская область,23,4572689.0,4154513.84,29.08.2019,Ремонт фасада,907.5,"0,00000",4577.976683195592,0.09145060160443891
5404056,15701000,1053268,Брянская область,10,1877522.0,1697679.0,12.11.2018,Ремонт фасада,2998.0,"5098,96000",566.2705136757838,0.0957874261926092
5423494,15616000,9000163,Брянская область,10,1021424.0,923278.9,27.04.2017,Ремонт фасада,704.76,"20,00000",1310.0614393552416,0.09608654192578202
5404044,15701000,1053267,Брянская область,10,1504032.0,1354717.0,12.11.2018,Ремонт фасада,2262.9,"3858,74000",598.6641035838967,0.09927647816003915
5419408,15710000,9011028,Брянская область,10,2671608.0,2340207.09,,Ремонт фасада,1080.0,"0,00000",2166.8584166666665,0.1240454849663574
5416607,15720000,3000048,Брянская область,10,4350434.0,3532712.74,,Ремонт фасада,1692.6,"0,00000",2087.1515656386628,0.18796314574591863
5407174,15701000,1046574,Брянская область,10,5250717.0,3313813.56,25.12.2018,Ремонт фасада,2519.5,"94,96000",1315.266346497321,0.36888360960988753
5396890,15701000,1014706,Брянская область,10,15648982.02,538733.0,31.10.2017,Ремонт фасада,4893.0,"538,73000",110.10279991825057,0.9655739268336127
5434991,15650000,15016439,Брянская область,23,2417728.0,76177.03,,Ремонт фасада,922.6,"0,00000",82.56777585085628,0.9684923076541283
5434924,15650000,15016430,Брянская область,23,1990032.0,62477.01,,Ремонт фасада,613.7,"0,00000",101.80382923252402,0.9686050224318001
5416579,15720000,3000042,Брянская область,10,2229910.0,69875.03,02.07.2017,Ремонт фасада,945.5,"36,66000",73.90272871496562,0.9686646411738591
5434855,15650000,15016422,Брянская область,23,3628088.0,102658.54,27.06.2017,Ремонт фасада,863.6,"3503,60000",118.87278832792958,0.971704506616157
5417837,15725000,1004903,Брянская область,10,2487969.0,54389.1,,Ремонт фасада,743.3,"0,00000",73.17247410197767,0.9781391568785623
5387249,15608000,1125760,Брянская область,10,11077143.0,188011.0,21.11.2016,Ремонт фасада,3775.4,"360,00000",49.79896169942258,0.9830271217045767
5402199,15701000,1014726,Брянская область,10,29183236.74,446200.0,16.12.2016,Ремонт фасада,14440.85,"446,20000",30.898458193250395,0.9847104005640192
5435259,15652000,10022955,Брянская область,10,3979715.38,28843.51,02.06.2017,Ремонт фасада,397.3,"1498,44000",72.59881701485023,0.9927523686379804
5422142,15616000,9000017,Брянская область,10,15014563.83,0.0,,Ремонт фасада,6737.5,"4520,76000",0.0,1.0
5422127,15616000,9000016,Брянская область,10,14477490.23,0.0,,Ремонт фасада,6330.1,"4241,90000",0.0,1.0
5421662,15616000,9000283,Брянская область,10,2506791.03,0.0,,Ремонт фасада,1224.8,"0,00000",0.0,1.0
5421752,15616000,9004280,Брянская область,10,2379907.39,0.0,,Ремонт фасада,591.8,"43,00000",0.0,1.0
5422106,15616000,9000175,Брянская область,10,17979948.58,0.0,,Ремонт фасада,7588.9,"0,00000",0.0,1.0
5422093,15616000,60000127,Брянская область,10,6649978.18,0.0,,Ремонт фасада,2619.9,"0,00000",0.0,1.0
5422076,15616000,9000174,Брянская область,10,15051219.1,0.0,,Ремонт фасада,6667.9,"0,00000",0.0,1.0
5421670,15616000,9000284,Брянская область,10,3397124.79,0.0,,Ремонт фасада,1783.8,"0,00000",0.0,1.0
5422074,15616000,9000014,Брянская область,10,8257506.6,0.0,,Ремонт фасада,3045.1,"0,00000",0.0,1.0
5422064,15616000,9000013,Брянская область,10,5394232.97,0.0,,Ремонт фасада,1683.3,"763,74000",0.0,1.0
5422047,15616000,9000173,Брянская область,10,10294257.53,0.0,,Ремонт фасада,4729.0,"0,00000",0.0,1.0
