,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6331446,25628000,12237,Иркутская область,10,134340.95,211482.45,19.11.2018,Ремонт фасада,4558.54,"5472,73302",46.39258402909704,-0.5742217841990844
6324277,25746000,6960,Иркутская область,10,639443.94,780699.01,,Ремонт фасада,1980.73,"6043,56866",394.14711242824615,-0.2209029770459629
6313298,25701000,6137,Иркутская область,10,2352771.6,2838793.92,,Ремонт фасада,1329.2,"269,69850",2135.7161600962986,-0.20657437381512078
6335274,25644000,13835,Иркутская область,10,2140294.41,2562961.32,17.10.2018,Ремонт фасада,3710.5,"9230,77465",690.732063064277,-0.19748073350338735
6305312,25701000,3293,Иркутская область,10,17758440.0,21228270.22,,Ремонт фасада,15526.1,"36522,03300",1367.2635252896735,-0.19539048587601157
6334448,25657000,14709,Иркутская область,10,3358627.91,3976565.65,22.11.2018,Ремонт фасада,1981.1,"6402,14534",2007.2513502599566,-0.18398517387417285
6333052,25634000,12534,Иркутская область,10,2094932.14,2385831.79,,Ремонт фасада,1677.4,"2421,61927",1422.3392094908786,-0.1388587460403372
6324275,25746000,6959,Иркутская область,10,589097.51,636846.74,,Ремонт фасада,2173.62,"5423,50271",292.98899531656866,-0.08105488342668428
6308814,25701000,4622,Иркутская область,10,1375407.78,1375407.78,20.09.2015,Ремонт фасада,7008.0,"6564,64911",196.26252568493152,0.0
6308793,25701000,4639,Иркутская область,10,917081.12,917081.12,31.08.2016,Ремонт фасада,3464.7,"4130,02131",264.6927930268133,0.0
6308769,25701000,4633,Иркутская область,10,1321497.86,1321497.86,31.08.2016,Ремонт фасада,2352.0,"3221,56473",561.8613350340137,0.0
6330530,25626000,11872,Иркутская область,10,2838370.65,2838370.65,31.08.2017,Ремонт фасада,3074.0,"6609,59718",923.347641509434,0.0
6330615,25626000,11883,Иркутская область,10,4581294.77,4581294.77,31.12.2016,Ремонт фасада,8272.3,"8140,97523",553.8114877361797,0.0
6330655,25626000,11910,Иркутская область,10,3786069.95,3786069.95,31.12.2016,Ремонт фасада,7759.1,"10318,75137",487.95220450825485,0.0
6308093,25701000,4338,Иркутская область,10,3115860.47,3115860.47,18.12.2015,Ремонт фасада,3776.0,"535,55450",825.1749126059323,0.0
6331320,25628000,12183,Иркутская область,10,526763.32,526763.32,18.07.2016,Ремонт фасада,382.66,"1885,71762",1376.583180891653,0.0
6309131,25701000,4816,Иркутская область,10,2420048.0,2420048.0,28.08.2015,Ремонт фасада,4436.9,"2594,33722",545.4366787621989,0.0
6309190,25701000,4846,Иркутская область,10,2167874.37,2167874.37,27.07.2015,Ремонт фасада,2278.4,"292,62847",951.4898042485955,0.0
6337080,25655000,14498,Иркутская область,10,5809860.0,5809860.0,13.05.2019,Ремонт фасада,2128.4,"2151,31320",2729.684269874084,0.0
6308028,25701000,4289,Иркутская область,10,2280465.83,2280465.83,31.08.2016,Ремонт фасада,5644.9,"5247,93102",403.98693156654684,0.0
6328960,25745000,8777,Иркутская область,10,1389140.92,1389140.92,30.08.2016,Ремонт фасада,1185.0,"4974,83022",1172.2708185654008,0.0
6328955,25745000,8775,Иркутская область,10,1280660.92,1280660.92,30.08.2016,Ремонт фасада,857.6,"3358,40700",1493.3079757462685,0.0
6328386,25745000,8612,Иркутская область,10,801457.65,801457.65,18.12.2015,Ремонт фасада,1213.1,"160,49483",660.6690709751877,0.0
6328315,25745000,8587,Иркутская область,10,645871.24,645871.24,18.12.2015,Ремонт фасада,6282.22,"222,08466",102.80939540480912,0.0
6328178,25745000,8531,Иркутская область,10,1126191.09,1126191.09,18.09.2015,Ремонт фасада,3300.5,"180,79318",341.21832752613244,0.0
6328146,25745000,8528,Иркутская область,10,1134436.4,1134436.4,18.09.2015,Ремонт фасада,1446.9,"181,80414",784.0461676688091,0.0
6327992,25745000,8480,Иркутская область,10,628055.35,628055.35,15.08.2015,Ремонт фасада,956.16,"96,65473",656.8517298360107,0.0
6327988,25745000,8479,Иркутская область,10,509986.11,509986.11,15.08.2015,Ремонт фасада,483.6,"109,31578",1054.5618486352357,0.0
6327881,25745000,8438,Иркутская область,10,1150076.01,1150076.01,15.08.2015,Ремонт фасада,528.5,"63,03952",2176.1135477767266,0.0
6327876,25745000,8436,Иркутская область,10,1150076.01,1150076.01,15.08.2015,Ремонт фасада,564.1,"63,04843",2038.78037581989,0.0
6327842,25745000,8431,Иркутская область,10,1165368.34,1165368.34,15.08.2015,Ремонт фасада,598.92,"134,63856",1945.7829760235093,0.0
6327836,25745000,8430,Иркутская область,10,972614.63,972614.63,15.08.2015,Ремонт фасада,1001.25,"119,19342",971.400379525593,0.0
6327743,25738000,8303,Иркутская область,10,1102163.9,1102163.9,25.09.2015,Ремонт фасада,548.1,"1011,21938",2010.8810436051813,0.0
6329027,25608000,10927,Иркутская область,10,2429118.48,2429118.48,26.10.2015,Ремонт фасада,1162.6,"223,82475",2089.384551866506,0.0
6328987,25745000,8789,Иркутская область,10,328410.52,328410.52,18.12.2015,Ремонт фасада,2776.9,"196,78138",118.26515899024092,0.0
6324046,25746000,6879,Иркутская область,10,1692626.56,1692626.56,26.10.2015,Ремонт фасада,1892.42,"191,30951",894.4243666839285,0.0
6331448,25628000,12237,Иркутская область,10,375802.78,375802.78,18.07.2016,Ремонт фасада,4558.54,"5472,73302",82.43928538523299,0.0
6333546,25636000,13159,Иркутская область,10,1148088.98,1148088.98,31.08.2016,Ремонт фасада,2129.9,"4142,82664",539.0342175688999,0.0
6333522,25636000,13154,Иркутская область,10,544256.53,544256.53,31.08.2016,Ремонт фасада,1011.1,"2569,71315",538.2816041934527,0.0
6305422,25701000,3347,Иркутская область,10,2177596.69,2177596.69,17.07.2016,Ремонт фасада,3517.6,"6211,84247",619.0575079599727,0.0
6305890,25701000,3590,Иркутская область,10,5781719.72,5781719.72,31.12.2016,Ремонт фасада,7134.34,"4941,02083",810.4070902143716,0.0
6305914,25701000,3611,Иркутская область,10,726107.26,726107.26,31.07.2016,Ремонт фасада,501.4,"1826,23890",1448.1596729158357,0.0
6305929,25701000,3614,Иркутская область,10,685617.04,685617.04,31.07.2016,Ремонт фасада,500.7,"2535,01651",1369.317036149391,0.0
6306087,25701000,3660,Иркутская область,10,787241.25,787241.25,10.08.2015,Ремонт фасада,775.0,"728,00304",1015.7951612903225,0.0
