,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6404696,27603000,612912,Калининградская область,10,3311820.85,3311820.85,10.11.2015,Ремонт фасада,2284.0,,1450.0091287215412,0.0
6462526,27621000,629354,Калининградская область,10,508735.21,508735.21,14.09.2015,Ремонт фасада,164.8,,3086.9854975728153,0.0
6463379,27621000,616966,Калининградская область,10,428967.53,428967.53,09.08.2015,Ремонт фасада,212.3,,2020.5724446537918,0.0
6463397,27621000,616918,Калининградская область,10,1422377.0,1422377.0,15.05.2016,Ремонт фасада,357.0,,3984.249299719888,0.0
6463507,27621000,616928,Калининградская область,10,1177450.51,1177450.51,30.05.2016,Ремонт фасада,300.6,,3917.0010312707914,0.0
6463539,27621000,616926,Калининградская область,10,1018675.93,1018675.93,01.06.2016,Ремонт фасада,175.6,,5801.115774487472,0.0
6463545,27621000,616927,Калининградская область,10,1533141.77,1533141.77,01.06.2016,Ремонт фасада,299.4,,5120.713994655979,0.0
6462297,27621000,617124,Калининградская область,10,1249285.8,1249285.8,08.09.2015,Ремонт фасада,738.9,,1690.737312220869,0.0
6463713,27621000,616943,Калининградская область,10,1409636.18,1409636.18,26.05.2016,Ремонт фасада,298.3,,4725.565471002346,0.0
6463747,27621000,616951,Калининградская область,10,773262.11,773262.11,05.05.2016,Ремонт фасада,140.0,,5523.300785714286,0.0
6463771,27621000,616952,Калининградская область,10,1620643.12,1620643.12,30.05.2016,Ремонт фасада,148.0,,10950.291351351352,0.0
6463778,27621000,616955,Калининградская область,10,1301228.87,1301228.87,15.06.2016,Ремонт фасада,167.4,,7773.171266427718,0.0
6463793,27621000,616950,Калининградская область,10,791308.2,791308.2,05.05.2016,Ремонт фасада,140.0,,5652.201428571429,0.0
6463808,27621000,616956,Калининградская область,10,1265381.82,1265381.82,20.12.2016,Ремонт фасада,140.0,,9038.441571428571,0.0
6463829,27621000,616958,Калининградская область,10,745828.04,745828.04,11.12.2015,Ремонт фасада,221.1,,3373.2611488014477,0.0
6463729,27621000,616939,Калининградская область,10,1376332.41,1376332.41,15.06.2016,Ремонт фасада,345.3,,3985.903301476976,0.0
6462277,27621000,617121,Калининградская область,10,1757855.01,1757855.01,08.09.2015,Ремонт фасада,1016.4,,1729.4913518299882,0.0
6461924,27621000,617065,Калининградская область,10,2450718.35,2450718.35,26.09.2018,Ремонт фасада,1347.7,,1818.445017437115,0.0
6461809,27621000,629415,Калининградская область,10,935214.6,935214.6,24.11.2015,Ремонт фасада,326.2,,2866.997547516861,0.0
6457839,27701000,622241,Калининградская область,10,15866442.6,15866442.6,27.11.2015,Ремонт фасада,4790.4,,3312.1331412825652,0.0
6458396,27618000,616410,Калининградская область,10,1403499.0,1403499.0,14.07.2015,Ремонт фасада,621.2,,2259.3351577591757,0.0
6458503,27618000,616461,Калининградская область,10,720306.0,720306.0,11.12.2015,Ремонт фасада,220.0,,3274.1181818181817,0.0
6460107,27712000,616721,Калининградская область,10,2403973.07,2403973.07,29.08.2018,Ремонт фасада,471.9,,5094.242572578936,0.0
6460250,27712000,616731,Калининградская область,10,1152542.65,1152542.65,28.06.2016,Ремонт фасада,288.0,,4001.8842013888884,0.0
6460349,27712000,616763,Калининградская область,10,902737.83,902737.83,23.06.2016,Ремонт фасада,257.8,,3501.698332040341,0.0
6460547,27712000,616793,Калининградская область,10,1468791.26,1468791.26,04.09.2015,Ремонт фасада,208.7,,7037.8114997604225,0.0
6461420,27621000,617011,Калининградская область,10,668043.07,668043.07,08.09.2015,Ремонт фасада,489.2,,1365.5827269010629,0.0
6461434,27621000,617013,Калининградская область,10,667802.54,667802.54,08.09.2015,Ремонт фасада,445.5,,1498.9956004489338,0.0
6461683,27621000,629401,Калининградская область,10,1770632.22,1770632.22,24.11.2015,Ремонт фасада,526.8,,3361.108997722096,0.0
6461707,27621000,629406,Калининградская область,10,1775667.46,1775667.46,30.09.2015,Ремонт фасада,652.5,,2721.3294406130267,0.0
6461723,27621000,629398,Калининградская область,10,1963670.27,1963670.27,21.09.2015,Ремонт фасада,1229.6,,1596.9992436564737,0.0
6461728,27621000,629308,Калининградская область,10,1148794.82,1148794.82,03.09.2015,Ремонт фасада,302.8,,3793.9062747688245,0.0
6461741,27621000,629310,Калининградская область,10,1170660.66,1170660.66,11.09.2015,Ремонт фасада,288.4,,4059.156241331484,0.0
6461756,27621000,629312,Калининградская область,10,758171.98,758171.98,14.09.2015,Ремонт фасада,194.6,,3896.053340184995,0.0
6463838,27621000,616957,Калининградская область,10,1009531.33,1009531.33,18.05.2016,Ремонт фасада,221.1,,4565.949027589326,0.0
6457573,27701000,623054,Калининградская область,10,5729339.0,5729339.0,22.12.2017,Ремонт фасада,1223.7,,4681.980060472338,0.0
6463845,27621000,616938,Калининградская область,10,801434.0,801434.0,08.04.2016,Ремонт фасада,168.0,,4770.440476190476,0.0
6463934,27624000,617173,Калининградская область,10,4381500.41,4381500.41,,Ремонт фасада,844.5,,5188.2775725281235,0.0
6467132,27717000,631588,Калининградская область,10,2761603.0,2761603.0,28.11.2018,Ремонт фасада,575.4,,4799.449078901634,0.0
6467143,27717000,631589,Калининградская область,10,1630178.38,1630178.38,02.11.2015,Ремонт фасада,498.7,,3268.8557850411066,0.0
6467153,27717000,617840,Калининградская область,10,1634993.9,1634993.9,06.11.2015,Ремонт фасада,1045.8,,1563.3906100592847,0.0
6467158,27717000,631590,Калининградская область,10,2761603.0,2761603.0,23.10.2018,Ремонт фасада,564.2,,4894.723502304147,0.0
6467169,27717000,617848,Калининградская область,10,1906486.92,1906486.92,28.11.2018,Ремонт фасада,306.8,,6214.103389830508,0.0
6467448,27717000,617865,Калининградская область,10,1961597.9,1961597.9,,Ремонт фасада,389.0,,5042.668123393316,0.0
6467123,27717000,617849,Калининградская область,10,1906486.92,1906486.92,23.10.2018,Ремонт фасада,327.1,,5828.452827881381,0.0
6467614,27717000,617872,Калининградская область,10,2830127.0,2830127.0,09.12.2015,Ремонт фасада,647.3,,4372.202997064731,0.0
6467786,27717000,617846,Калининградская область,10,3016284.42,3016284.42,,Ремонт фасада,423.9,,7115.556546355273,0.0
6468020,27717000,617881,Калининградская область,10,1255259.74,1255259.74,15.07.2016,Ремонт фасада,243.5,,5155.070800821355,0.0
