,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6165117,91603000,200140683,Карачаево-Черкесская Республика,10,457750.0,0.0,,Ремонт фасада,730.1,"0,00000",0.0,1.0
6166368,91625000,3100010963,Карачаево-Черкесская Республика,10,274650.0,0.0,,Ремонт фасада,552.6,"0,00000",0.0,1.0
6166904,91640000,3500021120,Карачаево-Черкесская Республика,10,1637573.16,0.0,,Ремонт фасада,8947.0,"0,00000",0.0,1.0
6166900,91640000,3500021119,Карачаево-Черкесская Республика,10,1637573.16,0.0,,Ремонт фасада,896.5,"0,00000",0.0,1.0
6166899,91640000,3500021118,Карачаево-Черкесская Республика,10,952120.0,0.0,,Ремонт фасада,636.3,"0,00000",0.0,1.0
6166890,91640000,3500481107,Карачаево-Черкесская Республика,10,18547.6,0.0,,Ремонт фасада,208.4,"0,00000",0.0,1.0
6166886,91640000,3500481106,Карачаево-Черкесская Республика,10,646764.13,0.0,,Ремонт фасада,1971.8,"0,00000",0.0,1.0
6166882,91640000,2700270953,Карачаево-Черкесская Республика,10,769020.0,0.0,,Ремонт фасада,413.7,"0,00000",0.0,1.0
6166879,91640000,2700270952,Карачаево-Черкесская Республика,10,752541.0,0.0,,Ремонт фасада,388.0,"0,00000",0.0,1.0
6166873,91640000,300300702,Карачаево-Черкесская Республика,10,9887400.0,0.0,,Ремонт фасада,680.0,"0,00000",0.0,1.0
6166871,91640000,300300706,Карачаево-Черкесская Республика,10,19921280.0,0.0,,Ремонт фасада,1360.0,"0,00000",0.0,1.0
6166865,91640000,300300705,Карачаево-Черкесская Республика,10,9887400.0,0.0,,Ремонт фасада,680.0,"0,00000",0.0,1.0
6166864,91640000,300300704,Карачаево-Черкесская Республика,10,9887400.0,0.0,,Ремонт фасада,680.0,"0,00000",0.0,1.0
6166858,91640000,300300703,Карачаево-Черкесская Республика,10,9887400.0,0.0,,Ремонт фасада,680.0,"0,00000",0.0,1.0
6166854,91635000,101001051,Карачаево-Черкесская Республика,10,104085.5,0.0,,Ремонт фасада,1170.4,"0,00000",0.0,1.0
6166834,91635000,2002001046,Карачаево-Черкесская Республика,10,611261.04,0.0,,Ремонт фасада,9753.5,"0,00000",0.0,1.0
6166832,91635000,2002001033,Карачаево-Черкесская Республика,10,465806.4,0.0,,Ремонт фасада,7265.3,"0,00000",0.0,1.0
6166827,91635000,2002001045,Карачаево-Черкесская Республика,10,611261.04,0.0,,Ремонт фасада,9753.5,"0,00000",0.0,1.0
6166810,91635000,2002001040,Карачаево-Черкесская Республика,10,611261.04,0.0,,Ремонт фасада,7618.8,"0,00000",0.0,1.0
6166805,91635000,2002001039,Карачаево-Черкесская Республика,10,870970.08,0.0,,Ремонт фасада,9753.5,"0,00000",0.0,1.0
6166802,91635000,2002001030,Карачаево-Черкесская Республика,10,611261.04,0.0,,Ремонт фасада,7377.1,"0,00000",0.0,1.0
6166779,91635000,3300631020,Карачаево-Черкесская Республика,10,1614813.83,0.0,,Ремонт фасада,2844.4,"0,00000",0.0,1.0
6166767,91635000,3300531013,Карачаево-Черкесская Республика,10,4070862.3,0.0,,Ремонт фасада,2223.3,"0,00000",0.0,1.0
6166766,91635000,3300531015,Карачаево-Черкесская Республика,10,1757760.0,0.0,,Ремонт фасада,3037.0,"0,00000",0.0,1.0
