,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5157381,32707000,32707000020,Кемеровская область,10,1096279.0,38794.99,31.12.2017,Ремонт фасада,3406.5,,11.388519007779244,0.964612119724997
5157107,32707000,32707000861,Кемеровская область,10,805000.0,487205.0,,Ремонт фасада,1403.6,,347.1110002849815,0.39477639751552795
5159982,32710000,32710000164,Кемеровская область,10,3106378.51,1985302.68,,Ремонт фасада,1943.43,,1021.5457618746236,0.36089479321050283
5190539,32731000,32731002591,Кемеровская область,10,5050000.0,3690943.62,,Ремонт фасада,6182.6,,596.9889075793355,0.26912007524752474
5157421,32707000,32707000292,Кемеровская область,10,1080000.0,906029.0,,Ремонт фасада,846.6,,1070.1972596267422,0.16108425925925926
5202779,32643000,32643000040,Кемеровская область,10,2831040.0,2392228.8,15.08.2018,Ремонт фасада,3100.6,,771.5373798619621,0.15500000000000005
5194408,32737000,32737000004,Кемеровская область,10,4808697.6,4066588.53,,Ремонт фасада,2707.6,,1501.9162837937656,0.15432641678278955
5176342,32719000,32719000590,Кемеровская область,10,881961.6,793765.4,,Ремонт фасада,543.2,,1461.2765095729012,0.10000004535344845
5160009,32710000,32710000008,Кемеровская область,10,1342780.32,1245974.04,29.09.2017,Ремонт фасада,1080.1,,1153.5728543653368,0.0720939073637898
5188922,32731000,32731000039,Кемеровская область,10,1843753.7,1740512.95,29.12.2018,Ремонт фасада,1485.7,,1171.5103654842835,0.055994870681479854
5201260,32631000,32631000002,Кемеровская область,10,5688319.2,5406705.89,30.11.2017,Ремонт фасада,4821.7,,1121.3277246614264,0.049507297340135294
5202865,32643000,32643000064,Кемеровская область,10,604548.59,576353.98,16.10.2015,Ремонт фасада,779.7,,739.1996665384121,0.04663745886827722
5165196,32701000,32701001064,Кемеровская область,10,2215280.41,2148822.0,23.09.2015,Ремонт фасада,2300.3,,934.1485893144371,0.029999998961756785
5169535,32701000,32701002258,Кемеровская область,10,920852.52,894031.57,23.09.2015,Ремонт фасада,773.8,,1155.3780951150168,0.02912621664976284
5169573,32701000,32701002270,Кемеровская область,10,685435.58,665471.44,23.09.2015,Ремонт фасада,733.4,,907.3785655849467,0.029126209059646444
5169522,32701000,32701002253,Кемеровская область,10,819519.66,795650.16,23.09.2015,Ремонт фасада,802.1,,991.9588081286623,0.029126207905738343
5157492,32707000,32707000371,Кемеровская область,10,696677.0,677895.0,26.10.2016,Ремонт фасада,1506.5,,449.98008629273147,0.026959408736042672
5183097,32731000,32731000048,Кемеровская область,10,2129079.74,2082134.22,29.12.2018,Ремонт фасада,2307.2,,902.4506848127601,0.022049676730285475
5159530,32710000,32710000037,Кемеровская область,10,1461896.64,1429926.62,,Ремонт фасада,6438.8,,222.0796763372057,0.021868864819334824
5157357,32707000,32707000244,Кемеровская область,10,668050.0,657499.0,04.10.2016,Ремонт фасада,641.4,,1025.0997817274713,0.015793728014370182
5157347,32707000,32707000242,Кемеровская область,10,686466.0,675625.0,04.10.2016,Ремонт фасада,775.1,,871.6617210682492,0.015792479161385996
5157535,32707000,32707000405,Кемеровская область,10,698191.0,692717.82,18.08.2016,Ремонт фасада,2834.7,,244.3707693935866,0.007839087012006817
5157530,32707000,32707000403,Кемеровская область,10,575525.0,571013.8,18.08.2016,Ремонт фасада,2775.7,,205.71884569658107,0.00783840840971279
5157536,32707000,32707000406,Кемеровская область,10,621468.0,616597.2,18.08.2016,Ремонт фасада,3153.1,,195.5526941739875,0.00783757168510695
5157533,32707000,32707000404,Кемеровская область,10,1002983.0,995122.32,18.08.2016,Ремонт фасада,2754.6,,361.25837508168155,0.007837301330132267
5178297,32725000,32725000022,Кемеровская область,10,4108943.66,4088398.94,31.12.2017,Ремонт фасада,2729.8,,1497.691750311378,0.00500000041373169
5160038,32710000,32710000192,Кемеровская область,10,1050220.02,1044968.92,,Ремонт фасада,745.7,,1401.3261633364623,0.004999999904781835
