,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5862139,33701000,3370100084784,Кировская область,10,555117.0,1524218.0,09.10.2017,Ремонт фасада,12733.36,"2847,46600",119.70273360684061,-1.7457599028673234
5839400,33701000,33701000152693,Кировская область,10,97152.0,170957.78,05.09.2016,Ремонт фасада,1021.35,"268,10978",167.3841288490723,-0.7596938817523057
5896517,33647000,33647000215300,Кировская область,10,101907.54,165432.19,18.08.2016,Ремонт фасада,1023.4,"206,47308",161.64958960328318,-0.6233557399187539
5896576,33647000,3364700021741,Кировская область,10,308000.0,359791.37,,Ремонт фасада,89.0,"45,95069",4042.599662921348,-0.16815379870129868
5839824,33701000,33701000203185,Кировская область,10,93866.0,105903.11,31.08.2016,Ремонт фасада,1002.21,"331,87111",105.66958022769678,-0.12823716787761277
5839681,33701000,33701000161804,Кировская область,10,109195.0,114302.0,05.09.2016,Ремонт фасада,1024.21,"223,49700",111.60016012341218,-0.0467695407298869
5839773,33701000,33701000193700,Кировская область,10,172364.0,177767.3,08.07.2016,Ремонт фасада,1345.08,"517,34030",132.1611353971511,-0.031348193358241794
5885161,33626000,33626000141538,Кировская область,10,34000.0,34000.0,16.05.2016,Ремонт фасада,433.6,"87,92804",78.41328413284133,0.0
5885146,33626000,33626000150160,Кировская область,10,88000.0,88000.0,16.05.2016,Ремонт фасада,619.3,"88,00000",142.09591474245116,0.0
5885138,33626000,33626000157846,Кировская область,10,20000.0,20000.0,16.05.2016,Ремонт фасада,184.5,"83,20548",108.40108401084011,0.0
5885136,33626000,33626000147251,Кировская область,10,25000.0,25000.0,16.05.2016,Ремонт фасада,162.0,"98,19374",154.320987654321,0.0
5885089,33625000,33625000240072,Кировская область,10,53808.42,53808.42,25.12.2015,Ремонт фасада,381.7,"114,95366",140.97044799580823,0.0
5884684,33624000,33624000125655,Кировская область,10,58567.0,58567.0,22.08.2016,Ремонт фасада,388.8,"269,10316",150.6352880658436,0.0
