,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5681904,92601000,7662,Республика Татарстан,10,2801654.45,2801654.45,23.09.2016,Ремонт фасада,5395.1,"7212,44000",519.296111286167,0.0
5780089,92628000,13634,Республика Татарстан,10,2348623.32,2348623.32,,Ремонт фасада,4467.4,"13897,79000",525.7248780051036,0.0
5780103,92628000,13562,Республика Татарстан,10,2030701.74,2030701.74,06.09.2018,Ремонт фасада,4521.3,"11416,24000",449.1411187047973,0.0
5780113,92628000,12240,Республика Татарстан,10,1686152.46,1686152.46,15.07.2015,Ремонт фасада,4627.56,"10926,44000",364.3718201384747,0.0
5780178,92628000,5885,Республика Татарстан,10,1423866.79,1423866.79,21.07.2017,Ремонт фасада,2131.21,"7593,32000",668.1025286105076,0.0
5780259,92628000,12367,Республика Татарстан,10,2109533.03,2109533.03,13.08.2018,Ремонт фасада,4875.86,"11815,53000",432.64840048729866,0.0
5780304,92628000,12456,Республика Татарстан,10,1929246.85,1929246.85,24.08.2017,Ремонт фасада,4356.62,"11795,32000",442.83110530640727,0.0
5780309,92628000,15466,Республика Татарстан,10,1969346.99,1969346.99,13.08.2018,Ремонт фасада,5007.62,"11788,81000",393.27005443703797,0.0
5780075,92628000,12871,Республика Татарстан,10,1771853.6,1771853.6,15.08.2018,Ремонт фасада,3484.89,"10147,91000",508.43888903236547,0.0
5780321,92628000,15894,Республика Татарстан,10,1576296.42,1576296.42,07.08.2017,Ремонт фасада,3039.5,"8927,81000",518.6038558973515,0.0
5780386,92628000,12443,Республика Татарстан,10,2668207.73,2668207.73,03.08.2015,Ремонт фасада,5980.66,"18440,75000",446.13934415265203,0.0
5780418,92628000,15372,Республика Татарстан,10,2597731.12,2597731.12,04.08.2015,Ремонт фасада,4932.46,"15302,55000",526.6603520352927,0.0
5780427,92628000,15175,Республика Татарстан,10,2211032.47,2211032.47,10.10.2018,Ремонт фасада,3906.43,"10541,31000",565.99823112151,0.0
5780447,92628000,8183,Республика Татарстан,10,2487657.6,2487657.6,31.07.2015,Ремонт фасада,5938.61,"17745,27000",418.89560014885643,0.0
5780461,92628000,15281,Республика Татарстан,10,1198817.74,1198817.74,27.11.2018,Ремонт фасада,2970.89,"8316,22000",403.521416141291,0.0
5780463,92628000,13102,Республика Татарстан,10,2265840.24,2265840.24,01.10.2018,Ремонт фасада,3951.27,"10638,00000",573.4460667076662,0.0
5780602,92628000,4793,Республика Татарстан,10,1715318.05,1715318.05,03.09.2014,Ремонт фасада,5209.11,"12194,86000",329.2919615826888,0.0
5780342,92628000,15467,Республика Татарстан,10,1507992.64,1507992.64,13.09.2017,Ремонт фасада,3673.76,"9381,50000",410.47663429293146,0.0
5780626,92628000,3054,Республика Татарстан,10,1890010.43,1890010.43,05.07.2017,Ремонт фасада,4348.63,"10279,67000",434.6220372853059,0.0
5780061,92628000,13635,Республика Татарстан,10,1694890.99,1694890.99,04.08.2015,Ремонт фасада,4520.04,"8261,09000",374.9725644020849,0.0
5779991,92628000,13561,Республика Татарстан,10,1071391.07,1071391.07,30.11.2018,Ремонт фасада,1513.94,"6598,18000",707.6839703026541,0.0
5778857,92628000,14613,Республика Татарстан,10,1040631.62,1040631.62,27.05.2015,Ремонт фасада,2404.57,"7410,72000",432.7724374836249,0.0
5779089,92628000,14080,Республика Татарстан,10,1051912.75,1051912.75,10.08.2018,Ремонт фасада,988.22,"5401,48000",1064.4519944951528,0.0
5779105,92628000,15699,Республика Татарстан,10,1114483.18,1114483.18,10.08.2018,Ремонт фасада,983.76,"5644,07000",1132.8811702041148,0.0
5779131,92628000,15700,Республика Татарстан,10,1855383.8,1855383.8,10.09.2018,Ремонт фасада,4800.74,"13498,95000",386.47870953228045,0.0
5779239,92628000,14686,Республика Татарстан,10,1897691.33,1897691.33,06.09.2017,Ремонт фасада,4432.44,"11516,84000",428.1369471442366,0.0
5779450,92628000,15735,Республика Татарстан,10,1667064.76,1667064.76,14.07.2014,Ремонт фасада,4053.91,"12011,26000",411.2239196232773,0.0
5779468,92628000,15741,Республика Татарстан,10,1806718.15,1806718.15,26.10.2016,Ремонт фасада,3560.89,"11686,20000",507.3782537511689,0.0
5780005,92628000,15886,Республика Татарстан,10,2028287.03,2028287.03,,Ремонт фасада,2908.48,"12271,96000",697.3701142865002,0.0
5779595,92628000,15825,Республика Татарстан,10,2835535.33,2835535.33,27.09.2016,Ремонт фасада,5419.18,"14816,57000",523.2406618713533,0.0
5779676,92628000,15854,Республика Татарстан,10,640460.06,640460.06,27.05.2015,Ремонт фасада,1366.83,"5257,34000",468.57331197003293,0.0
5779771,92628000,15779,Республика Татарстан,10,1721476.35,1721476.35,25.08.2016,Ремонт фасада,5214.37,"13688,56000",330.1408127923412,0.0
5779792,92628000,15733,Республика Татарстан,10,1917861.17,1917861.17,30.06.2014,Ремонт фасада,5535.22,"9280,07000",346.48327799075736,0.0
5779880,92628000,15824,Республика Татарстан,10,911988.65,911988.65,20.08.2017,Ремонт фасада,1369.76,"6418,82000",665.8017827940662,0.0
5779910,92628000,8146,Республика Татарстан,10,2451796.86,2451796.86,22.07.2015,Ремонт фасада,5154.45,"9519,85000",475.6660477839537,0.0
5779915,92628000,5513,Республика Татарстан,10,1655769.83,1655769.83,31.08.2016,Ремонт фасада,5785.97,"14836,22000",286.1697917548829,0.0
5779949,92628000,15727,Республика Татарстан,10,1805423.31,1805423.31,04.07.2016,Ремонт фасада,5464.69,"14251,25000",330.37982209420846,0.0
5779607,92628000,15736,Республика Татарстан,10,2274346.89,2274346.89,,Ремонт фасада,4315.4,"11175,96000",527.030377253557,0.0
5780654,92628000,13042,Республика Татарстан,10,1826834.54,1826834.54,14.07.2017,Ремонт фасада,4340.59,"10375,42000",420.87240213887975,0.0
5780676,92628000,14221,Республика Татарстан,10,1863712.2,1863712.2,31.07.2017,Ремонт фасада,5104.34,"13449,43000",365.12305214778013,0.0
5780701,92628000,13770,Республика Татарстан,10,1809643.85,1809643.85,31.08.2016,Ремонт фасада,4607.1,"11442,21000",392.79456708124417,0.0
5784013,92630000,754,Республика Татарстан,10,2726430.91,2726430.91,01.10.2018,Ремонт фасада,994.9,"3688,16000",2740.4069856266965,0.0
5784050,92630000,5725,Республика Татарстан,10,2165464.99,2165464.99,31.08.2016,Ремонт фасада,806.1,"3092,37000",2686.347835256172,0.0
5784087,92630000,6146,Республика Татарстан,10,1739483.0,1739483.0,03.07.2017,Ремонт фасада,1286.5,"3273,84000",1352.1049358725224,0.0
5784134,92630000,756,Республика Татарстан,10,651643.96,651643.96,31.08.2016,Ремонт фасада,445.8,"658,16000",1461.7406011664423,0.0
5784139,92630000,8011,Республика Татарстан,10,599670.99,599670.99,31.08.2016,Ремонт фасада,446.8,"605,67000",1342.146351835273,0.0
5784154,92630000,757,Республика Татарстан,10,632720.0,632720.0,03.07.2017,Ремонт фасада,286.5,"651,61000",2208.4467713787085,0.0
5784161,92630000,8008,Республика Татарстан,10,665140.0,665140.0,15.08.2017,Ремонт фасада,374.1,"686,64000",1777.9738037957763,0.0
5783993,92630000,753,Республика Татарстан,10,1130042.0,1130042.0,23.07.2015,Ремонт фасада,1008.5,"1298,89000",1120.5176003966287,0.0
5784165,92630000,758,Республика Татарстан,10,662588.0,662588.0,03.07.2017,Ремонт фасада,292.9,"682,20000",2262.1645612837146,0.0
5784184,92630000,6609,Республика Татарстан,10,672852.0,672852.0,21.07.2017,Ремонт фасада,289.6,"692,60000",2323.3839779005525,0.0
5784188,92630000,2004,Республика Татарстан,10,684928.0,684928.0,04.08.2017,Ремонт фасада,288.7,"704,92000",2372.4558365084863,0.0
5784195,92630000,1820,Республика Татарстан,10,681191.0,681191.0,15.08.2017,Ремонт фасада,296.7,"701,27000",2295.891472868217,0.0
5784206,92630000,8009,Республика Татарстан,10,578026.02,578026.02,31.08.2016,Ремонт фасада,379.4,"583,89000",1523.5266736953085,0.0
5784209,92630000,8010,Республика Татарстан,10,667954.46,667954.46,17.10.2018,Ремонт фасада,300.1,"693,70000",2225.772942352549,0.0
5784216,92630000,7599,Республика Татарстан,10,1293109.79,1293109.79,06.08.2018,Ремонт фасада,721.9,"1341,65000",1791.258886272337,0.0
5784227,92630000,760,Республика Татарстан,10,716595.44,716595.44,17.10.2018,Ремонт фасада,285.9,"743,37000",2506.4548443511717,0.0
5784176,92630000,759,Республика Татарстан,10,685951.0,685951.0,03.07.2017,Ремонт фасада,291.3,"705,97000",2354.79231033299,0.0
5783978,92630000,752,Республика Татарстан,10,1290151.0,1290151.0,11.06.2015,Ремонт фасада,1173.5,"1482,73000",1099.4043459735833,0.0
5783951,92630000,5535,Республика Татарстан,10,747895.99,747895.99,31.08.2016,Ремонт фасада,342.9,"822,19000",2181.0906678331876,0.0
5783576,92628000,14650,Республика Татарстан,10,1382426.49,1382426.49,31.08.2016,Ремонт фасада,628.3,"1431,91000",2200.2649848798346,0.0
5780905,92628000,13110,Республика Татарстан,10,2828669.73,2828669.73,04.10.2016,Ремонт фасада,6848.44,"9874,49000",413.03855038519725,0.0
5781091,92628000,15864,Республика Татарстан,10,1963928.42,1963928.42,31.08.2016,Ремонт фасада,1675.89,"5766,41000",1171.8719128343744,0.0
5781450,92628000,2443,Республика Татарстан,10,1295703.22,1295703.22,,Ремонт фасада,1688.1,"10464,39000",767.5512232687637,0.0
5781465,92628000,3582,Республика Татарстан,10,1450714.64,1450714.64,,Ремонт фасада,1646.6,"10567,83000",881.0364630146969,0.0
5782115,92628000,5427,Республика Татарстан,10,597989.21,597989.21,15.05.2015,Ремонт фасада,1014.0,"4812,00000",589.7329487179487,0.0
5782116,92628000,5344,Республика Татарстан,10,524048.51,524048.51,01.08.2016,Ремонт фасада,789.5,"4460,53000",663.7726535782141,0.0
5782132,92628000,15827,Республика Татарстан,10,514871.81,514871.81,23.07.2014,Ремонт фасада,1513.3,"4730,41000",340.23115707394436,0.0
5782235,92628000,15768,Республика Татарстан,10,506868.18,506868.18,,Ремонт фасада,1092.15,"4475,25000",464.10124982832025,0.0
5782243,92628000,15529,Республика Татарстан,10,932062.88,932062.88,11.12.2018,Ремонт фасада,481.49,"4571,96000",1935.7886560468546,0.0
5782266,92628000,5617,Республика Татарстан,10,400055.57,400055.57,11.08.2017,Ремонт фасада,799.9,"4459,18000",500.1319789973747,0.0
5782485,92628000,15635,Республика Татарстан,10,456674.87,456674.87,,Ремонт фасада,716.06,"2044,55000",637.760620618384,0.0
5782756,92628000,6660,Республика Татарстан,10,838729.27,838729.27,08.08.2016,Ремонт фасада,706.9,"3300,07000",1186.4892771254774,0.0
5782767,92628000,9205,Республика Татарстан,10,897171.52,897171.52,15.08.2016,Ремонт фасада,704.9,"3296,03000",1272.7642502482622,0.0
5782829,92628000,7446,Республика Татарстан,10,650137.0,650137.0,,Ремонт фасада,327.1,"680,56000",1987.5787221033322,0.0
5782935,92628000,12881,Республика Татарстан,10,1473440.65,1473440.65,,Ремонт фасада,963.2,"4239,40000",1529.7348941029898,0.0
5783245,92628000,15844,Республика Татарстан,10,1382426.49,1382426.49,31.08.2016,Ремонт фасада,624.9,"1431,91000",2212.2363418146906,0.0
5783253,92628000,15731,Республика Татарстан,10,1468687.99,1468687.99,30.06.2019,Ремонт фасада,631.69,"4239,57000",2325.0138359005205,0.0
5778822,92628000,14612,Республика Татарстан,10,2299430.06,2299430.06,31.07.2014,Ремонт фасада,4817.91,"4591,19000",477.2671262020254,0.0
5778773,92628000,15645,Республика Татарстан,10,1419642.28,1419642.28,03.09.2015,Ремонт фасада,3017.8,"10335,17000",470.422917357015,0.0
5778741,92628000,15813,Республика Татарстан,10,2516040.94,2516040.94,05.08.2014,Ремонт фасада,4649.54,"5014,01000",541.1376050103881,0.0
5778636,92628000,9952,Республика Татарстан,10,1785941.87,1785941.87,15.07.2015,Ремонт фасада,3867.83,"12177,32000",461.74259727030403,0.0
5775612,92627000,8125,Республика Татарстан,10,1290000.0,1290000.0,04.07.2019,Ремонт фасада,3577.8,"8487,36000",360.55676672815696,0.0
5775621,92627000,8126,Республика Татарстан,10,1290000.0,1290000.0,04.07.2019,Ремонт фасада,3508.0,"9020,41000",367.7309007981756,0.0
5775644,92627000,8127,Республика Татарстан,10,1956389.46,1956389.46,07.09.2016,Ремонт фасада,2620.3,"3039,01000",746.628042590543,0.0
5775801,92627000,3818,Республика Татарстан,10,600000.0,600000.0,10.06.2019,Ремонт фасада,4881.13,"10331,08000",122.92235609377336,0.0
5775807,92627000,4988,Республика Татарстан,10,214539.0,214539.0,19.08.2014,Ремонт фасада,4019.5,"5720,54000",53.37454907326782,0.0
5775881,92627000,8136,Республика Татарстан,10,2664061.47,2664061.47,16.05.2019,Ремонт фасада,1199.8,"5372,78000",2220.4212952158696,0.0
5775938,92627000,8137,Республика Татарстан,10,2141000.0,2141000.0,24.07.2018,Ремонт фасада,2200.0,"2504,44000",973.1818181818181,0.0
5775528,92627000,10495,Республика Татарстан,10,2789338.02,2789338.02,19.07.2017,Ремонт фасада,5548.8,"15134,30000",502.69211721453286,0.0
5775954,92627000,8138,Республика Татарстан,10,896880.0,896880.0,24.09.2014,Ремонт фасада,1924.6,"4136,75000",466.0085212511691,0.0
