,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
342413,95702000,380,Республика Хакасия,10,996000.0,10911329.89,11.07.2019,Ремонт фасада,415.9,"1091,33000",26235.46499158452,-9.955150491967872
347115,95715000,2440,Республика Хакасия,10,2206308.0,2680084.0,23.08.2019,Ремонт фасада,1414.3,"2680,08400",1894.9897475783073,-0.21473701767840211
348497,95630000,1780,Республика Хакасия,10,1015440.0,1104018.0,15.08.2019,Ремонт фасада,423.1,"1104,01800",2609.3547624675016,-0.08723115102812574
342231,95702000,422,Республика Хакасия,10,1417316.28,1465508.85,30.12.2015,Ремонт фасада,682.0,"1417,31600",2148.8399560117305,-0.034002692751119785
342240,95702000,521,Республика Хакасия,10,1262397.55,1269532.55,30.12.2015,Ремонт фасада,596.0,"2050,39550",2130.0881711409397,-0.005651943795359869
342249,95702000,523,Республика Хакасия,10,1255371.65,1260159.65,30.12.2015,Ремонт фасада,585.9,"2889,51165",2150.810121181089,-0.003814009978638597
343681,95701000,714,Республика Хакасия,10,2791338.0,2798590.0,05.08.2016,Ремонт фасада,1370.4,"4767,08678",2042.1701692936367,-0.002598037213694651
349010,95635000,2676,Республика Хакасия,10,703760.0,705450.0,10.02.2016,Ремонт фасада,294.0,"703,76000",2399.4897959183672,-0.0024013868364215073
348565,95630000,1897,Республика Хакасия,10,1275476.0,1276691.29,06.10.2015,Ремонт фасада,732.0,"1664,95100",1744.1137841530056,-0.0009528129106310407
344013,95701000,1609,Республика Хакасия,10,3562418.0,3565727.0,17.11.2015,Ремонт фасада,1834.6,"6056,88972",1943.599149678404,-0.0009288634854191731
345130,95708000,1484,Республика Хакасия,10,1101376.0,1102300.0,08.10.2015,Ремонт фасада,539.84,"1960,10029",2041.9013040901007,-0.0008389505491312685
346973,95715000,744,Республика Хакасия,10,935013.69,935013.69,05.05.2017,Ремонт фасада,436.4,"2517,95569",2142.5611594867096,0.0
346958,95715000,778,Республика Хакасия,10,951995.0,951995.0,05.05.2017,Ремонт фасада,445.4,"2390,73000",2137.39335428828,0.0
346959,95715000,779,Республика Хакасия,10,933291.0,933291.0,05.05.2017,Ремонт фасада,436.5,"2557,63600",2138.1237113402062,0.0
346966,95715000,745,Республика Хакасия,10,936447.46,936447.46,30.08.2017,Ремонт фасада,439.7,"2558,10905",2129.741778485331,0.0
346968,95715000,2436,Республика Хакасия,10,846056.96,846056.96,26.07.2018,Ремонт фасада,444.3,"846,05696",1904.2470402880936,0.0
346951,95715000,604,Республика Хакасия,10,901848.0,901848.0,30.08.2017,Ремонт фасада,447.5,"2434,35200",2015.3027932960895,0.0
346953,95715000,777,Республика Хакасия,10,972164.0,972164.0,06.07.2016,Ремонт фасада,456.5,"2531,57512",2129.603504928806,0.0
341487,95605000,609,Республика Хакасия,10,1253348.0,1253348.0,15.12.2016,Ремонт фасада,522.3,"1253,52800",2399.670687344438,0.0
346984,95715000,750,Республика Хакасия,10,932451.87,932451.87,27.07.2017,Ремонт фасада,431.6,"2512,51358",2160.4538229842447,0.0
346977,95715000,747,Республика Хакасия,10,932351.23,932351.23,08.02.2017,Ремонт фасада,439.6,"2483,90623",2120.9081665150134,0.0
346981,95715000,749,Республика Хакасия,10,937239.71,937239.71,27.07.2017,Ремонт фасада,433.6,"2734,57355",2161.530696494465,0.0
346919,95715000,2894,Республика Хакасия,10,2982891.0,2982891.0,26.07.2018,Ремонт фасада,2594.0,"2982,89100",1149.9194294525828,0.0
346986,95715000,561,Республика Хакасия,10,958022.0,958022.0,30.09.2016,Ремонт фасада,442.87,"2533,73655",2163.212680922167,0.0
346990,95715000,562,Республика Хакасия,10,941106.34,941106.34,30.08.2017,Ремонт фасада,437.7,"2475,40000",2150.1172949508796,0.0
346994,95715000,567,Республика Хакасия,10,920635.0,920635.0,24.08.2016,Ремонт фасада,434.8,"2498,25342",2117.3758049678013,0.0
