,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4054375,60707000,60407000205335,Ростовская область,10,995918.0,5258886.0,16.10.2015,Ремонт фасада,6440.9,"8463,51791",816.483100187862,-4.280440759178968
4071523,60715000,60415000205465,Ростовская область,10,405264.0,1928093.0,16.09.2019,Ремонт фасада,1217.4,"447,43800",1583.7793658616722,-3.757622191953887
4124514,60701000,60401368205045,Ростовская область,10,532980.84,2421452.0,23.12.2017,Ремонт фасада,1547.8,"104,04464",1564.4476030494895,-3.543225231135889
4185903,60740000,60440000206469,Ростовская область,10,687568.0,2252371.0,16.05.2016,Ремонт фасада,4715.99,"10120,72711",477.6030059436089,-2.2758519884578687
4185886,60740000,60440000206265,Ростовская область,10,614900.0,1704346.0,20.04.2016,Ремонт фасада,4853.25,"10382,20711",351.1762221191985,-1.7717449991868597
4102794,60701000,60401374205380,Ростовская область,10,495503.0,1247180.0,30.08.2016,Ремонт фасада,561.8,"3603,49161",2219.9715201139197,-1.5169978789230338
4064611,60712000,60412000205469,Ростовская область,10,4414749.0,10753300.0,15.10.2015,Ремонт фасада,5433.8,"6311,32100",1978.9649968714343,-1.4357670164260754
4183372,60740000,60440000206194,Ростовская область,10,1057132.0,2247076.0,20.04.2016,Ремонт фасада,6805.9,"9181,47693",330.16588548171444,-1.125634263270812
4084658,60727000,60427000205818,Ростовская область,10,2616969.0,4885074.0,01.10.2015,Ремонт фасада,929.1,"5537,88413",5257.85598966742,-0.8666915809854836
4082412,60727000,60427000205668,Ростовская область,10,1234388.0,2281694.0,01.10.2015,Ремонт фасада,487.3,"3889,43551",4682.318900061564,-0.848441494894636
4185916,60740000,60440000206455,Ростовская область,10,703711.0,1236700.0,16.05.2016,Ремонт фасада,6668.18,"15273,36313",185.46289992171776,-0.757397568035742
4139791,60701000,60401372205059,Ростовская область,10,831369.0,1335406.0,10.10.2018,Ремонт фасада,422.1,"2196,59300",3163.719497749348,-0.6062735079128522
4082486,60727000,60427000205680,Ростовская область,10,809988.0,1225539.0,01.10.2015,Ремонт фасада,437.3,"2958,48259",2802.513148868054,-0.5130335264226137
4138691,60701000,60401374205152,Ростовская область,10,2584686.0,3830490.0,15.10.2015,Ремонт фасада,7069.5,"14666,46258",541.8332272437938,-0.4819943312263076
4083298,60727000,60427000205025,Ростовская область,10,1496212.0,2169565.0,15.10.2015,Ремонт фасада,593.5,"6363,25009",3655.543386689132,-0.45003849721830863
4078732,60719000,60419000205014,Ростовская область,10,3566214.0,4675716.0,11.04.2016,Ремонт фасада,7295.5,"20617,81184",640.9041189774518,-0.3111148125154576
4198647,60632000,60232501205076,Ростовская область,10,470572.0,605930.0,18.01.2016,Ремонт фасада,185.5,"662,08325",3266.4690026954177,-0.28764567377574524
4199798,60634000,60234501205083,Ростовская область,10,712577.0,898000.0,07.10.2015,Ремонт фасада,394.02,"3247,04600",2279.07212831836,-0.2602146855708225
4135085,60701000,60401362205204,Ростовская область,10,4070720.0,5074470.0,10.10.2018,Ремонт фасада,5397.3,"7339,51900",940.18676004669,-0.24657800094332208
4209869,60654000,60254867205003,Ростовская область,10,2151300.0,2665066.0,16.09.2019,Ремонт фасада,1172.4,"3209,57112",2273.171272603207,-0.23881652954027796
4165733,60737000,60437000206480,Ростовская область,10,1074595.43,1292414.58,16.10.2015,Ремонт фасада,1355.96,"3160,49743",953.1362134576242,-0.20269874961221468
4103709,60701000,60401374205310,Ростовская область,10,4349046.0,5191932.0,01.08.2016,Ремонт фасада,3969.7,"4418,06400",1307.8902687860543,-0.19380940095827912
4085814,60727000,60427000205346,Ростовская область,10,3654171.0,4170182.0,20.10.2015,Ремонт фасада,5636.0,"21187,61900",739.9187366926899,-0.1412115087115518
4044707,60606000,60206817205036,Ростовская область,10,765749.0,873527.0,12.04.2016,Ремонт фасада,395.2,"1296,19260",2210.3415991902834,-0.14074846979885053
4087671,60727000,60427000205663,Ростовская область,10,1026625.0,1153405.0,20.09.2019,Ремонт фасада,419.8,"322,32700",2747.510719390186,-0.1234920248386704
4058422,60712000,60412000205171,Ростовская область,10,2716355.0,3051178.0,06.09.2019,Ремонт фасада,1468.6,"3000,80900",2077.6099686776524,-0.1232618711471807
4140695,60701000,60401378205369,Ростовская область,10,4102086.0,4600000.0,24.09.2015,Ремонт фасада,3064.3,"11650,95430",1501.1585027575627,-0.12138068290133361
4116896,60701000,60401380205479,Ростовская область,10,1020289.0,1141585.0,01.07.2016,Ремонт фасада,509.9,"3659,56000",2238.8409492057267,-0.11888396326923058
4062942,60712000,60412000205144,Ростовская область,10,2354960.22,2622472.12,25.05.2016,Ремонт фасада,1451.1,"10185,93704",1807.2304596512993,-0.11359508229824786
4114377,60701000,60401374205496,Ростовская область,10,785689.0,868197.0,20.09.2019,Ремонт фасада,341.7,"0,00000",2540.8165057067604,-0.10501356134551966
4121813,60701000,60401380205520,Ростовская область,10,9576569.0,10561425.0,31.03.2016,Ремонт фасада,6149.43,"18470,85010",1717.464057644367,-0.10284017167317439
4162123,60737000,60437000206940,Ростовская область,10,862033.0,941183.0,27.09.2016,Ремонт фасада,172.3,"2229,28229",5462.466627974462,-0.0918178306398943
4089039,60727000,60427000201139,Ростовская область,10,5965301.0,6498152.0,20.10.2015,Ремонт фасада,3760.1,"15233,16895",1728.1859525012633,-0.0893250818357699
4174017,60737000,60437000200895,Ростовская область,10,809800.0,880748.0,15.10.2015,Ремонт фасада,3701.9,"8651,34600",237.91782598125286,-0.08761175598913312
4099406,60701000,60401368205518,Ростовская область,10,1001138.0,1069050.0,05.09.2016,Ремонт фасада,340.7,"4228,47689",3137.804520105665,-0.0678348039930559
4158091,60701000,60401374205423,Ростовская область,10,3003923.0,3193606.0,01.10.2015,Ремонт фасада,5552.7,"19931,26117",575.1447043780504,-0.06314509393216804
4063075,60712000,60412000205151,Ростовская область,10,2368087.72,2511044.72,15.07.2016,Ремонт фасада,883.4,"6670,65134",2842.477609237039,-0.060368118458044275
4059971,60712000,60412000205414,Ростовская область,10,4960071.0,5250711.0,13.10.2015,Ремонт фасада,4844.7,"8216,69200",1083.8051891758005,-0.0585959354210857
4141034,60701000,60401374205379,Ростовская область,10,7145245.0,7547626.0,20.10.2015,Ремонт фасада,4303.31,"15822,79738",1753.9117562992208,-0.056314514057950425
4081040,60719000,60419000205088,Ростовская область,10,3292599.0,3475355.0,15.01.2016,Ремонт фасада,4117.7,"18173,61729",844.0039342351313,-0.05550508883711621
4087535,60727000,60427000201135,Ростовская область,10,5546556.0,5838389.0,20.10.2015,Ремонт фасада,2787.3,"11647,95473",2094.639615398414,-0.05261517237002565
4211276,60655000,60255551205051,Ростовская область,10,1696359.59,1782561.52,11.07.2016,Ремонт фасада,4940.29,"10218,71607",360.8212311423014,-0.05081583557410722
4105295,60701000,60401382205335,Ростовская область,10,8237912.0,8553164.0,16.09.2019,Ремонт фасада,5701.3,"9737,72059",1500.21293389227,-0.03826843501120187
4159678,60701000,60401374205189,Ростовская область,10,3639242.0,3746173.0,19.09.2019,Ремонт фасада,3245.5,"3846,00433",1154.2668309967648,-0.029382767070725166
4083864,60727000,60427000205822,Ростовская область,10,5457064.0,5598818.0,19.10.2015,Ремонт фасада,2705.3,"17739,96158",2069.573799578605,-0.0259762392378026
4048509,60704000,60404000200071,Ростовская область,10,5882239.0,5986315.0,15.10.2015,Ремонт фасада,4460.5,"8500,83738",1342.072637596682,-0.01769326271849886
4052190,60707000,60407000200600,Ростовская область,10,6860485.0,6979588.0,15.10.2015,Ремонт фасада,3814.7,"17374,57599",1829.655805174719,-0.01736072595450613
4141176,60701000,60401374205312,Ростовская область,10,7066679.0,7187228.0,30.09.2016,Ремонт фасада,4062.4,"24655,96611",1769.2073651043718,-0.017058790982298757
4117546,60701000,60401380205303,Ростовская область,10,3150125.6,3196570.0,15.10.2015,Ремонт фасада,3250.97,"8606,07539",983.2665327579153,-0.014743666093821753
4207567,60650000,60250812205012,Ростовская область,10,856978.79,868094.96,02.09.2016,Ремонт фасада,344.0,"2057,73096",2523.531860465116,-0.012971347867314109
4064270,60712000,60412000205354,Ростовская область,10,9125604.34,9239722.14,15.10.2015,Ремонт фасада,6636.1,"28615,79799",1392.3422100330013,-0.012505232064444375
4039838,60602000,60202501200214,Ростовская область,10,3958617.0,3998427.0,18.08.2015,Ремонт фасада,4650.84,"9222,60146",859.721469669995,-0.010056542474303525
4213205,60658000,60258828205001,Ростовская область,10,752665.0,758160.0,25.10.2016,Ремонт фасада,385.0,"846,64730",1969.2467532467533,-0.007300724758026479
4189296,60618000,60218501205028,Ростовская область,10,4858727.05,4865184.0,15.10.2015,Ремонт фасада,2654.8,"14916,81861",1832.5990658430012,-0.0013289386157224424
4104224,60701000,60401380205102,Ростовская область,10,972252.0,972414.0,29.06.2016,Ремонт фасада,481.5,"4712,82092",2019.5514018691588,-0.00016662346798978044
4118583,60701000,60401380205086,Ростовская область,10,13366814.0,13366886.6,22.03.2016,Ремонт фасада,5353.45,"31522,56114",2496.8733433580214,-5.431361579477912e-06
4125801,60701000,60401378205068,Ростовская область,10,1382999.0,1383000.0,01.07.2016,Ремонт фасада,1533.4,"1694,12600",901.9173079431329,-7.230663218122356e-07
