,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
323279,11701000,14081,Архангельская область,11,4198709.82,0.0,,Ремонт фундаментов,563.7,,0.0,1.0
298248,11730000,15692,Архангельская область,11,13494546.13,0.0,,Ремонт фундаментов,2372.2,,0.0,1.0
273887,11627000,9139,Архангельская область,11,1970513.43,0.0,,Ремонт фундаментов,143.1,,0.0,1.0
281081,11701000,10766,Архангельская область,11,2677709.07,0.0,,Ремонт фундаментов,421.8,,0.0,1.0
282339,11701000,15098,Архангельская область,11,4251463.54,0.0,,Ремонт фундаментов,626.7,,0.0,1.0
326534,11701000,11254,Архангельская область,11,3650329.86,0.0,,Ремонт фундаментов,486.4,,0.0,1.0
287180,11708000,2971,Архангельская область,11,5865130.31,0.0,,Ремонт фундаментов,710.9,,0.0,1.0
325880,11701000,11289,Архангельская область,11,3440946.22,0.0,,Ремонт фундаментов,513.7,,0.0,1.0
317246,11648000,5135,Архангельская область,11,5164266.69,0.0,,Ремонт фундаментов,974.0,,0.0,1.0
294937,11730000,15264,Архангельская область,11,2756763.94,0.0,,Ремонт фундаментов,447.2,,0.0,1.0
325307,11701000,11219,Архангельская область,11,4427826.1,0.0,,Ремонт фундаментов,590.0,,0.0,1.0
294936,11730000,15262,Архангельская область,11,13425893.65,0.0,,Ремонт фундаментов,2321.7,,0.0,1.0
277098,11635000,3093,Архангельская область,11,2500745.05,0.0,,Ремонт фундаментов,278.0,,0.0,1.0
315064,11646000,5579,Архангельская область,11,2006918.82,0.0,,Ремонт фундаментов,445.3,,0.0,1.0
323287,11701000,14251,Архангельская область,11,3664588.96,0.0,,Ремонт фундаментов,531.9,,0.0,1.0
315065,11646000,5573,Архангельская область,11,2068239.49,0.0,,Ремонт фундаментов,449.1,,0.0,1.0
309144,11701000,13673,Архангельская область,11,446835.97,0.0,,Ремонт фундаментов,660.1,,0.0,1.0
285848,11642000,13126,Архангельская область,11,4766339.74,394523.44,05.07.2019,Ремонт фундаментов,330.0,"4839,40000",1195.5255757575758,0.9172271676966106
293146,11710000,3904,Архангельская область,11,1645865.9,233600.4,06.09.2016,Ремонт фундаментов,435.3,,536.6423156443832,0.8580683881961465
