,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5385013,15604000,4000198,Брянская область,9,607642.94,0.0,,Ремонт фундаментов,1265.1,"0,00000",0.0,1.0
5423449,15616000,9000158,Брянская область,9,415516.83,0.0,,Ремонт фундаментов,1131.0,"1612,91000",0.0,1.0
5423485,15616000,9000183,Брянская область,9,681896.4,0.0,,Ремонт фундаментов,2378.2,"0,00000",0.0,1.0
5423533,15616000,9000167,Брянская область,9,408961.35,0.0,,Ремонт фундаментов,2813.7,"0,00000",0.0,1.0
5423605,15616000,9000204,Брянская область,9,470734.18,0.0,,Ремонт фундаментов,1378.0,"0,00000",0.0,1.0
5423617,15616000,9000205,Брянская область,9,1165363.35,0.0,,Ремонт фундаментов,4565.8,"0,00000",0.0,1.0
5423661,15616000,9000228,Брянская область,9,1223858.44,0.0,,Ремонт фундаментов,5734.4,"0,00000",0.0,1.0
5423671,15616000,9000229,Брянская область,9,1210243.2,0.0,,Ремонт фундаментов,5783.9,"0,00000",0.0,1.0
5423675,15616000,9000244,Брянская область,9,513344.82,0.0,,Ремонт фундаментов,1183.4,"0,00000",0.0,1.0
5423692,15616000,9000245,Брянская область,9,426106.46,0.0,,Ремонт фундаментов,923.98,"0,00000",0.0,1.0
5423709,15616000,9000250,Брянская область,9,552173.46,0.0,,Ремонт фундаментов,1105.9,"0,00000",0.0,1.0
5423752,15616000,9000252,Брянская область,9,505402.6,0.0,,Ремонт фундаментов,2358.1,"0,00000",0.0,1.0
5423794,15616000,9000256,Брянская область,9,968446.69,0.0,,Ремонт фундаментов,4749.8,"0,00000",0.0,1.0
5424047,15616000,9012745,Брянская область,9,701058.59,0.0,,Ремонт фундаментов,1298.0,"0,00000",0.0,1.0
5424178,15616000,9000210,Брянская область,9,830781.53,0.0,,Ремонт фундаментов,4457.7,"2474,82000",0.0,1.0
5424192,15616000,9000211,Брянская область,9,987482.81,0.0,,Ремонт фундаментов,4633.0,"0,00000",0.0,1.0
5424201,15616000,9000212,Брянская область,9,966933.89,0.0,,Ремонт фундаментов,4593.4,"0,00000",0.0,1.0
5424212,15616000,9000213,Брянская область,9,925331.78,0.0,,Ремонт фундаментов,5279.4,"0,00000",0.0,1.0
5424219,15616000,9000214,Брянская область,9,882469.0,0.0,,Ремонт фундаментов,7020.6,"0,00000",0.0,1.0
5424224,15616000,9000215,Брянская область,9,988365.28,0.0,,Ремонт фундаментов,6043.26,"1727,71000",0.0,1.0
5424351,15616000,9000276,Брянская область,9,1120735.63,0.0,,Ремонт фундаментов,5517.0,"0,00000",0.0,1.0
5423479,15616000,9027810,Брянская область,9,589489.29,0.0,,Ремонт фундаментов,1476.8,"0,00000",0.0,1.0
5423445,15616000,9000157,Брянская область,9,655044.13,0.0,,Ремонт фундаментов,2022.4,"0,00000",0.0,1.0
5424373,15616000,9000278,Брянская область,9,495443.31,0.0,,Ремонт фундаментов,1779.6,"2119,55000",0.0,1.0
5423432,15616000,9000156,Брянская область,9,719716.5,0.0,,Ремонт фундаментов,1688.2,"0,00000",0.0,1.0
5423071,15616000,9000100,Брянская область,9,1163472.34,0.0,,Ремонт фундаментов,4612.2,"0,00000",0.0,1.0
5423082,15616000,9028650,Брянская область,9,3782.01,0.0,,Ремонт фундаментов,2022.3,"0,00000",0.0,1.0
5423151,15616000,9027790,Брянская область,9,154306.01,0.0,,Ремонт фундаментов,715.9,"0,00000",0.0,1.0
5423182,15616000,9000113,Брянская область,9,105896.28,0.0,,Ремонт фундаментов,456.58,"1193,63000",0.0,1.0
5423194,15616000,9000114,Брянская область,9,604239.13,0.0,,Ремонт фундаментов,2331.8,"0,00000",0.0,1.0
5423196,15616000,9000115,Брянская область,9,244317.85,0.0,,Ремонт фундаментов,417.5,"777,62000",0.0,1.0
5423212,15616000,9000116,Брянская область,9,267766.31,0.0,,Ремонт фундаментов,422.6,"0,00000",0.0,1.0
5423232,15616000,9000118,Брянская область,9,588858.96,0.0,,Ремонт фундаментов,1027.2,"0,00000",0.0,1.0
5423261,15616000,9000122,Брянская область,9,257302.75,0.0,,Ремонт фундаментов,423.0,"0,00000",0.0,1.0
5423271,15616000,9000057,Брянская область,9,1873355.62,0.0,,Ремонт фундаментов,970.2,"0,00000",0.0,1.0
5423283,15616000,9000123,Брянская область,9,168299.45,0.0,,Ремонт фундаментов,374.9,"0,00000",0.0,1.0
5423303,15616000,9000125,Брянская область,9,631343.54,0.0,,Ремонт фундаментов,1438.5,"0,00000",0.0,1.0
5423312,15616000,9000132,Брянская область,9,577512.93,0.0,,Ремонт фундаментов,1443.8,"0,00000",0.0,1.0
5423343,15616000,9000144,Брянская область,9,525321.19,0.0,,Ремонт фундаментов,731.9,"0,00000",0.0,1.0
5423346,15616000,9000145,Брянская область,9,728036.93,0.0,,Ремонт фундаментов,1677.0,"0,00000",0.0,1.0
5423364,15616000,60000129,Брянская область,9,168395.14,0.0,,Ремонт фундаментов,1151.0,"0,00000",0.0,1.0
5423374,15616000,9000146,Брянская область,9,760184.01,0.0,,Ремонт фундаментов,676.1,"1400,57000",0.0,1.0
5423389,15616000,9000147,Брянская область,9,384882.55,0.0,,Ремонт фундаментов,663.0,"1630,09000",0.0,1.0
5423403,15616000,9000149,Брянская область,9,742156.43,0.0,,Ремонт фундаментов,1712.7,"0,00000",0.0,1.0
5424361,15616000,9000277,Брянская область,9,544609.44,0.0,,Ремонт фундаментов,1381.3,"0,00000",0.0,1.0
