,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2210903,20631000,6865,Воронежская область,11,7580.47,377231.84,16.07.2019,Ремонт фундаментов,508.4,,741.9981117230528,-48.76364790046
2147668,20608000,9401,Воронежская область,9,131923.32,1423014.7,19.05.2015,Ремонт фундаментов,245.1,,5805.853529171766,-9.78668047468787
2148509,20612000,9270,Воронежская область,9,56302.34,398969.5,25.05.2017,Ремонт фундаментов,1939.21,,205.7381614162468,-6.086197483088625
2148492,20612000,9269,Воронежская область,9,66959.23,398969.5,29.12.2017,Ремонт фундаментов,1947.9,,204.82031931824014,-4.958394384164812
2191004,20701000,9132,Воронежская область,9,187474.31,1010212.7,26.06.2017,Ремонт фундаментов,9305.0,,108.56665233745298,-4.388539368407329
2198070,20727000,5519,Воронежская область,9,100230.38,494294.36,05.09.2017,Ремонт фундаментов,724.3,,682.4442358138893,-3.9315822208795375
2171827,20701000,9315,Воронежская область,9,115000.0,467186.0,29.12.2017,Ремонт фундаментов,4010.2,,116.49942646252057,-3.062486956521739
2142898,20604000,9028,Воронежская область,9,139889.0,537426.42,27.12.2017,Ремонт фундаментов,2702.2,,198.88476796684185,-2.841806146301711
2148522,20612000,1071,Воронежская область,9,85885.03,180040.74,25.05.2017,Ремонт фундаментов,860.0,,209.3496976744186,-1.0962994365840006
2157985,20701000,1887,Воронежская область,9,680000.0,1191643.4,29.12.2017,Ремонт фундаментов,3482.0,,342.2295807007467,-0.7524167647058823
2189766,20701000,4814,Воронежская область,9,1386336.76,2386336.76,,Ремонт фундаментов,2297.4,,1038.7119178201444,-0.7213254591907379
2148460,20612000,1070,Воронежская область,9,106081.49,180040.74,25.05.2017,Ремонт фундаментов,3593.61,,50.10024460083314,-0.6971927901842252
2214706,20633000,9176,Воронежская область,9,73405.96,124002.81,10.12.2017,Ремонт фундаментов,949.4,,130.61176532546872,-0.6892744131402953
2169357,20701000,2957,Воронежская область,9,660909.81,1088834.45,17.04.2017,Ремонт фундаментов,2236.0,,486.9563729874776,-0.647478118080892
2179935,20701000,9110,Воронежская область,11,1701374.37,2761791.13,07.06.2017,Ремонт фундаментов,2994.3,,922.3495073973883,-0.6232706796917363
2148481,20612000,9268,Воронежская область,9,112115.06,180040.74,29.12.2017,Ремонт фундаментов,929.85,,193.62342313276332,-0.6058568759629616
2145812,20710000,789,Воронежская область,9,112726.59,176916.52,29.12.2017,Ремонт фундаментов,670.5,,263.85759880686055,-0.5694302471138353
2145786,20710000,785,Воронежская область,9,64087.15,95916.55,29.12.2017,Ремонт фундаментов,399.4,,240.15160240360544,-0.49665806639864624
2148533,20612000,9271,Воронежская область,9,120309.31,180040.74,25.05.2017,Ремонт фундаментов,1907.1,,94.40550574170206,-0.496482192442131
