,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2563698,83610000,8361129,Кабардино-Балкарская Республика,11,52298.67,0.0,,Ремонт фундаментов,278.3,"0,00000",0.0,1.0
2566288,83701000,83701673,Кабардино-Балкарская Республика,9,14914.1,0.0,,Ремонт фундаментов,2194.7,"0,00000",0.0,1.0
2566765,83701000,83701669,Кабардино-Балкарская Республика,9,244993.59,0.0,,Ремонт фундаментов,3432.1,"0,00000",0.0,1.0
2566791,83701000,83702466,Кабардино-Балкарская Республика,9,125888.0,0.0,,Ремонт фундаментов,1264.7,"0,00000",0.0,1.0
2567167,83701000,83702393,Кабардино-Балкарская Республика,9,236686.3,0.0,,Ремонт фундаментов,4240.1,"0,00000",0.0,1.0
2568064,83701000,83702429,Кабардино-Балкарская Республика,9,449691.5,0.0,,Ремонт фундаментов,2787.2,"0,00000",0.0,1.0
2568651,83701000,83701935,Кабардино-Балкарская Республика,9,272133.0,0.0,,Ремонт фундаментов,2901.4,"0,00000",0.0,1.0
2568978,83710000,83710225,Кабардино-Балкарская Республика,11,30418.59,0.0,,Ремонт фундаментов,173.9,"0,00000",0.0,1.0
2569263,83710000,83710263,Кабардино-Балкарская Республика,11,77034.77,0.0,,Ремонт фундаментов,440.4,"0,00000",0.0,1.0
2569513,83710000,83710098,Кабардино-Балкарская Республика,11,575161.59,0.0,,Ремонт фундаментов,3439.3,"0,00000",0.0,1.0
2570951,83625000,83625272,Кабардино-Балкарская Республика,11,21150.5,0.0,,Ремонт фундаментов,228.5,"0,00000",0.0,1.0
2572677,83630000,8363030,Кабардино-Балкарская Республика,9,122363.14,0.0,,Ремонт фундаментов,3699.6,"0,00000",0.0,1.0
2563680,83610000,8361123,Кабардино-Балкарская Республика,11,0.0,0.0,,Ремонт фундаментов,856.1,"0,00000",0.0,
