,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6337309,42603000,41385,Липецкая область,11,93833.23,93833.23,24.12.2018,Ремонт фундаментов,447.81,"356,48000",209.53804068689846,0.0
6377782,42606000,42077,Липецкая область,11,110895.95,110895.95,11.12.2017,Ремонт фундаментов,821.96,"3169,40000",134.91648012068714,0.0
6377800,42606000,38018,Липецкая область,11,76808.0,76808.0,21.11.2016,Ремонт фундаментов,563.42,"1594,94000",136.3245891164673,0.0
6377807,42606000,38019,Липецкая область,11,65455.15,65455.15,11.12.2017,Ремонт фундаментов,487.5,"1178,08000",134.26697435897435,0.0
6377821,42606000,42337,Липецкая область,11,98585.91,98585.91,11.12.2017,Ремонт фундаментов,546.3,"1886,40000",180.46112026359145,0.0
6377824,42606000,38021,Липецкая область,11,38686.0,38686.0,21.11.2016,Ремонт фундаментов,453.3,"1499,15000",85.34303992940657,0.0
6377839,42606000,38024,Липецкая область,11,99897.23,99897.23,11.12.2017,Ремонт фундаментов,441.65,"3098,41000",226.1909430544549,0.0
6377844,42606000,38025,Липецкая область,11,54525.0,54525.0,21.11.2016,Ремонт фундаментов,316.6,"917,47000",172.22046746683512,0.0
6377861,42606000,38022,Липецкая область,11,39562.0,39562.0,21.11.2016,Ремонт фундаментов,248.05,"766,52000",159.49203789558555,0.0
6377880,42606000,38026,Липецкая область,11,96065.0,96065.0,21.11.2016,Ремонт фундаментов,711.04,"2505,39000",135.10491674167417,0.0
6377953,42606000,40895,Липецкая область,11,68225.24,68225.24,22.09.2017,Ремонт фундаментов,460.9,"1659,83000",148.02612280321114,0.0
6378935,42609000,42424,Липецкая область,11,19950.0,19950.0,04.12.2016,Ремонт фундаментов,233.9,"839,84000",85.29286019666525,0.0
6379025,42609000,39819,Липецкая область,9,74886.71,74886.71,,Ремонт фундаментов,1386.8,"3589,74000",53.99964666858956,0.0
6379051,42609000,39816,Липецкая область,9,102855.82,102855.82,,Ремонт фундаментов,2183.2,"6131,85000",47.11241297178454,0.0
6379073,42609000,39817,Липецкая область,9,74886.71,74886.71,,Ремонт фундаментов,1432.4,"4512,71000",52.28058503211393,0.0
6379141,42609000,39818,Липецкая область,9,70168.0,70168.0,29.12.2015,Ремонт фундаментов,2833.7,"2936,43000",24.761971980096696,0.0
6379143,42609000,39818,Липецкая область,11,30419.0,30419.0,29.12.2015,Ремонт фундаментов,2833.7,"2936,43000",10.734728446906871,0.0
6379691,42609000,39872,Липецкая область,11,17402.0,17402.0,18.12.2015,Ремонт фундаментов,415.4,"1825,34000",41.89215214251324,0.0
6379701,42609000,39873,Липецкая область,11,16261.0,16261.0,18.12.2015,Ремонт фундаментов,404.53,"1764,48000",40.197265962969375,0.0
6379709,42609000,39874,Липецкая область,11,3359.0,3359.0,18.12.2015,Ремонт фундаментов,404.63,"1861,83000",8.30141116575637,0.0
6379715,42609000,39875,Липецкая область,11,17062.0,17062.0,18.12.2015,Ремонт фундаментов,417.7,"1811,37000",40.84749820445296,0.0
6379755,42609000,39877,Липецкая область,11,17409.0,17409.0,18.12.2015,Ремонт фундаментов,416.7,"1879,52000",41.77825773938085,0.0
6379759,42609000,39878,Липецкая область,11,17073.0,17073.0,18.12.2015,Ремонт фундаментов,399.9,"1848,75000",42.69317329332333,0.0
6379779,42609000,39899,Липецкая область,11,17199.0,17199.0,18.12.2015,Ремонт фундаментов,412.7,"1861,77000",41.67433971407802,0.0
6380158,42609000,40006,Липецкая область,11,17178.0,17178.0,18.12.2015,Ремонт фундаментов,415.6,"1857,08000",41.3330125120308,0.0
6380719,42612000,42274,Липецкая область,11,64984.0,64984.0,11.11.2016,Ремонт фундаментов,415.5,"1228,67000",156.39951865222622,0.0
6381196,42612000,39774,Липецкая область,11,72299.48,72299.48,19.12.2017,Ремонт фундаментов,390.28,"2055,79000",185.25028184892898,0.0
6381387,42612000,39921,Липецкая область,11,114156.22,114156.22,19.12.2017,Ремонт фундаментов,673.31,"3641,11000",169.54481590946222,0.0
6377770,42606000,42335,Липецкая область,11,82029.67,82029.67,11.12.2017,Ремонт фундаментов,566.69,"2532,22000",144.7522807884381,0.0
6381565,42612000,42354,Липецкая область,11,47010.0,47010.0,15.12.2016,Ремонт фундаментов,260.6,"1418,38000",180.39140445126628,0.0
6377764,42606000,42080,Липецкая область,11,82029.67,82029.67,11.12.2017,Ремонт фундаментов,644.7,"2442,38000",127.23696292849387,0.0
6377103,42606000,41656,Липецкая область,11,124175.18,124175.18,07.12.2017,Ремонт фундаментов,561.7,"1597,40000",221.07028662987358,0.0
6368871,42701000,38449,Липецкая область,11,33408.0,33408.0,25.12.2015,Ремонт фундаментов,432.36,"1725,02000",77.26894254787676,0.0
6368883,42701000,38450,Липецкая область,11,59158.0,59158.0,25.12.2015,Ремонт фундаментов,453.6,"2027,17000",130.41887125220458,0.0
6368885,42701000,38450,Липецкая область,9,30048.0,30048.0,25.12.2015,Ремонт фундаментов,453.6,"2027,17000",66.24338624338624,0.0
6370128,42701000,39047,Липецкая область,9,139572.0,139572.0,16.12.2015,Ремонт фундаментов,893.0,"2843,39000",156.2956326987682,0.0
6370286,42701000,42365,Липецкая область,9,118565.79,118565.79,10.12.2016,Ремонт фундаментов,2555.85,"5729,75000",46.38996419977698,0.0
6370288,42701000,42365,Липецкая область,11,9406.55,9406.55,10.12.2016,Ремонт фундаментов,2555.85,"5729,75000",3.680399866971849,0.0
6371114,42701000,39067,Липецкая область,9,175668.56,175668.56,27.12.2018,Ремонт фундаментов,3159.6,"18944,29000",55.59835422205342,0.0
6371118,42701000,37220,Липецкая область,9,156246.3,156246.3,30.08.2019,Ремонт фундаментов,3553.5,"10968,10000",43.969691853102574,0.0
6371159,42701000,39069,Липецкая область,9,169675.16,169675.16,,Ремонт фундаментов,1517.3,"160,36000",111.82703486456205,0.0
6371183,42701000,37222,Липецкая область,9,86444.8,86444.8,30.08.2019,Ремонт фундаментов,2643.85,"13611,48000",32.696559940995144,0.0
6371235,42701000,39074,Липецкая область,9,177697.01,177697.01,,Ремонт фундаментов,4594.4,"372,32000",38.676869667421215,0.0
6371306,42701000,37229,Липецкая область,9,403094.4,403094.4,,Ремонт фундаментов,3437.6,"133,70000",117.26041424249478,0.0
6371346,42701000,39082,Липецкая область,9,151375.13,151375.13,,Ремонт фундаментов,3249.7,"335,97000",46.58126288580485,0.0
6371445,42701000,37239,Липецкая область,11,109052.15,109052.15,24.07.2019,Ремонт фундаментов,2689.0,"8669,52000",40.55490888806248,0.0
6372108,42701000,37475,Липецкая область,11,85568.31,85568.31,15.01.2015,Ремонт фундаментов,567.2,"2320,27000",150.86091325811,0.0
6372391,42701000,37288,Липецкая область,11,183135.0,183135.0,15.01.2015,Ремонт фундаментов,3072.8,"6766,45000",59.59873730799271,0.0
6373165,42701000,38515,Липецкая область,11,10097.0,10097.0,20.10.2015,Ремонт фундаментов,478.3,"1189,86000",21.110181894208655,0.0
6375476,42606000,42006,Липецкая область,11,91474.91,91474.91,21.11.2017,Ремонт фундаментов,449.77,"876,74000",203.38152833670543,0.0
6375486,42606000,42006,Липецкая область,9,57531.74,57531.74,21.11.2017,Ремонт фундаментов,449.77,"876,74000",127.91368921893412,0.0
6375604,42606000,40254,Липецкая область,11,46813.08,46813.08,31.10.2017,Ремонт фундаментов,445.9,"1272,15000",104.9856021529491,0.0
6376079,42606000,40322,Липецкая область,11,144554.81,144554.81,07.12.2017,Ремонт фундаментов,1144.0,"6692,67000",126.35909965034965,0.0
6376088,42606000,42592,Липецкая область,11,162338.77,162338.77,07.12.2017,Ремонт фундаментов,875.49,"2023,86000",185.4261841939942,0.0
6376196,42606000,40338,Липецкая область,11,34353.01,34353.01,11.12.2017,Ремонт фундаментов,324.9,"1792,85000",105.73410280086182,0.0
6376640,42606000,41437,Липецкая область,9,209484.33,209484.33,06.12.2018,Ремонт фундаментов,3183.29,"9789,98000",65.80749162030477,0.0
6376691,42606000,41653,Липецкая область,11,514206.0,514206.0,15.11.2017,Ремонт фундаментов,4333.2,"3549,20000",118.66657435613403,0.0
6376692,42606000,41653,Липецкая область,11,169449.92,169449.92,25.05.2018,Ремонт фундаментов,4333.2,"3549,20000",39.10503092402843,0.0
6376817,42606000,41621,Липецкая область,11,67684.49,67684.49,07.12.2017,Ремонт фундаментов,299.53,"1688,20000",225.9689847427637,0.0
6377559,42606000,41892,Липецкая область,11,152545.37,152545.37,07.12.2017,Ремонт фундаментов,821.79,"2422,80000",185.62573163460252,0.0
6368855,42701000,38447,Липецкая область,9,954771.95,954771.95,26.12.2017,Ремонт фундаментов,3971.88,"14347,10000",240.3828791403567,0.0
6381573,42612000,39131,Липецкая область,11,54439.0,54439.0,15.12.2016,Ремонт фундаментов,258.5,"1379,23000",210.59574468085106,0.0
6381615,42612000,41109,Липецкая область,11,60995.0,60995.0,30.12.2016,Ремонт фундаментов,433.3,"1279,39000",140.76852065543503,0.0
6391497,42642000,41779,Липецкая область,11,61390.35,61390.35,29.12.2017,Ремонт фундаментов,408.54,"1444,63000",150.26766044940518,0.0
6391656,42645000,40160,Липецкая область,11,97005.95,97005.95,30.11.2016,Ремонт фундаментов,450.7,"460,32000",215.23396938096295,0.0
6391669,42645000,40180,Липецкая область,11,77083.89,77083.89,24.12.2018,Ремонт фундаментов,790.1,"2180,87000",97.56219465890393,0.0
6391683,42645000,40181,Липецкая область,11,84429.37,84429.37,20.10.2017,Ремонт фундаментов,785.95,"1592,63000",107.42333481773649,0.0
6391697,42645000,40182,Липецкая область,11,84429.37,84429.37,20.10.2017,Ремонт фундаментов,797.72,"1632,44000",105.8383518026375,0.0
6391736,42645000,39159,Липецкая область,11,49530.58,49530.58,20.10.2017,Ремонт фундаментов,366.8,"974,91000",135.03429661941112,0.0
6391766,42645000,40184,Липецкая область,11,85155.62,85155.62,27.12.2017,Ремонт фундаментов,772.86,"1905,94000",110.18246512951892,0.0
6391775,42645000,40183,Липецкая область,11,82988.64,82988.64,27.11.2017,Ремонт фундаментов,781.0,"1207,44000",106.25946222791293,0.0
6391835,42645000,39245,Липецкая область,11,44906.98,44906.98,16.12.2016,Ремонт фундаментов,445.61,"1597,57000",100.77641884158794,0.0
6392720,42648000,37779,Липецкая область,11,25089.69,25089.69,29.12.2017,Ремонт фундаментов,375.32,"1115,69000",66.84879569434082,0.0
6393169,42648000,39681,Липецкая область,11,50783.38,50783.38,29.12.2017,Ремонт фундаментов,224.73,"751,64000",225.9750812085614,0.0
6393503,42648000,39693,Липецкая область,11,41935.0,41935.0,25.12.2015,Ремонт фундаментов,406.14,"928,31000",103.25257300438273,0.0
6393587,42648000,40030,Липецкая область,11,85551.0,85551.0,24.08.2017,Ремонт фундаментов,400.84,"1194,35000",213.42929847320627,0.0
6393682,42648000,39717,Липецкая область,11,87884.36,87884.36,29.12.2017,Ремонт фундаментов,429.33,"1399,05000",204.70118556821095,0.0
6393693,42648000,39718,Липецкая область,11,88701.0,88701.0,29.12.2017,Ремонт фундаментов,433.4,"1435,64000",204.66312874942318,0.0
6393722,42648000,39749,Липецкая область,11,122830.0,122830.0,17.10.2017,Ремонт фундаментов,542.63,"3572,58000",226.36050347382195,0.0
6393731,42648000,39748,Липецкая область,11,97000.0,97000.0,17.10.2017,Ремонт фундаментов,429.66,"2727,64000",225.759903179258,0.0
6393744,42648000,39750,Липецкая область,11,122414.01,122414.01,13.12.2018,Ремонт фундаментов,892.0,"6748,14000",137.23543721973093,0.0
6393765,42648000,39751,Липецкая область,11,119759.52,119759.52,13.12.2018,Ремонт фундаментов,890.0,"7820,60000",134.5612584269663,0.0
6393767,42648000,39752,Липецкая область,11,77908.91,77908.91,06.12.2018,Ремонт фундаментов,570.0,"5117,63000",136.68229824561405,0.0
6393780,42648000,39753,Липецкая область,11,121465.4,121465.4,06.12.2018,Ремонт фундаментов,1638.2,"9035,73000",74.14564766206811,0.0
6393793,42648000,41414,Липецкая область,11,27139.0,27139.0,30.12.2016,Ремонт фундаментов,326.48,"475,12000",83.12607204116638,0.0
6394372,42656000,40068,Липецкая область,9,87083.51,87083.51,31.10.2018,Ремонт фундаментов,854.4,"1386,32000",101.92358380149813,0.0
6394424,42656000,39140,Липецкая область,9,109130.48,109130.48,31.10.2018,Ремонт фундаментов,922.0,"1883,92000",118.36277657266811,0.0
6394795,42656000,40078,Липецкая область,9,87696.27,87696.27,31.10.2018,Ремонт фундаментов,526.46,"835,56000",166.57727082779317,0.0
6394970,42656000,40098,Липецкая область,9,109990.45,109990.45,31.10.2018,Ремонт фундаментов,998.8,"1690,11000",110.12259711653985,0.0
6395115,42656000,40118,Липецкая область,9,156941.67,156941.67,31.10.2018,Ремонт фундаментов,3133.13,"1384,89000",50.091017608589496,0.0
6391323,42642000,41174,Липецкая область,11,61267.08,61267.08,29.12.2017,Ремонт фундаментов,407.88,"996,56000",150.20859076198883,0.0
6381589,42612000,42767,Липецкая область,11,61375.18,61375.18,,Ремонт фундаментов,346.28,"2452,72000",177.24148088252284,0.0
6391126,42642000,42228,Липецкая область,11,105504.72,105504.72,30.11.2018,Ремонт фундаментов,683.87,"1522,51000",154.2759881263983,0.0
6391002,42640000,41315,Липецкая область,11,65212.8,65212.8,,Ремонт фундаментов,296.89,"48,31000",219.65307016066558,0.0
6381998,42615000,37830,Липецкая область,11,10585.0,10585.0,17.04.2017,Ремонт фундаментов,251.13,"1177,33000",42.14948433082467,0.0
6382004,42615000,37830,Липецкая область,11,45758.0,45758.0,08.12.2016,Ремонт фундаментов,251.13,"1177,33000",182.2084179508621,0.0
6382028,42615000,39683,Липецкая область,11,52871.99,52871.99,31.10.2018,Ремонт фундаментов,405.57,"1537,62000",130.364647286535,0.0
6382433,42618000,39651,Липецкая область,11,6747.08,6747.08,28.12.2016,Ремонт фундаментов,797.5,"1933,03000",8.46028840125392,0.0
6383943,42624000,41515,Липецкая область,11,77690.82,77690.82,29.12.2017,Ремонт фундаментов,701.5,"3156,88000",110.74956521739131,0.0
6384288,42624000,41747,Липецкая область,11,31797.12,31797.12,27.12.2016,Ремонт фундаментов,595.9,"1574,09000",53.35982547407283,0.0
6384548,42624000,39629,Липецкая область,11,50346.0,50346.0,,Ремонт фундаментов,192.28,"25,82000",261.83690451425,0.0
6384565,42624000,40142,Липецкая область,11,101509.35,101509.35,05.10.2018,Ремонт фундаментов,763.73,"2701,93000",132.9126130962513,0.0
6384581,42624000,40146,Липецкая область,11,71798.4,71798.4,,Ремонт фундаментов,389.07,"52,32000",184.5385149201943,0.0
6384590,42624000,40143,Липецкая область,11,115788.0,115788.0,,Ремонт фундаментов,684.5,"48,72000",169.15704894083274,0.0
6384654,42624000,39634,Липецкая область,11,60481.75,60481.75,19.10.2017,Ремонт фундаментов,450.0,"1734,18000",134.4038888888889,0.0
6384664,42624000,39635,Липецкая область,11,60481.75,60481.75,19.10.2017,Ремонт фундаментов,450.0,"1784,43000",134.4038888888889,0.0
6384756,42624000,40809,Липецкая область,11,70952.29,70952.29,05.10.2018,Ремонт фундаментов,417.12,"1678,65000",170.10042673571152,0.0
6385181,42627000,42557,Липецкая область,11,67458.76,67458.76,27.12.2017,Ремонт фундаментов,427.79,"1680,94000",157.69129713177023,0.0
6386914,42633000,41342,Липецкая область,9,83074.0,83074.0,17.12.2015,Ремонт фундаментов,1401.07,"3233,15000",59.29325444124848,0.0
6389489,42636000,39417,Липецкая область,11,33820.78,33820.78,29.12.2017,Ремонт фундаментов,178.2,"690,96000",189.79113355780024,0.0
6389512,42636000,39421,Липецкая область,11,69051.63,69051.63,29.12.2017,Ремонт фундаментов,337.04,"1147,93000",204.87666152385475,0.0
6389536,42636000,42213,Липецкая область,11,69233.0,69233.0,11.09.2017,Ремонт фундаментов,315.5,"1581,73000",219.4389857369255,0.0
6389573,42636000,40900,Липецкая область,11,51735.0,51735.0,17.10.2016,Ремонт фундаментов,428.3,"1603,49000",120.79150128414662,0.0
6389585,42636000,40898,Липецкая область,11,69908.0,69908.0,17.10.2016,Ремонт фундаментов,776.3,"1850,00000",90.05281463351797,0.0
6389589,42636000,40901,Липецкая область,11,69908.0,69908.0,17.10.2016,Ремонт фундаментов,767.5,"1850,00000",91.08534201954397,0.0
6389596,42636000,40899,Липецкая область,11,69908.0,69908.0,17.10.2016,Ремонт фундаментов,781.3,"1000,96000",89.4765135031358,0.0
6389862,42640000,41044,Липецкая область,9,37818.0,37818.0,31.12.2014,Ремонт фундаментов,2014.9,"5274,67000",18.769169685840488,0.0
6390405,42640000,37893,Липецкая область,11,164465.16,164465.16,,Ремонт фундаментов,1351.8,"52,20000",121.66382600976476,0.0
6390791,42640000,41670,Липецкая область,11,25487.0,25487.0,21.12.2015,Ремонт фундаментов,407.3,"1435,33000",62.57549717652836,0.0
6390799,42640000,41671,Липецкая область,11,25637.0,25637.0,21.12.2015,Ремонт фундаментов,412.28,"1545,26000",62.18346754632774,0.0
