,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5005425,82606000,6635,Республика Дагестан,11,75000.0,0.0,,Ремонт фундаментов,300.0,"0,00000",0.0,1.0
5036833,82639000,9984,Республика Дагестан,11,187700.0,0.0,,Ремонт фундаментов,750.8,"0,00000",0.0,1.0
5036810,82639000,9981,Республика Дагестан,11,52447.5,0.0,,Ремонт фундаментов,255.89,"0,00000",0.0,1.0
5036803,82639000,9983,Республика Дагестан,11,97475.0,0.0,,Ремонт фундаментов,389.9,"0,00000",0.0,1.0
5036796,82639000,9974,Республика Дагестан,11,79467.5,0.0,,Ремонт фундаментов,317.87,"0,00000",0.0,1.0
5036790,82637000,9972,Республика Дагестан,11,224830.0,0.0,,Ремонт фундаментов,899.32,"0,00000",0.0,1.0
5036776,82637000,9971,Республика Дагестан,11,145870.0,0.0,,Ремонт фундаментов,583.48,"0,00000",0.0,1.0
5036773,82637000,9973,Республика Дагестан,11,80125.0,0.0,,Ремонт фундаментов,320.5,"0,00000",0.0,1.0
5036764,82637000,9970,Республика Дагестан,11,136710.0,0.0,,Ремонт фундаментов,546.84,"0,00000",0.0,1.0
5036743,82637000,9968,Республика Дагестан,11,148137.5,0.0,,Ремонт фундаментов,592.55,"0,00000",0.0,1.0
5036732,82637000,9967,Республика Дагестан,11,79250.0,0.0,,Ремонт фундаментов,317.0,"0,00000",0.0,1.0
5036731,82634000,9961,Республика Дагестан,11,150000.0,0.0,,Ремонт фундаментов,600.0,"0,00000",0.0,1.0
5036726,82634000,9966,Республика Дагестан,11,150000.0,0.0,,Ремонт фундаментов,600.0,"0,00000",0.0,1.0
5036718,82634000,9965,Республика Дагестан,11,150000.0,0.0,,Ремонт фундаментов,600.0,"0,00000",0.0,1.0
5036714,82634000,9964,Республика Дагестан,11,150000.0,0.0,,Ремонт фундаментов,600.0,"0,00000",0.0,1.0
5036708,82634000,9963,Республика Дагестан,11,150000.0,0.0,,Ремонт фундаментов,600.0,"0,00000",0.0,1.0
5036706,82634000,9962,Республика Дагестан,11,150000.0,0.0,,Ремонт фундаментов,600.0,"0,00000",0.0,1.0
5036698,82634000,9959,Республика Дагестан,11,150000.0,0.0,,Ремонт фундаментов,600.0,"0,00000",0.0,1.0
5036696,82634000,9960,Республика Дагестан,11,150000.0,0.0,,Ремонт фундаментов,600.0,"0,00000",0.0,1.0
5036680,82632000,9958,Республика Дагестан,11,110360.0,0.0,,Ремонт фундаментов,441.44,"0,00000",0.0,1.0
5036677,82632000,9955,Республика Дагестан,11,54810.0,0.0,,Ремонт фундаментов,240.14,"0,00000",0.0,1.0
5036668,82632000,9954,Республика Дагестан,11,98525.0,0.0,,Ремонт фундаментов,394.1,"0,00000",0.0,1.0
5036662,82632000,10500,Республика Дагестан,11,81150.0,0.0,,Ремонт фундаментов,324.6,"0,00000",0.0,1.0
5036572,82629000,9937,Республика Дагестан,11,127000.0,0.0,,Ремонт фундаментов,508.0,"0,00000",0.0,1.0
5036562,82629000,9936,Республика Дагестан,11,164750.0,0.0,,Ремонт фундаментов,659.0,"0,00000",0.0,1.0
5036819,82639000,9982,Республика Дагестан,11,53717.5,0.0,,Ремонт фундаментов,214.87,"0,00000",0.0,1.0
5036841,82639000,9985,Республика Дагестан,11,35175.0,0.0,,Ремонт фундаментов,140.75,"0,00000",0.0,1.0
5035998,82635000,9848,Республика Дагестан,11,158750.0,0.0,,Ремонт фундаментов,635.0,"0,00000",0.0,1.0
5036849,82639000,9986,Республика Дагестан,11,108675.0,0.0,,Ремонт фундаментов,434.7,"0,00000",0.0,1.0
5037032,82644000,10003,Республика Дагестан,11,113940.0,0.0,,Ремонт фундаментов,458.76,"0,00000",0.0,1.0
5037030,82640000,10002,Республика Дагестан,11,120000.0,0.0,,Ремонт фундаментов,480.0,"0,00000",0.0,1.0
5037022,82640000,10001,Республика Дагестан,11,174750.0,0.0,,Ремонт фундаментов,699.0,"0,00000",0.0,1.0
5037011,82640000,9999,Республика Дагестан,11,105000.0,0.0,,Ремонт фундаментов,420.0,"0,00000",0.0,1.0
5037009,82640000,9998,Республика Дагестан,11,45000.0,0.0,,Ремонт фундаментов,180.0,"0,00000",0.0,1.0
5036996,82640000,10501,Республика Дагестан,11,39000.0,0.0,,Ремонт фундаментов,156.0,"0,00000",0.0,1.0
5036990,82640000,9997,Республика Дагестан,11,101000.0,0.0,,Ремонт фундаментов,404.0,"0,00000",0.0,1.0
5036986,82640000,10000,Республика Дагестан,11,88750.0,0.0,,Ремонт фундаментов,355.0,"0,00000",0.0,1.0
5036972,82640000,9996,Республика Дагестан,11,123750.0,0.0,,Ремонт фундаментов,495.0,"0,00000",0.0,1.0
5036955,82639000,9980,Республика Дагестан,11,107900.0,0.0,,Ремонт фундаментов,431.6,"0,00000",0.0,1.0
5036949,82639000,9979,Республика Дагестан,11,67690.0,0.0,,Ремонт фундаментов,270.76,"0,00000",0.0,1.0
5036945,82639000,9978,Республика Дагестан,11,91450.0,0.0,,Ремонт фундаментов,365.83,"0,00000",0.0,1.0
5036932,82639000,9977,Республика Дагестан,11,79820.0,0.0,,Ремонт фундаментов,319.28,"0,00000",0.0,1.0
