,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5936430,87608000,8760800001379,Республика Коми,9,351020.0,351020.0,,Ремонт фундаментов,1483.8,,236.5682706564227,0.0
5936525,87608000,8760800001393,Республика Коми,9,204720.0,204720.0,,Ремонт фундаментов,863.8,,236.99930539476733,0.0
5936528,87608000,8760800001393,Республика Коми,11,1143035.0,1143035.0,,Ремонт фундаментов,863.8,,1323.2634869182682,0.0
5949439,87636000,8763600005165,Республика Коми,9,39817.0,39817.0,,Ремонт фундаментов,453.2,"111698,00000",87.85745807590467,0.0
5949441,87636000,8763600005165,Республика Коми,11,205094.0,205094.0,,Ремонт фундаментов,453.2,"111698,00000",452.54633715798764,0.0
5950111,87636000,8763600005161,Республика Коми,11,811343.9,811343.9,,Ремонт фундаментов,719.6,"4473782,52000",1127.492912729294,0.0
5950417,87640000,8764000005464,Республика Коми,11,156807.0,156807.0,,Ремонт фундаментов,359.7,,435.9382819015847,0.0
5950421,87640000,8764000005463,Республика Коми,11,156807.0,156807.0,,Ремонт фундаментов,372.6,,420.8454106280193,0.0
5899375,87715000,8771500001025,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899380,87715000,8771500001025,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899385,87715000,8771500001026,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899387,87715000,8771500001026,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899392,87715000,8771500001024,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899397,87715000,8771500001024,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899399,87715000,8771500001027,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899414,87715000,8771500001028,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899417,87715000,8771500001029,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899423,87715000,8771500001030,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899432,87715000,8771500001031,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899440,87715000,8771500001032,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899453,87715000,8771500001033,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899456,87715000,8771500001035,Республика Коми,11,,,,Ремонт фундаментов,1184.9,,,
5899464,87715000,8771500001036,Республика Коми,11,,,,Ремонт фундаментов,636.6,,,
5899471,87715000,8771500001037,Республика Коми,11,,,,Ремонт фундаментов,848.8,,,
5899486,87715000,8771500001034,Республика Коми,11,,,,Ремонт фундаментов,570.3,"0,00000",,
5899488,87715000,8771500001038,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899490,87715000,8771500001038,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899500,87715000,8771500001048,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899503,87715000,8771500001048,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899511,87715000,8771500001039,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899513,87715000,8771500001039,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899514,87715000,8771500001040,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899518,87715000,8771500001040,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899523,87715000,8771500001041,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899530,87715000,8771500001041,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899536,87715000,8771500001042,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899538,87715000,8771500001042,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899543,87715000,8771500001043,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899546,87715000,8771500001043,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899556,87715000,8771500001044,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899558,87715000,8771500001044,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899565,87715000,8771500001050,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899567,87715000,8771500001050,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899570,87715000,8771500001051,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899572,87715000,8771500001051,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899578,87715000,8771500001059,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899580,87715000,8771500001059,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899589,87715000,8771500001055,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899591,87715000,8771500001055,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899596,87715000,8771500001056,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899598,87715000,8771500001056,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899605,87715000,8771500001061,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899607,87715000,8771500001061,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899619,87715000,8771500001062,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899620,87715000,8771500001062,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899629,87715000,8771500001073,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899631,87715000,8771500001073,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899634,87715000,8771500001074,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899636,87715000,8771500001074,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899642,87715000,8771500001077,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899644,87715000,8771500001077,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899651,87715000,8771500001066,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899658,87715000,8771500001066,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899660,87715000,8771500001078,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899662,87715000,8771500001078,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899669,87715000,8771500001079,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899671,87715000,8771500001079,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899684,87715000,8771500001067,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899686,87715000,8771500001067,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899689,87715000,8771500001068,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899695,87715000,8771500001068,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899696,87715000,8771500001070,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899700,87715000,8771500001070,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899705,87715000,8771500001071,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899707,87715000,8771500001071,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899719,87715000,8771500001085,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899720,87715000,8771500001085,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899724,87715000,8771500001086,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899729,87715000,8771500001086,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899732,87715000,8771500001087,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899739,87715000,8771500001087,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899743,87715000,8771500001083,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899749,87715000,8771500001083,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899752,87715000,8771500001093,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899754,87715000,8771500001093,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899760,87715000,8771500001091,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899767,87715000,8771500001091,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899775,87715000,8771500001095,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899777,87715000,8771500001095,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899785,87715000,8771500001100,Республика Коми,11,,,,Ремонт фундаментов,459.5,"0,00000",,
5899786,87715000,8771500001101,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899801,87715000,8771500001102,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899802,87715000,8771500001105,Республика Коми,11,,,,Ремонт фундаментов,996.6,,,
5899816,87715000,8771500001106,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899818,87715000,8771500001106,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899825,87715000,8771500001107,Республика Коми,11,,,,Ремонт фундаментов,506.95,,,
5899829,87715000,8771500001108,Республика Коми,11,,,,Ремонт фундаментов,1008.2,,,
5899835,87715000,8771500001109,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899843,87715000,8771500001110,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899850,87715000,8771500001110,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899854,87715000,8771500001113,Республика Коми,11,,,,Ремонт фундаментов,671.8,"0,00000",,
5899865,87715000,8771500001114,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899867,87715000,8771500001114,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899872,87715000,8771500001123,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899878,87715000,8771500001124,Республика Коми,11,,,,Ремонт фундаментов,457.6,,,
5899891,87715000,8771500001125,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899894,87715000,8771500001126,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899899,87715000,8771500001126,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899907,87715000,8771500001118,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899910,87715000,8771500001119,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899920,87715000,8771500001120,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899933,87715000,8771500001121,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899939,87715000,8771500001131,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899941,87715000,8771500001131,Республика Коми,11,,,,Ремонт фундаментов,,,,
5899945,87715000,8771500001132,Республика Коми,9,,,,Ремонт фундаментов,,,,
5899951,87715000,8771500001132,Республика Коми,11,,,,Ремонт фундаментов,,,,
