,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1547163,98701000,1908,Республика Саха (Якутия),11,726326.64,2160322.35,17.09.2018,Ремонт фундаментов,3899.5,"2203,90000",553.9998333119631,-1.9743124250543804
1550274,98701000,2608,Республика Саха (Якутия),11,814164.04,1116936.45,10.10.2018,Ремонт фундаментов,1440.0,"1116,94000",775.6503124999999,-0.37188133487202396
1576716,98644000,6974,Республика Саха (Якутия),11,639399.03,639399.03,21.10.2015,Ремонт фундаментов,4061.6,"8698,65000",157.4254062438448,0.0
1555951,98624000,3692,Республика Саха (Якутия),11,999625.3,999625.3,,Ремонт фундаментов,710.3,"1388,10000",1407.3283119808534,0.0
1550093,98701000,2571,Республика Саха (Якутия),11,3384609.21,3384609.21,,Ремонт фундаментов,4282.03,"5789,32000",790.4216481435208,0.0
1565139,98659000,7078,Республика Саха (Якутия),11,1664010.63,1664010.63,01.06.2017,Ремонт фундаментов,374.4,"1968,19000",4444.472836538462,0.0
1568723,98610000,793,Республика Саха (Якутия),11,2835150.66,2835150.66,19.09.2017,Ремонт фундаментов,580.4,"5522,59000",4884.82195037905,0.0
1543567,98701000,3064,Республика Саха (Якутия),11,1203218.21,1202593.26,01.09.2016,Ремонт фундаментов,365.3,"2555,96000",3292.070243635368,0.0005193987215336057
1545444,98701000,1537,Республика Саха (Якутия),11,1917966.96,1913058.91,26.08.2016,Ремонт фундаментов,544.0,"4248,52000",3516.652408088235,0.0025589856876366873
1562119,98660000,5447,Республика Саха (Якутия),9,7250121.14,7206579.14,28.04.2017,Ремонт фундаментов,5851.8,"8881,62000",1231.514942410882,0.006005692754535133
1562136,98660000,5448,Республика Саха (Якутия),9,7010793.56,6966758.56,28.04.2017,Ремонт фундаментов,5761.1,"7010,79000",1209.2757563659716,0.006281029333289911
1564109,98660000,5513,Республика Саха (Якутия),9,5068206.55,5033725.01,07.10.2016,Ремонт фундаментов,4947.1,"5068,21000",1017.5102605566897,0.006803499356197319
1575521,98650000,6516,Республика Саха (Якутия),11,2820000.0,2800000.0,22.08.2016,Ремонт фундаментов,3718.5,"2820,00000",752.9917977679172,0.0070921985815602835
1554769,98702000,3593,Республика Саха (Якутия),11,1326247.41,1311718.0,04.08.2016,Ремонт фундаментов,1327.2,"4173,46000",988.33484026522,0.010955278698715737
1561661,98660000,5251,Республика Саха (Якутия),9,1943935.0,1919847.0,15.12.2016,Ремонт фундаментов,3148.2,"3861,07000",609.8237087859729,0.012391360822249715
1554792,98702000,3595,Республика Саха (Якутия),11,1597644.2,1575624.0,04.08.2016,Ремонт фундаментов,1626.0,"4278,26000",969.0184501845018,0.013782918624810176
1565166,98659000,7075,Республика Саха (Якутия),11,2244572.12,2213480.25,21.10.2016,Ремонт фундаментов,387.5,"2951,40000",5712.207096774194,0.013852025391815037
1562366,98660000,5373,Республика Саха (Якутия),9,5901947.98,5817237.68,11.11.2016,Ремонт фундаментов,5099.8,"5901,95000",1140.6795717479115,0.014352939112147299
1563316,98660000,5461,Республика Саха (Якутия),9,5203620.34,5127546.24,07.10.2016,Ремонт фундаментов,5736.3,"5203,62000",893.8769311228492,0.014619456268786826
1552953,98701000,3272,Республика Саха (Якутия),11,2061192.82,2030766.64,01.09.2016,Ремонт фундаментов,630.9,"4095,96000",3218.840767158028,0.014761442842596437
1563371,98660000,5341,Республика Саха (Якутия),9,5710280.35,5623654.87,07.10.2016,Ремонт фундаментов,5729.8,"6180,95000",981.4748979021955,0.015170092305537945
1562325,98660000,5372,Республика Саха (Якутия),9,5944168.03,5836934.03,28.04.2017,Ремонт фундаментов,5054.5,"6650,65000",1154.7994915421903,0.01804020334869302
1562873,98660000,5596,Республика Саха (Якутия),9,2019034.82,1982253.82,03.05.2017,Ремонт фундаментов,622.4,"3127,06000",3184.855109254499,0.01821712019805582
1562261,98660000,5369,Республика Саха (Якутия),9,2883754.31,2830561.36,27.09.2016,Ремонт фундаментов,5023.4,"2883,75000",563.4752080264363,0.018445728824935916
