,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
585925,61701000,622601951,Рязанская область,9,564642.6,604783.84,26.08.2019,Ремонт фундаментов,4679.7,"604,78384",129.23560057268628,-0.07109141251474825
585923,61701000,622600115,Рязанская область,9,564642.6,604783.84,22.07.2019,Ремонт фундаментов,4605.9,"4368,69058",131.30633318135435,-0.07109141251474825
586708,61710000,622700038,Рязанская область,9,264223.0,268577.02,06.08.2019,Ремонт фундаментов,3526.8,"4799,00321",76.153175683339,-0.016478580592908333
573775,61701000,622602440,Рязанская область,9,262724.71,264044.44,25.07.2019,Ремонт фундаментов,3653.0,"7496,84508",72.28153298658637,-0.005023242769970062
581235,61701000,622602232,Рязанская область,11,71145.65,71145.65,,Ремонт фундаментов,727.2,"145,02737",97.8350522552255,0.0
584642,61701000,622602900,Рязанская область,9,137481.0,137481.0,,Ремонт фундаментов,1830.9,"4856,93351",75.08930034409306,0.0
595426,61625000,621200169,Рязанская область,9,362135.54,362135.54,,Ремонт фундаментов,4166.5,"133,71900",86.9160062402496,0.0
578488,61701000,622600886,Рязанская область,9,146411.76,146411.76,,Ремонт фундаментов,748.2,"1987,62340",195.68532477947073,0.0
583167,61701000,622603068,Рязанская область,9,714617.57,714617.57,,Ремонт фундаментов,17989.0,"8131,70821",39.72525265439991,0.0
606055,61648000,622100049,Рязанская область,9,1005039.47,1005039.47,,Ремонт фундаментов,1640.2,"39,61376",612.7542189976832,0.0
572813,61701000,622601425,Рязанская область,9,143892.8,143892.8,,Ремонт фундаментов,2044.9,"2019,28619",70.36666829673821,0.0
571762,61701000,622602395,Рязанская область,9,253115.5,253115.5,,Ремонт фундаментов,4359.8,"5119,55957",58.05667691178494,0.0
569196,61701000,622600661,Рязанская область,9,85890.48,85890.48,,Ремонт фундаментов,1321.7,"221,53998",64.98485284103805,0.0
574726,61701000,622600398,Рязанская область,9,301783.43,301783.43,,Ремонт фундаментов,6780.1,"4727,87631",44.51017389124054,0.0
584986,61701000,622600834,Рязанская область,9,403051.78,401337.97,,Ремонт фундаментов,4600.6,"5330,24805",87.23600617310784,0.004252083938197856
583494,61701000,622600544,Рязанская область,9,394742.65,393064.07,,Ремонт фундаментов,2713.4,"0,00000",144.86034864008255,0.004252340100569361
586100,61701000,622602345,Рязанская область,9,394215.7,392539.32,,Ремонт фундаментов,2938.0,"0,00000",133.60766507828455,0.004252443522670468
584447,61701000,622601198,Рязанская область,9,380840.1,379220.34,,Ремонт фундаментов,4396.4,"0,00000",86.25701483031573,0.004253123555003665
584445,61701000,622601104,Рязанская область,9,380840.1,379220.34,,Ремонт фундаментов,4396.3,"0,00000",86.25897686691081,0.004253123555003665
583199,61701000,622603066,Рязанская область,9,380840.1,379220.34,,Ремонт фундаментов,4271.6,"0,00000",88.7771186440678,0.004253123555003665
583187,61701000,622601875,Рязанская область,9,380840.1,379220.34,,Ремонт фундаментов,4394.1,"5074,37538",86.30216426571994,0.004253123555003665
583160,61701000,622601872,Рязанская область,9,380840.1,379220.34,,Ремонт фундаментов,4336.4,"0,00000",87.45049810903055,0.004253123555003665
581014,61701000,622602786,Рязанская область,9,404744.6,403023.05,,Ремонт фундаментов,4519.9,"3625,59938",89.16636430009514,0.0042534230228148525
583146,61701000,622603049,Рязанская область,9,492982.35,490885.42,,Ремонт фундаментов,7477.9,"0,00000",65.64482274435336,0.004253559990535144
583121,61701000,622603083,Рязанская область,9,680962.66,678066.1,,Ремонт фундаментов,7476.9,"0,00000",90.68813278230283,0.004253625301569481
583200,61701000,622600853,Рязанская область,9,354294.88,352787.8,,Ремонт фундаментов,4610.0,"2879,84316",76.5266377440347,0.004253744790215473
574500,61701000,622601860,Рязанская область,9,129131.1,128568.51,,Ремонт фундаментов,991.3,"0,00000",129.69687279330174,0.004356735131970618
574477,61701000,622601013,Рязанская область,9,529724.07,527416.11,,Ремонт фундаментов,6411.6,"3171,19794",82.25967153284671,0.004356909815330768
574506,61701000,622601985,Рязанская область,9,525103.3,522815.17,20.08.2019,Ремонт фундаментов,4201.6,"3068,58585",124.43239956207158,0.004357485470001927
584717,61701000,622602890,Рязанская область,9,155415.0,151608.89,19.08.2019,Ремонт фундаментов,481.4,"1964,98033",314.93329871208977,0.02448997844480897
589088,61715000,622800077,Рязанская область,9,229424.39,223683.14,08.07.2019,Ремонт фундаментов,3342.6,"218,99661",66.91890743732425,0.025024584352169355
586705,61710000,622700037,Рязанская область,9,260214.0,233077.38,12.08.2019,Ремонт фундаментов,3630.18,"3100,42233",64.20546088623705,0.10428578016555602
577136,61701000,622600466,Рязанская область,9,203303.1,176116.05,30.08.2019,Ремонт фундаментов,2717.9,"926,97294",64.79857610655284,0.13372668690246248
607413,61653000,622300025,Рязанская область,9,213253.0,165306.84,11.07.2019,Ремонт фундаментов,2841.1,"5312,49794",58.18409770863398,0.2248322884086039
568827,61701000,622603077,Рязанская область,9,389855.16,290599.92,23.08.2019,Ремонт фундаментов,4514.1,"290,59992",64.37604838173722,0.2545951681132039
578504,61701000,622600888,Рязанская область,9,148660.43,99684.0,,Ремонт фундаментов,423.8,"981,56790",235.21472392638037,0.32945169067518504
586704,61710000,622700036,Рязанская область,9,239168.0,156229.71,20.08.2019,Ремонт фундаментов,3739.92,"4261,15660",41.77354328434833,0.34677837336098477
595160,61625000,621200163,Рязанская область,9,354563.0,157609.62,27.08.2019,Ремонт фундаментов,4776.0,"154,30744",33.0003391959799,0.5554820440937154
595599,61625000,621200125,Рязанская область,9,342160.0,83631.34,30.08.2019,Ремонт фундаментов,4336.3,"7738,17328",19.286336277471577,0.7555782674772037
565686,61620000,621000017,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,424.4,"0,00000",0.0,
565693,61620000,621000016,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,380.4,"0,00000",0.0,
565698,61620000,621000029,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,3567.4,"3997,48860",0.0,
565703,61620000,621000029,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,3567.4,"3997,48860",0.0,
565707,61620000,621000030,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,3510.4,"3857,12733",0.0,
565712,61620000,621000031,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,3447.5,"0,00000",0.0,
565720,61620000,621000032,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,416.6,"0,00000",0.0,
565727,61620000,621000033,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,453.4,"0,00000",0.0,
565733,61620000,621000034,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,381.4,"0,00000",0.0,
565745,61620000,621000035,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,379.0,"0,00000",0.0,
565749,61620000,621000038,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,380.0,"0,00000",0.0,
565754,61620000,621000036,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,1176.8,"0,00000",0.0,
565765,61620000,621000005,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,188.6,"0,00000",0.0,
565781,61620000,621000007,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,977.0,"0,00000",0.0,
565786,61620000,621000012,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,603.6,"0,00000",0.0,
565792,61620000,621000039,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,941.0,"0,00000",0.0,
565796,61620000,621000014,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,423.1,"0,00000",0.0,
565806,61620000,621000002,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,430.0,"0,00000",0.0,
565811,61620000,621000040,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,610.1,"0,00000",0.0,
565814,61620000,621000018,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,619.7,"0,00000",0.0,
565818,61620000,621000003,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,407.5,"0,00000",0.0,
565824,61620000,621000044,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,891.9,"0,00000",0.0,
565838,61620000,621000004,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,891.9,"0,00000",0.0,
565846,61620000,621000020,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,380.1,"0,00000",0.0,
565849,61620000,621000042,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,380.1,"0,00000",0.0,
565856,61620000,621000021,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,606.8,"0,00000",0.0,
565863,61620000,621000022,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,794.1,"0,00000",0.0,
565870,61620000,621000023,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,934.9,"0,00000",0.0,
565875,61620000,621000024,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,567.93,"0,00000",0.0,
565880,61620000,621000025,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,415.7,"0,00000",0.0,
565883,61620000,621000037,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,644.0,"0,00000",0.0,
565891,61620000,621000011,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,285.2,"0,00000",0.0,
565898,61620000,621000013,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,568.8,"0,00000",0.0,
565902,61620000,621000026,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,568.8,"0,00000",0.0,
565908,61620000,621000027,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,557.7,"0,00000",0.0,
565913,61620000,621000028,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,1110.3,"0,00000",0.0,
565917,61620000,621000009,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,1089.0,"0,00000",0.0,
565923,61620000,621000043,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,1099.39,"0,00000",0.0,
565928,61620000,621000045,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,1621.0,"0,00000",0.0,
565933,61620000,621000041,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,1607.75,"0,00000",0.0,
565939,61620000,621000001,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,819.5,"0,00000",0.0,
565944,61620000,621000015,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,762.2,"0,00000",0.0,
565947,61620000,621000046,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,855.0,"0,00000",0.0,
565954,61705000,622900033,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,684.8,"0,00000",0.0,
565957,61705000,622900033,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,684.8,"0,00000",0.0,
565960,61705000,622900034,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,788.6,"0,00000",0.0,
565967,61705000,622900034,Рязанская область,11,0.0,0.0,,Ремонт фундаментов,788.6,"0,00000",0.0,
565969,61705000,622900112,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,4135.1,"0,00000",0.0,
565981,61705000,622900113,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,4804.3,"0,00000",0.0,
565993,61705000,622900114,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,3534.5,"0,00000",0.0,
565996,61705000,622900115,Рязанская область,9,0.0,0.0,,Ремонт фундаментов,5610.6,"0,00000",0.0,
