,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6212158,40303000,3249,Санкт-Петербург,9,485044.03,2105448.06,,Ремонт фундаментов,1107.9,"3872,94204",1900.3953966964527,-3.340735953393757
6243967,40908000,3635,Санкт-Петербург,11,1325077.23,2024253.42,14.05.2018,Ремонт фундаментов,1291.0,"4186,23369",1567.9732145623548,-0.5276493884058365
6231035,40393000,186046,Санкт-Петербург,11,426073.93,603370.58,14.05.2018,Ремонт фундаментов,416.5,"69,44440",1448.6688595438175,-0.4161171043720041
6245756,40910000,8819,Санкт-Петербург,11,771491.98,791037.78,15.05.2018,Ремонт фундаментов,746.14,"2818,23890",1060.1733990940038,-0.02533506569958128
6244265,40909000,7891,Санкт-Петербург,9,5835607.46,5855280.0,31.07.2017,Ремонт фундаментов,3215.0,"8127,71444",1821.2379471228617,-0.003371121196009993
6245684,40910000,151493,Санкт-Петербург,9,7549921.2,7572180.0,31.07.2017,Ремонт фундаментов,4287.88,"7814,86393",1765.9496067986977,-0.0029482162012498636
6245992,40910000,8754,Санкт-Петербург,9,401857.65,402640.0,31.07.2017,Ремонт фундаментов,1224.0,"3475,81927",328.9542483660131,-0.0019468336611234765
6246549,40910000,173331,Санкт-Петербург,9,1268220.19,1270665.7,04.12.2017,Ремонт фундаментов,4408.0,"14004,62853",288.26354355716876,-0.001928300794517401
6212331,40303000,664,Санкт-Петербург,9,7176567.77,7190120.0,22.09.2017,Ремонт фундаментов,3782.8,"7455,40661",1900.7401924500368,-0.001888399919617905
6212235,40303000,692,Санкт-Петербург,9,4519779.39,4528310.0,22.09.2017,Ремонт фундаментов,5437.1,"9256,03551",832.8539110923102,-0.0018873952164289894
6212144,40303000,157958,Санкт-Петербург,9,7841017.8,7855730.0,22.09.2017,Ремонт фундаментов,3419.9,"23873,56554",2297.0642416444925,-0.0018763125368750197
6244431,40909000,166913,Санкт-Петербург,9,3135013.73,3140889.95,04.12.2017,Ремонт фундаментов,4343.0,"29030,56484",723.2074487681326,-0.0018743841354724163
6244807,40910000,6202,Санкт-Петербург,11,727890.08,727890.89,23.08.2018,Ремонт фундаментов,857.0,"4970,16199",849.3475962660443,-1.1128053840984883e-06
6246394,40910000,6482,Санкт-Петербург,9,325476.39,325476.39,19.08.2016,Ремонт фундаментов,405.77,"764,44769",802.1203883973681,0.0
6251616,40913000,13217,Санкт-Петербург,9,1440166.84,1440166.84,05.09.2016,Ремонт фундаментов,1288.0,"1960,11650",1118.1419565217393,0.0
6251179,40913000,187153,Санкт-Петербург,9,87174.47,87174.47,01.07.2015,Ремонт фундаментов,1818.14,"8730,68902",47.94706128240949,0.0
6244297,40909000,1964,Санкт-Петербург,9,1709964.18,1709964.18,22.12.2017,Ремонт фундаментов,944.0,"3362,32084",1811.4027330508475,0.0
6244850,40910000,186636,Санкт-Петербург,9,3159788.11,3159788.11,12.08.2016,Ремонт фундаментов,1490.0,"10558,13120",2120.6631610738254,0.0
6245373,40910000,9297,Санкт-Петербург,9,9243864.2,9243864.2,31.07.2015,Ремонт фундаментов,4851.0,"9391,68619",1905.5584827870541,0.0
6246387,40910000,6484,Санкт-Петербург,9,336942.59,336942.59,19.08.2016,Ремонт фундаментов,1541.85,"522,61741",218.53136816162404,0.0
6245539,40910000,185866,Санкт-Петербург,11,1185714.74,1185714.74,18.06.2018,Ремонт фундаментов,2029.0,"6134,53511",584.3838048299655,0.0
6247249,40911000,10845,Санкт-Петербург,11,1968431.16,1968431.16,18.06.2018,Ремонт фундаментов,1292.0,"5780,81225",1523.5535294117647,0.0
6247125,40911000,10910,Санкт-Петербург,11,554703.18,554703.18,29.08.2016,Ремонт фундаментов,1174.5,"5268,56994",472.28878671775226,0.0
6247114,40911000,10907,Санкт-Петербург,11,631988.98,631988.98,05.09.2016,Ремонт фундаментов,1382.6,"5084,87597",457.10182265297266,0.0
6246752,40910000,3769,Санкт-Петербург,9,206646.1,206646.1,30.07.2015,Ремонт фундаментов,2533.0,"13120,43850",81.58156336360048,0.0
6259472,40360000,76188,Санкт-Петербург,11,1019009.56,1019009.56,,Ремонт фундаментов,1635.3,"81,74301",623.1331009600685,0.0
6245852,40910000,7520,Санкт-Петербург,11,2760178.74,2760178.74,19.12.2016,Ремонт фундаментов,2970.0,"4506,87950",929.3531111111112,0.0
6245944,40910000,9104,Санкт-Петербург,11,1665075.0,1665075.0,05.09.2016,Ремонт фундаментов,3999.0,"22642,01346",416.3728432108027,0.0
6249250,40911000,11323,Санкт-Петербург,11,488833.88,488833.88,18.06.2018,Ремонт фундаментов,302.0,"575,76351",1618.6552317880794,0.0
6193825,40301000,187880,Санкт-Петербург,9,2109493.93,2109493.93,06.06.2018,Ремонт фундаментов,1283.0,"1919,81282",1644.1885658612628,0.0
6244188,40908000,8720,Санкт-Петербург,9,10607613.23,10607613.23,31.07.2015,Ремонт фундаментов,5725.0,"15731,04387",1852.858206113537,0.0
6266218,40343000,161682,Санкт-Петербург,11,3177997.24,3177997.24,,Ремонт фундаментов,4618.23,"107,06212",688.1418292289471,0.0
6194219,40301000,5240,Санкт-Петербург,9,4550000.0,4550000.0,14.07.2015,Ремонт фундаментов,2962.0,"6775,22265",1536.124240378123,0.0
6195143,40301000,5350,Санкт-Петербург,11,3342451.35,3342451.35,18.11.2016,Ремонт фундаментов,3730.7,"9686,78882",895.931420376873,0.0
6194025,40301000,169439,Санкт-Петербург,11,4051896.98,4051896.98,25.12.2017,Ремонт фундаментов,2735.1,"7664,29308",1481.4438155826113,0.0
6206275,40302000,1994,Санкт-Петербург,9,854266.72,854266.72,29.08.2016,Ремонт фундаментов,513.1,"968,72903",1664.9127265640225,0.0
