,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2420478,63602000,6360200016198236,Саратовская область,9,,,,Ремонт фундаментов,851.1,"0,00000",,
2420479,63602000,6360200016198236,Саратовская область,11,,,,Ремонт фундаментов,851.1,"0,00000",,
2420490,63602000,6360200016198237,Саратовская область,9,,,,Ремонт фундаментов,849.3,"0,00000",,
2420491,63602000,6360200016198237,Саратовская область,11,,,,Ремонт фундаментов,849.3,"0,00000",,
2420501,63602000,6360200016198444,Саратовская область,9,,,,Ремонт фундаментов,1215.0,"0,00000",,
2420502,63602000,6360200016198444,Саратовская область,11,,,,Ремонт фундаментов,1215.0,"0,00000",,
2420503,63602000,6360200016198444,Саратовская область,9,,,,Ремонт фундаментов,1215.0,"0,00000",,
2420513,63602000,6360200016198445,Саратовская область,11,,,,Ремонт фундаментов,1741.81,"0,00000",,
2420514,63602000,6360200016198445,Саратовская область,9,,,,Ремонт фундаментов,1741.81,"0,00000",,
2420515,63602000,6360200016198445,Саратовская область,9,,,,Ремонт фундаментов,1741.81,"0,00000",,
2420520,63602000,6360200016198446,Саратовская область,11,,,,Ремонт фундаментов,1809.7,"0,00000",,
2420522,63602000,6360200016198446,Саратовская область,9,,,,Ремонт фундаментов,1809.7,"0,00000",,
2420529,63602000,6360200016198446,Саратовская область,9,,,,Ремонт фундаментов,1809.7,"0,00000",,
2420530,63602000,6360200016198449,Саратовская область,11,,,,Ремонт фундаментов,681.3,"0,00000",,
2420531,63602000,6360200016198449,Саратовская область,9,,,,Ремонт фундаментов,681.3,"0,00000",,
2420550,63602000,6360200016198450,Саратовская область,9,,,,Ремонт фундаментов,702.0,"0,00000",,
2420551,63602000,6360200016198450,Саратовская область,11,,,,Ремонт фундаментов,702.0,"0,00000",,
2420555,63602000,6360200016198451,Саратовская область,9,,,,Ремонт фундаментов,921.4,"0,00000",,
2420556,63602000,6360200016198451,Саратовская область,11,,,,Ремонт фундаментов,921.4,"0,00000",,
2420566,63602000,6360200016198453,Саратовская область,9,,,,Ремонт фундаментов,1092.0,"0,00000",,
2420567,63602000,6360200016198453,Саратовская область,11,,,,Ремонт фундаментов,1092.0,"0,00000",,
2420576,63602000,6360200016198456,Саратовская область,9,,,,Ремонт фундаментов,1684.9,"0,00000",,
2420577,63602000,6360200016198456,Саратовская область,9,,,,Ремонт фундаментов,1684.9,"0,00000",,
