,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
446343,68725000,4066,Тамбовская область,9,840963.0,840963.0,25.12.2015,Ремонт фундаментов,4027.3,"6445,14777",208.81558364164576,0.0
470068,68701000,2501,Тамбовская область,9,48615.0,48615.0,25.12.2014,Ремонт фундаментов,2480.0,"6640,99600",19.60282258064516,0.0
468831,68701000,2448,Тамбовская область,9,145679.0,145679.0,25.12.2018,Ремонт фундаментов,1983.0,"3225,79500",73.46394351991931,0.0
466998,68701000,3889,Тамбовская область,9,421299.0,421299.0,,Ремонт фундаментов,3956.46,"427,38200",106.48382645091824,0.0
465979,68701000,1649,Тамбовская область,9,799734.0,799734.0,,Ремонт фундаментов,11524.7,"1209,54600",69.39304276900917,0.0
465827,68701000,1657,Тамбовская область,11,78286.65,78286.65,,Ремонт фундаментов,1433.56,"78,28665",54.609957030051056,0.0
464281,68701000,2769,Тамбовская область,9,172499.0,172499.0,,Ремонт фундаментов,4156.0,"416,84300",41.50601539942252,0.0
463560,68701000,4433,Тамбовская область,9,32601.0,32601.0,25.12.2015,Ремонт фундаментов,1970.4,"6126,31900",16.54537149817296,0.0
462655,68701000,3625,Тамбовская область,9,137324.0,137324.0,,Ремонт фундаментов,3523.0,"137,32400",38.979279023559464,0.0
458122,68701000,2169,Тамбовская область,9,30961.0,30961.0,25.12.2014,Ремонт фундаментов,921.4,"3635,74900",33.60212719774257,0.0
457383,68701000,2297,Тамбовская область,9,176659.27,176659.27,25.12.2015,Ремонт фундаментов,3787.1,"7786,75200",46.64763803437987,0.0
456299,68701000,3673,Тамбовская область,9,35744.0,35744.0,25.12.2014,Ремонт фундаментов,671.7,"658,78100",53.2142325442906,0.0
455924,68701000,4193,Тамбовская область,9,267535.0,267535.0,,Ремонт фундаментов,5312.4,"1030,55494",50.360477373691744,0.0
455163,68701000,2693,Тамбовская область,9,336440.0,336440.0,25.12.2014,Ремонт фундаментов,1375.1,"7958,37900",244.66584248418297,0.0
454523,68701000,3704,Тамбовская область,9,271244.0,271244.0,25.12.2015,Ремонт фундаментов,4936.2,"10412,04100",54.949961508852965,0.0
453767,68701000,2403,Тамбовская область,9,153579.0,153579.0,,Ремонт фундаментов,4354.9,"361,99585",35.265792555512185,0.0
452734,68701000,4416,Тамбовская область,9,91115.0,91115.0,25.12.2014,Ремонт фундаментов,1823.0,"4278,61900",49.98080087767416,0.0
451268,68701000,2742,Тамбовская область,9,157285.0,157285.0,25.12.2018,Ремонт фундаментов,5904.7,"5831,76200",26.63725506799668,0.0
448031,68725000,1036,Тамбовская область,9,162886.0,162886.0,25.12.2015,Ремонт фундаментов,984.7,"2529,97995",165.4168782370265,0.0
447879,68725000,3742,Тамбовская область,9,2263277.0,2263277.0,,Ремонт фундаментов,5936.6,"4623,08805",381.2412828891958,0.0
447865,68725000,1037,Тамбовская область,9,145004.0,145004.0,25.12.2018,Ремонт фундаментов,4367.0,"6174,48252",33.204488207007095,0.0
447483,68725000,1054,Тамбовская область,9,392511.0,392511.0,25.12.2015,Ремонт фундаментов,1749.6,"397,65126",224.34327846364886,0.0
446970,68725000,5185,Тамбовская область,9,93000.0,93000.0,25.12.2015,Ремонт фундаментов,391.4,"679,92788",237.60858456821668,0.0
446909,68725000,4065,Тамбовская область,9,262712.0,262712.0,25.12.2015,Ремонт фундаментов,1044.8,"266,94493",251.44716692189894,0.0
446786,68725000,1154,Тамбовская область,9,583190.0,583190.0,25.12.2017,Ремонт фундаментов,5106.7,"601,28800",114.20095169091586,0.0
446765,68725000,4055,Тамбовская область,9,472181.0,472181.0,25.12.2018,Ремонт фундаментов,7422.0,"2465,68300",63.619105362436,0.0
446699,68725000,1102,Тамбовская область,11,2365513.25,2365513.25,25.12.2017,Ремонт фундаментов,3759.7,"2786,13425",629.1760645796207,0.0
446359,68725000,4066,Тамбовская область,11,400000.0,400000.0,25.12.2016,Ремонт фундаментов,4027.3,"6445,14777",99.32212648672808,0.0
472878,68701000,2184,Тамбовская область,9,79156.0,79156.0,,Ремонт фундаментов,4524.6,"785,22800",17.494585156698932,0.0
473006,68701000,5316,Тамбовская область,9,361180.0,361180.0,25.12.2016,Ремонт фундаментов,9439.26,"366,95400",38.263592696885134,0.0
420513,68602000,4489,Тамбовская область,11,,,,Ремонт фундаментов,411.5,"850,03100",,
420515,68602000,4554,Тамбовская область,11,,,,Ремонт фундаментов,437.8,"899,54600",,
420522,68602000,5257,Тамбовская область,11,,,,Ремонт фундаментов,388.9,"800,01200",,
420550,68602000,4387,Тамбовская область,11,,,,Ремонт фундаментов,435.5,"904,70099",,
420569,68602000,3871,Тамбовская область,9,,,,Ремонт фундаментов,909.0,"0,00000",,
420588,68602000,4014,Тамбовская область,9,,,,Ремонт фундаментов,919.1,"0,00000",,
420594,68602000,47,Тамбовская область,9,,,,Ремонт фундаментов,869.0,"0,00000",,
420601,68602000,46,Тамбовская область,9,,,,Ремонт фундаментов,743.2,"0,00000",,
420621,68602000,4523,Тамбовская область,9,,,,Ремонт фундаментов,820.3,"0,00000",,
420632,68602000,28,Тамбовская область,9,,,,Ремонт фундаментов,919.0,"0,00000",,
420647,68602000,29,Тамбовская область,9,,,,Ремонт фундаментов,922.5,"0,00000",,
420652,68602000,30,Тамбовская область,9,,,,Ремонт фундаментов,930.4,"0,00000",,
420671,68602000,4803,Тамбовская область,9,,,,Ремонт фундаментов,934.7,"0,00000",,
420738,68602000,26,Тамбовская область,11,,,,Ремонт фундаментов,236.2,"509,59200",,
420785,68602000,37,Тамбовская область,11,,,,Ремонт фундаментов,403.8,"908,45251",,
420787,68602000,3682,Тамбовская область,11,,,,Ремонт фундаментов,431.4,"881,99200",,
420850,68602000,42,Тамбовская область,9,,,,Ремонт фундаментов,408.2,"0,00000",,
421036,68604000,4036,Тамбовская область,9,,,,Ремонт фундаментов,298.3,"0,00000",,
421050,68604000,1491,Тамбовская область,9,,,,Ремонт фундаментов,298.3,"0,00000",,
421067,68604000,1494,Тамбовская область,9,,,,Ремонт фундаментов,425.3,"0,00000",,
421072,68604000,1498,Тамбовская область,9,,,,Ремонт фундаментов,418.32,"0,00000",,
421086,68604000,1499,Тамбовская область,9,,,,Ремонт фундаментов,546.84,"0,00000",,
421092,68604000,1492,Тамбовская область,9,,,,Ремонт фундаментов,722.5,"0,00000",,
