,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
29628,94701000,3053,Удмуртская Республика,9,1182558.0,395398.32,21.12.0017,Ремонт фундаментов,4798.7,"5466,39000",82.39696584491634,0.6656414991907373
30781,94701000,3110,Удмуртская Республика,9,220683.07,145604.06,30.06.0016,Ремонт фундаментов,750.1,"711,45000",194.11286495133982,0.3402119156671149
12279,94701000,2837,Удмуртская Республика,11,54915.38,37108.41,24.06.0016,Ремонт фундаментов,260.9,"823,15000",142.2323112303565,0.3242619827086691
29736,94701000,6248,Удмуртская Республика,9,339405.43,247218.72,25.12.0016,Ремонт фундаментов,4039.99,"4843,94000",61.19290394283154,0.2716123604740207
313,94602000,1454,Удмуртская Республика,11,178164.66,139802.37,10.09.0018,Ремонт фундаментов,603.1,"266,33000",231.80628419830873,0.21531930069633343
34030,94701000,1337,Удмуртская Республика,11,59554.22,47177.42,30.04.0016,Ремонт фундаментов,321.8,"1183,67000",146.60478558110626,0.20782406351724533
867,94604000,669,Удмуртская Республика,11,57780.47,47042.63,30.06.0016,Ремонт фундаментов,359.13,"811,07000",130.99053267618967,0.185838571406567
61,94602000,1441,Удмуртская Республика,11,55252.0,45290.32,05.05.0016,Ремонт фундаментов,354.9,"63,24000",127.61431389123697,0.1802953739231159
1334,94604000,607,Удмуртская Республика,11,280261.31,233723.1,26.09.0017,Ремонт фундаментов,1212.72,"3841,81000",192.72635068276273,0.1660529239658517
1394,94604000,7564,Удмуртская Республика,11,56398.49,47042.63,30.06.0016,Ремонт фундаментов,366.6,"848,38000",128.32141298417892,0.1658884838938064
400,94602000,942,Удмуртская Республика,11,87539.0,76360.02,05.05.0016,Ремонт фундаментов,770.14,"275,51000",99.15082971927183,0.1277028524429111
31214,94701000,3137,Удмуртская Республика,11,59107.24,52319.76,30.06.0016,Ремонт фундаментов,410.7,"96,97000",127.39167275383492,0.11483330976036094
1381,94604000,7562,Удмуртская Республика,11,55211.86,49738.48,30.05.0016,Ремонт фундаментов,375.2,"647,27000",132.56524520255866,0.09913413531078281
398,94602000,941,Удмуртская Республика,11,82555.0,75079.49,05.05.0016,Ремонт фундаментов,753.39,"269,33000",99.6555436095515,0.09055187450790377
471,94604000,899,Удмуртская Республика,11,49015.17,45694.7,30.06.0016,Ремонт фундаментов,395.9,"727,18000",115.41980298055064,0.0677437209745473
1291,94604000,725,Удмуртская Республика,11,77199.15,71979.26,30.06.0016,Ремонт фундаментов,711.8,"1155,87000",101.12287159314414,0.06761589991599648
6624,94710000,7716,Удмуртская Республика,11,64761.88,60915.0,30.11.0016,Ремонт фундаментов,411.4,"322,37000",148.06757413709286,0.05940037565308477
312,94602000,1453,Удмуртская Республика,11,67948.0,64363.48,05.05.0016,Ремонт фундаментов,610.7,"97,13000",105.39295889962338,0.05275387060693467
3007,94710000,3872,Удмуртская Республика,11,95472.0,90475.73,16.11.0016,Ремонт фундаментов,1238.95,"1380,78000",73.02613503369788,0.05233230685436572
34013,94701000,1342,Удмуртская Республика,11,156540.0,151021.08,24.11.0017,Ремонт фундаментов,721.8,"503,74000",209.2284289276808,0.03525565350709092
40593,94740000,371,Удмуртская Республика,11,95861.3,94352.22,25.09.0018,Ремонт фундаментов,357.17,"827,82000",264.1661393734076,0.015742327717233145
31011,94701000,6337,Удмуртская Республика,11,142654.81,141963.59,15.06.0016,Ремонт фундаментов,3756.83,"5388,04000",37.78813254791939,0.00484540268919079
31008,94701000,6337,Удмуртская Республика,9,320820.42,319419.01,15.06.0016,Ремонт фундаментов,3756.83,"5388,04000",85.0235464474038,0.0043682069863257905
34022,94701000,1346,Удмуртская Республика,11,69486.5,69269.93,15.06.0016,Ремонт фундаментов,669.32,"1747,67000",103.49299288830453,0.003116720514056788
34017,94701000,1344,Удмуртская Республика,11,69016.47,69007.08,15.06.0016,Ремонт фундаментов,726.4,"1845,66000",94.99873348017621,0.00013605448090867902
4433,94710000,830,Удмуртская Республика,11,133044.33,133042.38,16.06.0017,Ремонт фундаментов,397.37,"466,81000",334.8073080504316,1.4656768912906983e-05
43679,94616000,1742,Удмуртская Республика,11,83785.09,83785.09,18.10.0016,Ремонт фундаментов,591.55,"176,34000",141.63653114698673,0.0
43714,94616000,1741,Удмуртская Республика,11,68553.73,68553.73,13.10.0016,Ремонт фундаментов,364.56,"246,84000",188.0451228878648,0.0
43693,94616000,568,Удмуртская Республика,11,86670.5,86670.5,18.10.0016,Ремонт фундаментов,600.03,"183,73000",144.4436111527757,0.0
23018,94701000,2715,Удмуртская Республика,11,253601.6,253601.6,,Ремонт фундаментов,2533.2,"0,00000",100.1111637454603,0.0
43538,94616000,565,Удмуртская Республика,11,152818.95,152818.95,,Ремонт фундаментов,334.42,"867,03000",456.9671371329466,0.0
44054,94616000,1706,Удмуртская Республика,11,201001.87,201001.87,,Ремонт фундаментов,1157.77,"109,26000",173.61122675488224,0.0
44152,94616000,8360,Удмуртская Республика,11,188092.0,188092.0,18.11.0016,Ремонт фундаментов,3088.92,"640,27000",60.892480219623685,0.0
38164,94740000,3633,Удмуртская Республика,11,93268.41,93268.41,03.03.0017,Ремонт фундаментов,380.78,"1168,88000",244.94041178633336,0.0
44482,94616000,8375,Удмуртская Республика,11,208610.0,208610.0,18.10.0016,Ремонт фундаментов,11263.29,"208,61000",18.52123136312747,0.0
17038,94701000,2497,Удмуртская Республика,11,435704.0,435704.0,06.10.0016,Ремонт фундаментов,5944.54,"2241,67000",73.29482180286448,0.0
46817,94620000,8122,Удмуртская Республика,11,170797.65,170797.65,,Ремонт фундаментов,451.6,"0,00000",378.2056023029229,0.0
47661,94624000,1941,Удмуртская Республика,11,143829.6,143829.6,,Ремонт фундаментов,388.6,"0,00000",370.1224909933093,0.0
6459,94710000,7710,Удмуртская Республика,11,89893.5,89893.5,,Ремонт фундаментов,119.8,"3,21000",750.3631051752922,0.0
20457,94701000,3432,Удмуртская Республика,11,121586.0,121586.0,31.10.0017,Ремонт фундаментов,7550.56,"1363,68000",16.1029115721218,0.0
19051,94701000,5485,Удмуртская Республика,11,243749.06,243749.06,31.10.0017,Ремонт фундаментов,3386.0,"243,75000",71.98731836975783,0.0
37686,94730000,4395,Удмуртская Республика,11,85000.0,85000.0,25.10.0016,Ремонт фундаментов,1024.65,"591,79000",82.95515541892352,0.0
13291,94701000,5575,Удмуртская Республика,9,240600.32,240600.32,,Ремонт фундаментов,1841.1,"0,00000",130.68291782086797,0.0
16875,94701000,5256,Удмуртская Республика,11,274270.94,274270.94,20.10.0016,Ремонт фундаментов,4075.05,"274,27000",67.30492631992246,0.0
16680,94701000,5225,Удмуртская Республика,11,188795.28,188795.28,12.09.0016,Ремонт фундаментов,3940.34,"1146,69000",47.91344909322545,0.0
17080,94701000,5272,Удмуртская Республика,11,197475.36,197475.36,22.11.0018,Ремонт фундаментов,3890.87,"234,44000",50.75352299100201,0.0
