,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6547069,71878000,17981,Ханты-Мансийский автономный округ — Югра,9,160525.66,1803116.25,19.12.2018,Ремонт фундаментов,3163.99,"4786,37000",569.8868359255245,-10.232573346840624
6564872,71826000,24809,Ханты-Мансийский автономный округ — Югра,9,204055.61,1676248.62,31.08.2016,Ремонт фундаментов,4014.3,"3103,88000",417.56934459307973,-7.21466569823785
6547024,71878000,17978,Ханты-Мансийский автономный округ — Югра,9,431671.99,2942661.44,19.12.2018,Ремонт фундаментов,5152.55,"8290,19000",571.1077893470223,-5.816892242649333
6539252,71876000,19284,Ханты-Мансийский автономный округ — Югра,9,302196.27,1485409.2,31.08.2016,Ремонт фундаментов,3913.5,"11181,62000",379.5602912993484,-3.915379001865244
6546967,71878000,19541,Ханты-Мансийский автономный округ — Югра,9,668154.42,2965731.61,15.10.2018,Ремонт фундаментов,3419.5,"7646,51000",867.2997835940927,-3.438691897001893
6519252,71874000,32250,Ханты-Мансийский автономный округ — Югра,9,933060.42,3825329.73,02.08.2018,Ремонт фундаментов,5335.9,"12955,29000",716.9043141738039,-3.0997663688274333
6564014,71826000,30258,Ханты-Мансийский автономный округ — Югра,9,742753.36,1733606.08,23.11.2017,Ремонт фундаментов,1808.5,"2462,77000",958.5878241636716,-1.3340265737740993
6535065,71876000,32505,Ханты-Мансийский автономный округ — Югра,9,335015.49,754617.75,31.08.2016,Ремонт фундаментов,5402.9,"16499,04000",139.66902034092803,-1.2524861462375965
6519410,71874000,32246,Ханты-Мансийский автономный округ — Югра,9,724748.89,1597700.86,11.10.2018,Ремонт фундаментов,5394.5,"9285,13000",296.172186486236,-1.2044888678615293
6513984,71873000,20016,Ханты-Мансийский автономный округ — Югра,9,821965.8,1788481.94,27.07.2018,Ремонт фундаментов,13486.8,"29386,71000",132.60980662573778,-1.1758593119081109
6559848,71824000,19896,Ханты-Мансийский автономный округ — Югра,9,1108515.6,2346479.57,20.12.2018,Ремонт фундаментов,3033.6,"3133,77000",773.4966936972573,-1.1167763178073449
6524437,71875000,23984,Ханты-Мансийский автономный округ — Югра,9,1864896.78,3444698.77,31.08.2017,Ремонт фундаментов,3720.1,"15722,84000",925.9694013601785,-0.8471256999006669
6561168,71826000,25635,Ханты-Мансийский автономный округ — Югра,9,1369853.82,2369853.82,12.04.2019,Ремонт фундаментов,2264.2,"4972,16000",1046.6627594735448,-0.7300048993548813
