,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3962576,17701000,1770100055699,Владимирская область,1,46643260.0,105397.0,,Электроснабжение,7538.5,"2084,16100",13.981163361411422,0.9977403594860222
3962574,17701000,1770100055699,Владимирская область,1,46643260.0,190604.0,,Электроснабжение,7538.5,"2084,16100",25.284075081249586,0.9959135789393795
3996643,17737000,1773700012395,Владимирская область,1,18564000.0,427165.0,,Электроснабжение,5931.8,"709,27700",72.01271115007249,0.9769896035337212
3970906,17701000,1770100053084,Владимирская область,1,16191000.0,399858.77,,Электроснабжение,4982.6,"1719,46998",80.25102757596436,0.9753036396763635
3989069,17725000,17725000248625,Владимирская область,1,555493.0,14924.99,,Электроснабжение,3228.8,"854,55925",4.622457259663032,0.9731319926623738
4019175,17646000,1764600043098,Владимирская область,1,5385520.0,264228.0,,Электроснабжение,4409.3,"264,22800",59.92515818837457,0.9509373282431408
3996613,17737000,17737000159269,Владимирская область,1,18564000.0,1153059.14,22.04.2019,Электроснабжение,5911.9,"1149,23136",195.04036604137417,0.9378873550958845
3990962,17725000,17725000164417,Владимирская область,1,1631574.0,102686.54,,Электроснабжение,4979.9,"976,22753",20.620201208859616,0.9370628975455603
4022981,17648000,17648000209222,Владимирская область,1,217000.0,21712.0,,Электроснабжение,3460.5,"437,92900",6.274237826903627,0.8999447004608295
3968367,17701000,1770100089107,Владимирская область,1,6790000.0,767134.56,,Электроснабжение,3327.9,"767,13456",230.5161092580907,0.8870199469808541
3969207,17701000,1770100078593,Владимирская область,1,210000.0,27871.0,,Электроснабжение,1248.6,"209,33700",22.321800416466445,0.8672809523809524
3996679,17737000,17737000191306,Владимирская область,1,9275000.0,1431116.13,,Электроснабжение,6038.0,"4111,78946",237.0182394832726,0.8457017649595687
3991832,17725000,17725000186530,Владимирская область,1,1120000.0,192002.91,,Электроснабжение,4468.7,"1986,97303",42.96616689417504,0.8285688303571428
3958892,17701000,1770100082229,Владимирская область,1,2835000.0,515556.86,,Электроснабжение,11757.2,"1906,54101",43.850309597523214,0.8181457283950617
4013560,17735000,17735000189174,Владимирская область,1,2278839.33,423903.15,16.05.2019,Электроснабжение,1734.01,"422,34754",244.4640746016459,0.8139828708327586
3994177,17615000,17615000100278,Владимирская область,1,469030.97,104579.31,26.06.2018,Электроснабжение,230.25,"1,36650",454.19895765472313,0.777031120141171
3974296,17701000,17701000224425,Владимирская область,1,328310.0,111964.0,,Электроснабжение,4306.4,"1243,70352",25.999442689949845,0.6589686576711036
3986889,17725000,17725000137138,Владимирская область,1,1200000.0,420399.0,12.09.2018,Электроснабжение,1919.0,"1633,00899",219.07191245440333,0.6496675
3962713,17701000,17701000179916,Владимирская область,1,1155000.0,415995.0,,Электроснабжение,13886.2,"4247,29644",29.9574397603376,0.6398311688311689
4004130,17640000,17640000250476,Владимирская область,1,369600.0,139106.0,,Электроснабжение,5599.3,"1200,34800",24.8434625756791,0.6236309523809523
3986928,17725000,17725000186253,Владимирская область,1,350414.28,136144.78,11.11.2015,Электроснабжение,2568.61,"605,98251",53.003289717006474,0.6114747949198874
3986870,17725000,17725000146702,Владимирская область,1,161344.56,64610.4,11.11.2015,Электроснабжение,3399.9,"2034,65382",19.003617753463338,0.5995501800618502
3969370,17701000,17701000105331,Владимирская область,1,693000.0,289625.0,,Электроснабжение,6602.1,"521,24300",43.86861756107905,0.5820707070707071
3957579,17701000,1770100096312,Владимирская область,1,444500.0,189015.0,,Электроснабжение,6212.8,"791,82000",30.423480556270924,0.5747694038245219
3994193,17615000,17615000207205,Владимирская область,1,671966.5,301500.0,26.06.2018,Электроснабжение,712.3,"419,21571",423.2767092517198,0.5513169183285178
3983152,17725000,1772500039876,Владимирская область,1,32000.92,14594.65,13.11.2015,Электроснабжение,1593.6,"282,94231",9.158289407630523,0.5439302995038892
3986827,17725000,17725000164603,Владимирская область,1,139648.0,64604.32,13.11.2015,Электроснабжение,1106.0,"466,41130",58.41258589511754,0.5373774060494958
3983487,17725000,1772500074959,Владимирская область,1,527138.0,265802.21,25.08.2015,Электроснабжение,12465.4,"8962,79411",21.323199415983446,0.49576351923025846
3948458,17605000,17605000172388,Владимирская область,1,1741213.52,897612.0,28.04.2018,Электроснабжение,4377.15,"3661,74962",205.0676810253247,0.4844905637994357
4017893,17735000,17735000252328,Владимирская область,1,300000.0,160280.0,12.04.2018,Электроснабжение,434.9,"2,96881",368.54449298689354,0.46573333333333333
3986904,17725000,1772500045817,Владимирская область,1,335600.19,183365.96,23.10.2015,Электроснабжение,4297.4,"260,85867",42.66904640014893,0.4536178301925276
3982475,17725000,1772500088888,Владимирская область,1,921200.0,518794.15,,Электроснабжение,4749.5,"518,79415",109.23131908621961,0.4368278875379939
3944677,17605000,1760500060925,Владимирская область,1,437411.35,248517.87,29.03.2019,Электроснабжение,839.3,"248,51787",296.1013582747528,0.43184402965309426
3966075,17701000,1770100069999,Владимирская область,1,352499.54,214045.24,,Электроснабжение,3424.5,"654,89011",62.50408526792232,0.39277866859060295
3959148,17701000,17701000169921,Владимирская область,1,945000.0,626843.0,,Электроснабжение,3911.2,"744,92600",160.26871548373902,0.33667407407407407
4034504,17656000,17656000107031,Владимирская область,1,141561.0,96847.91,24.12.2014,Электроснабжение,786.1,"108,40783",123.2004961200865,0.31585740422856573
3962723,17701000,17701000179916,Владимирская область,1,1155000.0,824355.0,,Электроснабжение,13886.2,"4247,29644",59.365053074275174,0.2862727272727273
3980672,17720000,17720000205945,Владимирская область,1,670910.41,506157.71,16.08.2018,Электроснабжение,932.2,"2593,84582",542.9711542587428,0.24556587220043286
4033750,17656000,17656000133032,Владимирская область,1,56370.0,42920.08,16.03.2015,Электроснабжение,778.2,"43,81583",55.15301978925726,0.23860067411743832
3996728,17737000,1773700024802,Владимирская область,1,1988580.56,1579051.86,05.12.2018,Электроснабжение,6676.5,"1745,38279",236.50892833071222,0.20594021094121526
4013057,17735000,17735000251855,Владимирская область,1,457611.69,366318.61,,Электроснабжение,1378.1,"0,00000",265.8142442493288,0.1994990119242802
4035234,17656000,1765600095419,Владимирская область,1,58452.0,47047.22,30.10.2014,Электроснабжение,298.0,"44,76272",157.87657718120806,0.19511359748169435
4033869,17656000,1765600033390,Владимирская область,1,207186.0,172966.26,16.03.2015,Электроснабжение,3487.4,"160,78795",49.59748236508574,0.16516434508123132
4018236,17735000,17735000252488,Владимирская область,1,195256.02,169011.39,,Электроснабжение,623.3,"0,00000",271.1557676881117,0.1344113743586496
3948507,17605000,1760500057223,Владимирская область,1,1264704.21,1117145.0,28.04.2018,Электроснабжение,4462.09,"2852,64669",250.36361884229137,0.11667487846822298
4034215,17656000,17656000138288,Владимирская область,1,396859.0,376639.2,29.04.2015,Электроснабжение,4805.1,"308,47451",78.3832178310545,0.05094958158943098
3948546,17605000,1760500087685,Владимирская область,1,235308.0,223486.8,19.08.2015,Электроснабжение,5950.36,"3475,80797",37.55853427355656,0.050237136008975516
4034975,17656000,17656000131624,Владимирская область,1,75648.0,72053.64,03.12.2014,Электроснабжение,623.6,"57,93146",115.54464400256575,0.0475142766497462
4006068,17640000,17640000250634,Владимирская область,1,369600.0,355614.16,,Электроснабжение,4692.1,"546,61816",75.78997890070544,0.03784047619047626
4033821,17656000,17656000156857,Владимирская область,1,137978.0,133754.17,10.02.2015,Электроснабжение,755.3,"107,24892",177.08747517542702,0.030612343996868973
4034890,17656000,1765600050053,Владимирская область,1,68917.0,68270.89,18.11.2014,Электроснабжение,628.1,"52,77684",108.69430027065754,0.009375190446479106
4034878,17656000,17656000111298,Владимирская область,1,68917.0,68270.89,18.11.2014,Электроснабжение,628.1,"52,77684",108.69430027065754,0.009375190446479106
3942395,17605000,1760500084948,Владимирская область,1,1411938.59,1399376.86,24.05.2019,Электроснабжение,5182.31,"2230,09880",270.0295543879081,0.008896796283470077
3955113,17610000,17610000132273,Владимирская область,1,216000.0,215223.25,25.12.2014,Электроснабжение,660.7,"719,20286",325.7503405479037,0.003596064814814815
4034951,17656000,1765600038531,Владимирская область,1,125915.0,125489.49,03.12.2014,Электроснабжение,1073.7,"96,42607",116.87574741547918,0.003379343207719452
4033828,17656000,17656000156266,Владимирская область,1,131864.0,131639.49,10.02.2015,Электроснабжение,794.6,"102,49657",165.6676189277624,0.0017025875144088553
3998586,17625000,17625000120639,Владимирская область,1,71800.64,71800.64,17.07.2015,Электроснабжение,884.5,"590,17412",81.17652911249293,0.0
4026533,17650000,17650000170329,Владимирская область,1,543446.0,543446.0,27.05.2016,Электроснабжение,3689.86,"0,00000",147.2809266476235,0.0
4034702,17656000,1765600030278,Владимирская область,1,232921.0,232921.0,19.07.2016,Электроснабжение,2615.7,"562,41160",89.04729135604236,0.0
3984845,17725000,17725000111002,Владимирская область,1,134380.42,134380.42,,Электроснабжение,5871.5,"971,48784",22.886897726305033,0.0
3986698,17725000,17725000196431,Владимирская область,1,320000.0,320000.0,30.05.2016,Электроснабжение,3233.8,"300,59847",98.95479003030489,0.0
4032469,17654000,17654000114290,Владимирская область,1,215139.0,215139.0,08.09.2015,Электроснабжение,1640.1,"1057,51271",131.17431863910738,0.0
4030462,17654000,17654000138210,Владимирская область,1,799291.0,799291.0,16.12.2015,Электроснабжение,4249.0,"1036,63436",188.11273240762532,0.0
