,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3044273,29638000,40200121,Калужская область,1,163950.08,439336.38,31.05.2019,Электроснабжение,787.0,"522,93367",558.2419059720457,-1.6796960391846107
3044279,29638000,40200122,Калужская область,1,163740.96,438399.17,31.05.2019,Электроснабжение,784.53,"521,99646",558.8048513122507,-1.6773946482297404
2990022,29701000,40010431,Калужская область,1,125809.71,335348.03,,Электроснабжение,407.5,"59,91000",822.9399509202455,-1.6655178682154184
3044293,29638000,40200123,Калужская область,1,188898.1,403646.76,31.05.2019,Электроснабжение,858.27,"1051,73098",470.3027718550107,-1.1368492324697812
2990015,29701000,40010430,Калужская область,1,108386.89,231561.97,,Электроснабжение,332.1,"55,37000",697.2657934357121,-1.136438918027817
3044489,29638000,40200143,Калужская область,1,84233.53,169930.54,28.06.2019,Электроснабжение,720.5,"237,42993",235.85085357390702,-1.0173740789445724
2984799,29614000,40250245,Калужская область,1,1250086.0,2393709.68,30.04.2019,Электроснабжение,3868.8,"5934,35102",618.7214846980976,-0.9148360032829743
2995813,29701000,40010916,Калужская область,1,418082.37,728065.25,,Электроснабжение,1283.8,"97,18834",567.1173469387755,-0.7414397311228407
3026786,29613000,40090034,Калужская область,1,175224.0,273343.61,29.07.2019,Электроснабжение,429.5,"5982,33029",636.4228405122235,-0.559966728302059
3019854,29715000,40020504,Калужская область,1,646880.0,932528.71,,Электроснабжение,934.71,"238,90609",997.666345711504,-0.4415791336878555
2989356,29701000,40010305,Калужская область,1,581658.16,815113.2,,Электроснабжение,2700.5,"85,14184",301.83788187372704,-0.40136123939187907
3036091,29623000,40130348,Калужская область,1,163944.0,188662.56,21.08.2019,Электроснабжение,712.7,"4679,71098",264.71525185912725,-0.15077441077441076
3006849,29701000,40012028,Калужская область,1,1150393.75,1255905.86,29.11.2017,Электроснабжение,4059.6,"6219,15986",309.3668982165731,-0.09171825733580359
2989788,29701000,40010343,Калужская область,1,5816283.72,6299575.14,30.11.2018,Электроснабжение,12863.0,"36986,88491",489.74384980175694,-0.08309282065077801
3025346,29610000,40070022,Калужская область,1,271060.16,271060.16,28.07.2017,Электроснабжение,1216.3,"305,16016",222.85633478582585,0.0
3025367,29610000,40070024,Калужская область,1,174765.08,174765.08,28.07.2017,Электроснабжение,395.3,"1759,27750",442.10746268656715,0.0
3026791,29613000,40090035,Калужская область,1,248918.64,248918.64,15.12.2015,Электроснабжение,791.9,"2455,93305",314.33090036620786,0.0
3025336,29610000,40070027,Калужская область,1,204429.1,204429.1,28.07.2017,Электроснабжение,400.5,"1526,27784",510.4347066167291,0.0
3025350,29610000,40070026,Калужская область,1,204302.84,204302.84,28.07.2017,Электроснабжение,419.0,"1788,27246",487.596276849642,0.0
3025358,29610000,40070025,Калужская область,1,142227.76,142227.76,28.07.2017,Электроснабжение,427.8,"1809,43792",332.46320710612434,0.0
3025313,29610000,40070023,Калужская область,1,175631.2,175631.2,28.07.2017,Электроснабжение,398.6,"1773,26954",440.62017059708984,0.0
