,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1466336,38701000,4612002063,Курская область,1,275528.0,1017.14,07.10.2016,Электроснабжение,444.4,"0,00000",2.288793879387939,0.9963083969687291
1478591,38626000,4620004222,Курская область,1,130138.0,1189.13,18.11.2016,Электроснабжение,209.9,"0,00000",5.66522153406384,0.9908625459128002
1461403,38701000,4612001647,Курская область,1,517700.0,9688.58,17.04.2017,Электроснабжение,835.0,"0,00000",11.603089820359282,0.9812853389994205
1479168,38626000,4620004097,Курская область,1,417175.0,8131.38,07.10.2015,Электроснабжение,758.5,"0,00000",10.720342781806197,0.9805084676694432
1469394,38701000,4612002331,Курская область,1,158782.0,3893.24,14.06.2016,Электроснабжение,256.1,"0,00000",15.202030456852789,0.9754805960373343
1467833,38701000,4612002198,Курская область,1,1719198.0,45252.69,20.12.2017,Электроснабжение,2772.9,"0,00000",16.319625662663636,0.9736780231247361
1463148,38701000,4612001795,Курская область,1,669662.0,20000.0,28.06.2016,Электроснабжение,1080.1,"0,00000",18.516803999629666,0.9701341870973715
1445407,38614000,4609003707,Курская область,1,224180.0,7938.12,02.11.2015,Электроснабжение,407.6,"0,00000",19.475269872423944,0.9645904184137747
1459720,38701000,4612001431,Курская область,1,133238.0,5291.63,20.07.2016,Электроснабжение,214.9,"0,00000",24.623685435086088,0.9602843783305063
1460678,38701000,4612001576,Курская область,1,331935.6,18680.0,20.09.2018,Электроснабжение,535.38,"0,00000",34.89110538309238,0.9437240235756574
1445387,38614000,4609003706,Курская область,1,180345.0,10801.37,02.11.2015,Электроснабжение,327.9,"0,00000",32.941049100335476,0.9401071834539355
1481053,38634000,4624004483,Курская область,1,328972.0,20488.58,29.08.2016,Электроснабжение,530.6,"0,00000",38.613984168865436,0.9377193803727977
1469925,38701000,4612002377,Курская область,1,2129886.0,149091.75,05.08.2016,Электроснабжение,3435.3,"0,00000",43.39992140424417,0.9300001267673481
1469923,38701000,4612002376,Курская область,1,2121888.0,162881.25,05.08.2016,Электроснабжение,3422.4,"0,00000",47.59269810659186,0.9232375836990454
1466422,38701000,4612002070,Курская область,1,271126.0,21246.1,05.09.2016,Электроснабжение,437.3,"0,00000",48.58472444546078,0.9216375412169987
1455131,38701000,4612001067,Курская область,1,936572.0,75484.95,16.10.2017,Электроснабжение,1510.6,"0,00000",49.9701774129485,0.9194029396565347
1457247,38701000,4612001199,Курская область,1,151218.0,12300.0,28.06.2016,Электроснабжение,243.9,"0,00000",50.43050430504305,0.9186604769273499
1487657,38715000,4633003152,Курская область,1,416516.0,36454.79,03.10.2016,Электроснабжение,671.8,"0,00000",54.26434950878238,0.9124768556309962
1487735,38715000,4633003181,Курская область,1,398784.0,36586.15,28.08.2017,Электроснабжение,643.2,"0,00000",56.88145211442786,0.908255722396084
1474435,38621000,4615003991,Курская область,1,255669.4,23614.03,25.08.2016,Электроснабжение,412.37,"0,00000",57.26418022649562,0.9076384189895232
1469415,38701000,4612002333,Курская область,1,581126.0,53936.05,14.11.2016,Электроснабжение,937.3,"0,00000",57.54406273338313,0.9071869955913174
1476007,38710000,4616003095,Курская область,1,217000.0,20933.34,03.10.2017,Электроснабжение,350.0,"0,00000",59.80954285714286,0.9035329953917051
1480413,38634000,4624000371,Курская область,1,181555.0,19837.92,08.10.2015,Электроснабжение,330.1,"0,00000",60.096697970312015,0.8907332764176146
1480765,38634000,4624004461,Курская область,1,292875.0,32404.57,01.10.2015,Электроснабжение,532.5,"0,00000",60.853652582159626,0.8893569953051643
1452807,38701000,4612000895,Курская область,1,693284.0,80000.0,09.07.2016,Электроснабжение,1118.2,"0,00000",71.54355213736362,0.8846071739719942
1453595,38701000,4612001410,Курская область,1,171219.2,19878.5,21.06.2016,Электроснабжение,276.16,"0,00000",71.98182213209734,0.883900286883714
1466383,38701000,4612002067,Курская область,1,480958.8,62184.83,29.04.2016,Электроснабжение,775.74,"0,00000",80.16194859102276,0.8707065345306084
1452102,38701000,4612000822,Курская область,1,579638.0,77144.69,10.06.2016,Электроснабжение,934.9,"0,00000",82.5165151353086,0.8669088465559539
1463107,38701000,4612001792,Курская область,1,158100.0,21098.37,19.08.2016,Электроснабжение,255.0,"0,00000",82.73870588235293,0.8665504743833017
1483717,38640000,4627004737,Курская область,1,75405.0,10395.92,,Электроснабжение,137.1,"0,00000",75.82727935813276,0.8621322193488495
1476626,38710000,4616002970,Курская область,1,213590.0,29759.58,01.02.2016,Электроснабжение,344.5,"0,00000",86.38484760522496,0.8606696006367338
1453342,38701000,4612000937,Курская область,1,347448.0,50370.68,01.08.2016,Электроснабжение,560.37,"0,00000",89.8882524046612,0.8550267090327186
1462832,38701000,4612001767,Курская область,1,752122.0,110305.35,14.03.2016,Электроснабжение,1213.1,"0,00000",90.92848899513643,0.8533411467820381
1458911,38701000,4612001349,Курская область,1,434868.0,64564.05,30.06.2016,Электроснабжение,701.4,"0,00000",92.05025662959795,0.8515318441458097
1453535,38701000,4612001405,Курская область,1,1047614.0,162040.91,03.04.2017,Электроснабжение,1689.7,"0,00000",95.89921879623601,0.8453238406512322
1469498,38701000,4612002344,Курская область,1,2693087.8,422257.42,15.01.2016,Электроснабжение,4343.69,"0,00000",97.21168407506062,0.8432069611692571
1454406,38701000,4612001011,Курская область,1,259532.0,40885.34,30.06.2016,Электроснабжение,418.6,"0,00000",97.67161968466316,0.8424651295408658
1467474,38701000,4612002164,Курская область,1,184406.6,29723.41,16.09.2016,Электроснабжение,297.43,"0,00000",99.93413576303668,0.8388159100596182
1463501,38701000,4612001826,Курская область,1,436914.0,71286.61,24.05.2016,Электроснабжение,704.7,"0,00000",101.15880516531857,0.8368406368301313
1467423,38701000,4612002160,Курская область,1,266600.0,43901.96,25.07.2016,Электроснабжение,430.0,"0,00000",102.09758139534884,0.8353264816204051
1468663,38701000,4612002268,Курская область,1,473804.0,78641.35,26.01.2017,Электроснабжение,764.2,"0,00000",102.90676524470034,0.8340213463795156
1450640,38701000,4612006112,Курская область,1,234112.0,38985.29,24.03.2017,Электроснабжение,377.6,"0,00000",103.24494173728813,0.8334759004237288
