,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
335530,11851000,1202800,Ненецкий автономный округ,1,305238.85,299982.29,02.11.2016,Электроснабжение,485.2,"6541,53607",618.2652308326464,0.01722113682449006
335931,11851000,900400,Ненецкий автономный округ,1,140650.38,140650.38,30.10.2018,Электроснабжение,591.0,"4177,87207",237.98710659898478,0.0
336050,11851000,1000200,Ненецкий автономный округ,1,83312.71,83312.71,10.12.2018,Электроснабжение,552.1,"4112,09563",150.9014852381815,0.0
337072,11811000,23000002300,Ненецкий автономный округ,1,222627.72,222627.72,29.09.2017,Электроснабжение,366.1,"222,62772",608.106309751434,0.0
336774,11851000,4500100,Ненецкий автономный округ,1,168771.87,168771.87,20.12.2018,Электроснабжение,800.2,"1088,71964",210.9121094726318,0.0
336343,11851000,2301711,Ненецкий автономный округ,1,175234.4,175234.4,19.12.2018,Электроснабжение,822.0,"2866,90496",213.18053527980535,0.0
335741,11851000,1205400,Ненецкий автономный округ,1,297377.79,303571.64,25.12.2015,Электроснабжение,778.9,"8959,45937",389.74404930029533,-0.02082821988824396
334849,11851000,200100,Ненецкий автономный округ,1,422809.76,432082.73,19.12.2016,Электроснабжение,837.4,"16164,46674",515.9812873178887,-0.02193177849063837
335737,11851000,1205212,Ненецкий автономный округ,1,374547.86,382995.78,20.12.2016,Электроснабжение,637.0,"22025,82218",601.2492621664051,-0.022554981358056732
336387,11851000,2300300,Ненецкий автономный округ,1,353090.65,365666.23,15.12.2015,Электроснабжение,559.8,"8643,88836",653.2086995355485,-0.035615726443053525
337487,11811000,51000702211,Ненецкий автономный округ,1,359219.36,381993.87,12.12.2016,Электроснабжение,832.7,"10204,27694",458.74128737840755,-0.06340000717110574
336237,11851000,2101500,Ненецкий автономный округ,1,247643.98,266999.21,28.11.2016,Электроснабжение,446.0,"5475,93232",598.652937219731,-0.07815748236641977
336216,11851000,2101111,Ненецкий автономный округ,1,238463.4,262103.79,10.10.2017,Электроснабжение,792.2,"14459,33839",330.8555793991416,-0.09913634545175493
335758,11851000,1205411,Ненецкий автономный округ,1,210607.04,248246.36,08.12.2017,Электроснабжение,603.2,"12223,11951",411.5490053050397,-0.17871824227718114
335156,11851000,602400,Ненецкий автономный округ,1,204932.14,254803.47,24.11.2017,Электроснабжение,528.5,"9941,94784",482.1257710501419,-0.243355337039861
334825,11851000,5700300,Ненецкий автономный округ,1,196789.93,253929.08,24.11.2017,Электроснабжение,523.7,"8563,22417",484.875081153332,-0.2903560664918169
334817,11851000,5700200,Ненецкий автономный округ,1,192877.25,254902.54,15.09.2017,Электроснабжение,540.1,"9887,94010",471.95434178855766,-0.3215790872173883
335143,11851000,602100,Ненецкий автономный округ,1,192182.37,294111.37,24.11.2017,Электроснабжение,525.7,"9918,40416",559.4661784287616,-0.530376433592738
334806,11851000,5700100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,520.4,"0,00000",,
334812,11851000,5700200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,540.1,"9887,94010",,
334819,11851000,5700300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,523.7,"8563,22417",,
334833,11851000,5700500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,586.5,"0,00000",,
334838,11851000,5700500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,586.5,"0,00000",,
334844,11851000,200100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,837.4,"16164,46674",,
334856,11851000,201000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,583.6,"0,00000",,
334861,11851000,201000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,583.6,"0,00000",,
334870,11851000,201200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,852.7,"0,00000",,
334873,11851000,201300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,2596.2,"0,00000",,
334880,11851000,200200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,803.0,"0,00000",,
334885,11851000,200200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,803.0,"0,00000",,
334895,11851000,200400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,825.3,"0,00000",,
334900,11851000,200400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,825.3,"0,00000",,
334906,11851000,200600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,574.7,"0,00000",,
334913,11851000,200600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,574.7,"0,00000",,
334918,11851000,200800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,581.5,"0,00000",,
334925,11851000,200800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,581.5,"0,00000",,
334932,11851000,200900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,580.0,"0,00000",,
334934,11851000,200900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,580.0,"0,00000",,
334944,11851000,8600200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1846.6,"0,00000",,
334949,11851000,4201000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,581.4,"0,00000",,
334954,11851000,4201000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,581.4,"0,00000",,
334958,11851000,4200200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,994.5,"0,00000",,
334966,11851000,4200200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,994.5,"0,00000",,
334972,11851000,4200400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,535.8,"1381,02338",,
334980,11851000,4200500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,555.7,"0,00000",,
334985,11851000,4200500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,555.7,"0,00000",,
334989,11851000,4200700,Ненецкий автономный округ,1,0.0,,,Электроснабжение,554.7,"0,00000",,
334995,11851000,4200700,Ненецкий автономный округ,1,0.0,,,Электроснабжение,554.7,"0,00000",,
335001,11851000,4200800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,576.4,"0,00000",,
335005,11851000,4200800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,576.4,"0,00000",,
335017,11851000,4200900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,581.9,"0,00000",,
335021,11851000,4200900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,581.9,"0,00000",,
335027,11851000,6400200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,10874.9,"0,00000",,
335033,11851000,6400300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3117.4,"0,00000",,
335038,11851000,6400600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,8251.2,"0,00000",,
335040,11851000,6400800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,6611.4,"0,00000",,
335045,11851000,9402121,Ненецкий автономный округ,1,0.0,,,Электроснабжение,2133.3,"0,00000",,
335052,11851000,9402122,Ненецкий автономный округ,1,0.0,,,Электроснабжение,2153.7,"0,00000",,
335053,11851000,9402123,Ненецкий автономный округ,1,0.0,,,Электроснабжение,2147.4,"0,00000",,
335059,11851000,102200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,6141.8,"0,00000",,
335067,11851000,102421,Ненецкий автономный округ,1,0.0,,,Электроснабжение,2264.2,"0,00000",,
335071,11851000,102422,Ненецкий автономный округ,1,0.0,,,Электроснабжение,2277.7,"0,00000",,
335074,11851000,102600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3881.2,"0,00000",,
335085,11851000,100300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,413.7,"0,00000",,
335093,11851000,100500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,433.0,"0,00000",,
335107,11851000,100800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,589.1,"0,00000",,
335115,11851000,100800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,589.1,"0,00000",,
335123,11851000,601100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1040.5,"0,00000",,
335129,11851000,601300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,560.3,"0,00000",,
335131,11851000,601300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,560.3,"0,00000",,
335137,11851000,601600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1040.5,"0,00000",,
335147,11851000,602100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,525.7,"9918,40416",,
335151,11851000,602400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,528.5,"9941,94784",,
335168,11851000,600400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,630.9,"0,00000",,
335181,11851000,702100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,635.4,"0,00000",,
335185,11851000,702300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,920.0,"0,00000",,
335193,11851000,4900100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,830.0,"0,00000",,
335204,11851000,4901000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,573.0,"0,00000",,
335212,11851000,4901200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,848.8,"0,00000",,
335215,11851000,4901211,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1026.1,"0,00000",,
335221,11851000,4901400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1305.1,"0,00000",,
335223,11851000,4901600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,828.4,"0,00000",,
335228,11851000,4900200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,796.2,"0,00000",,
335234,11851000,4900400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,843.2,"0,00000",,
335243,11851000,4904311,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1068.6,"0,00000",,
335252,11851000,4904600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,586.3,"0,00000",,
335255,11851000,4904600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,586.3,"0,00000",,
335261,11851000,4904800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,882.0,"0,00000",,
335267,11851000,4904800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,882.0,"0,00000",,
335271,11851000,4904811,Ненецкий автономный округ,1,0.0,,,Электроснабжение,815.0,"0,00000",,
335284,11851000,4904812,Ненецкий автономный округ,1,0.0,,,Электроснабжение,823.0,"0,00000",,
335288,11851000,4904813,Ненецкий автономный округ,1,0.0,,,Электроснабжение,845.3,"0,00000",,
335302,11851000,4904814,Ненецкий автономный округ,1,0.0,,,Электроснабжение,824.5,"0,00000",,
335307,11851000,4904815,Ненецкий автономный округ,1,0.0,,,Электроснабжение,836.6,"0,00000",,
335315,11851000,4900800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,578.1,"0,00000",,
335320,11851000,5000100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1245.0,"0,00000",,
335329,11851000,5000200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,865.4,"0,00000",,
335343,11851000,5000300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1234.2,"0,00000",,
335347,11851000,5000311,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1259.2,"0,00000",,
335357,11851000,5000400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,842.9,"0,00000",,
335364,11851000,5000500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,751.8,"0,00000",,
335371,11851000,5000511,Ненецкий автономный округ,1,0.0,,,Электроснабжение,595.4,"0,00000",,
335377,11851000,5000800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,800.6,"0,00000",,
335388,11851000,5000900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,4070.9,"0,00000",,
335395,11851000,3300700,Ненецкий автономный округ,1,0.0,,,Электроснабжение,11959.1,"0,00000",,
335398,11851000,5500300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1012.5,"0,00000",,
335406,11851000,5500400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1883.6,"0,00000",,
335415,11851000,5500500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,833.0,"0,00000",,
335416,11851000,5500500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,833.0,"0,00000",,
335424,11851000,5500600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,806.1,"0,00000",,
335441,11851000,5500800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,795.5,"0,00000",,
335447,11851000,7200400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,11897.5,"0,00000",,
335452,11851000,1201600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,861.5,"0,00000",,
335463,11851000,1201800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,655.2,"0,00000",,
335472,11851000,1201900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,6752.6,"0,00000",,
335478,11851000,1202000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1204.3,"0,00000",,
335482,11851000,1202111,Ненецкий автономный округ,1,0.0,,,Электроснабжение,9632.7,"0,00000",,
335492,11851000,1202311,Ненецкий автономный округ,1,0.0,,,Электроснабжение,10073.3,"0,00000",,
335507,11851000,1202700,Ненецкий автономный округ,1,0.0,,,Электроснабжение,4777.8,"0,00000",,
335509,11851000,1202711,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3753.5,"0,00000",,
335517,11851000,1202712,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3550.5,"0,00000",,
335533,11851000,1202800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,485.2,"6541,53607",,
335542,11851000,1202900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,8313.0,"0,00000",,
335546,11851000,1202912,Ненецкий автономный округ,1,0.0,,,Электроснабжение,11157.5,"0,00000",,
335553,11851000,1203111,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3396.3,"0,00000",,
335570,11851000,1203300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3640.9,"0,00000",,
335577,11851000,1203312,Ненецкий автономный округ,1,0.0,,,Электроснабжение,10952.4,"0,00000",,
335587,11851000,1203500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3576.9,"0,00000",,
335594,11851000,1203512,Ненецкий автономный округ,1,0.0,,,Электроснабжение,8603.4,"0,00000",,
335599,11851000,1203700,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3630.5,"0,00000",,
335608,11851000,1203800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,9417.7,"0,00000",,
335622,11851000,1203900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,5505.5,"0,00000",,
335624,11851000,1204100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3146.4,"0,00000",,
335636,11851000,1204111,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3145.3,"0,00000",,
335645,11851000,1204112,Ненецкий автономный округ,1,0.0,,,Электроснабжение,4417.8,"0,00000",,
335653,11851000,1204600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,2117.3,"0,00000",,
335664,11851000,1204800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,613.0,"0,00000",,
335668,11851000,1204911,Ненецкий автономный округ,1,0.0,,,Электроснабжение,598.7,"0,00000",,
335675,11851000,1204911,Ненецкий автономный округ,1,0.0,,,Электроснабжение,598.7,"0,00000",,
335683,11851000,1200500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3420.8,"0,00000",,
335689,11851000,1205000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,795.5,"0,00000",,
335694,11851000,1205000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,795.5,"0,00000",,
335701,11851000,1205200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,797.8,"0,00000",,
335710,11851000,1205200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,797.8,"0,00000",,
335713,11851000,1205211,Ненецкий автономный округ,1,0.0,,,Электроснабжение,628.2,"0,00000",,
335719,11851000,1205211,Ненецкий автономный округ,1,0.0,,,Электроснабжение,628.2,"0,00000",,
335730,11851000,1205212,Ненецкий автономный округ,1,0.0,,,Электроснабжение,637.0,"22025,82218",,
335746,11851000,1205400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,778.9,"8959,45937",,
335752,11851000,1205411,Ненецкий автономный округ,1,0.0,,,Электроснабжение,603.2,"12223,11951",,
335766,11851000,1205500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,612.0,"0,00000",,
335769,11851000,1205500,Ненецкий автономный округ,1,0.0,,,Электроснабжение,612.0,"0,00000",,
335779,11851000,1205611,Ненецкий автономный округ,1,0.0,,,Электроснабжение,638.1,"0,00000",,
335786,11851000,1205611,Ненецкий автономный округ,1,0.0,,,Электроснабжение,638.1,"0,00000",,
335795,11851000,1205612,Ненецкий автономный округ,1,0.0,,,Электроснабжение,562.9,"0,00000",,
335799,11851000,1205612,Ненецкий автономный округ,1,0.0,,,Электроснабжение,562.9,"0,00000",,
335800,11851000,7300100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,8616.04,"0,00000",,
335811,11851000,7300300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,19318.72,"0,00000",,
335818,11851000,501000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,4727.8,"0,00000",,
335820,11851000,501200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,6396.0,"0,00000",,
335831,11851000,501400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,6781.6,"0,00000",,
335838,11851000,502200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3582.0,"0,00000",,
335847,11851000,503300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,3403.5,"0,00000",,
335855,11851000,503600,Ненецкий автономный округ,1,0.0,,,Электроснабжение,4446.1,"0,00000",,
335863,11851000,900100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,576.1,"0,00000",,
335866,11851000,900100,Ненецкий автономный округ,1,0.0,,,Электроснабжение,576.1,"0,00000",,
335878,11851000,901000,Ненецкий автономный округ,1,0.0,,,Электроснабжение,841.8,"0,00000",,
335880,11851000,901200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,828.6,"0,00000",,
335893,11851000,901211,Ненецкий автономный округ,1,0.0,,,Электроснабжение,844.8,"0,00000",,
335905,11851000,901300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,841.4,"0,00000",,
335913,11851000,901300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,841.4,"0,00000",,
335915,11851000,900200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,578.2,"0,00000",,
335920,11851000,900200,Ненецкий автономный округ,1,0.0,,,Электроснабжение,578.2,"0,00000",,
335927,11851000,900300,Ненецкий автономный округ,1,0.0,,,Электроснабжение,563.2,"0,00000",,
335935,11851000,900400,Ненецкий автономный округ,1,0.0,,,Электроснабжение,591.0,"4177,87207",,
335940,11851000,900700,Ненецкий автономный округ,1,0.0,,,Электроснабжение,1046.7,"0,00000",,
335945,11851000,900800,Ненецкий автономный округ,1,0.0,,,Электроснабжение,828.2,"0,00000",,
335954,11851000,900811,Ненецкий автономный округ,1,0.0,,,Электроснабжение,833.5,"0,00000",,
335969,11851000,900900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,586.4,"0,00000",,
335973,11851000,900900,Ненецкий автономный округ,1,0.0,,,Электроснабжение,586.4,"0,00000",,
