,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1690400,49701000,4808,Новгородская область,1,947067.0,229689.0,15.08.2018,Электроснабжение,3132.5,"0,00000",73.32450119712689,0.7574733360997691
1684313,49701000,4157,Новгородская область,1,1808510.48,640426.0,16.11.2017,Электроснабжение,4805.5,"640,42600",133.26937883674955,0.6458820631219123
1708986,49639000,3507,Новгородская область,1,1483015.0,599634.0,27.04.2018,Электроснабжение,3676.5,"0,00000",163.09914320685434,0.595665586659609
1693183,49701000,5206,Новгородская область,1,217996.29,120934.0,30.09.2016,Электроснабжение,272.8,"0,00000",443.30645161290323,0.44524743976147485
1691281,49701000,4933,Новгородская область,1,115827.14,71374.0,02.09.2016,Электроснабжение,200.8,"158,02000",355.4482071713147,0.3837886353750943
1685730,49701000,4300,Новгородская область,1,729844.07,449863.0,16.07.2019,Электроснабжение,2791.6,"449,86300",161.1488035535177,0.3836176541106924
1693682,49701000,5262,Новгородская область,1,102119.08,63438.0,29.07.2016,Электроснабжение,233.7,"327,30000",271.45057766367137,0.378784062684466
1693359,49701000,5231,Новгородская область,1,1449868.0,950000.0,27.12.2018,Электроснабжение,5074.3,"0,00000",187.21794139093078,0.34476793749499957
1693188,49701000,5207,Новгородская область,1,115827.14,88189.0,03.10.2016,Электроснабжение,271.4,"212,29000",324.9410464259396,0.23861540568125916
1690786,49701000,4872,Новгородская область,1,182433.52,141958.11,02.09.2017,Электроснабжение,510.6,"144,01357",278.0221504112808,0.22186388773291227
1691618,49701000,5011,Новгородская область,1,288647.52,224607.06,01.12.2017,Электроснабжение,2478.0,"237,40000",90.64046004842615,0.22186388436664906
1694699,49701000,5401,Новгородская область,1,474997.87,369613.0,15.09.2017,Электроснабжение,1368.8,"0,00000",270.0270309760374,0.22186387909486835
1691718,49701000,5029,Новгородская область,1,407080.93,316764.38,29.09.2017,Электроснабжение,1026.8,"269,99391",308.496669263732,0.22186386869068023
1690804,49701000,4876,Новгородская область,1,219654.2,170920.87,31.08.2017,Электроснабжение,518.3,"172,98000",329.77208180590395,0.2218638660221385
1690016,49701000,4755,Новгородская область,1,142394.4,110802.23,23.08.2017,Электроснабжение,573.2,"112,86000",193.30465806001394,0.2218638513874141
1686447,49701000,4356,Новгородская область,1,505077.27,405200.43,03.10.2016,Электроснабжение,1135.5,"466,12000",356.8475825627477,0.19774566374764802
1684394,49701000,4168,Новгородская область,1,108514.71,90846.14,03.07.2017,Электроснабжение,264.4,"107,97214",343.59357034795767,0.16282188838729797
1690715,49701000,4855,Новгородская область,1,232560.26,196188.0,29.07.2016,Электроснабжение,676.1,"388,53000",290.1760094660553,0.15639929195125601
1690707,49701000,4853,Новгородская область,1,107678.68,91121.44,12.08.2016,Электроснабжение,236.0,"242,44000",386.1077966101695,0.15376525789506326
1688979,49701000,4668,Новгородская область,1,3460198.8,2979688.95,27.07.2017,Электроснабжение,15317.2,"16110,75000",194.53222194656988,0.13886770031825907
1690753,49701000,4862,Новгородская область,1,132617.0,114827.91,03.07.2017,Электроснабжение,511.6,"262,17000",224.44861219702892,0.13413883589585043
1688791,49701000,4642,Новгородская область,1,132617.0,114827.92,03.07.2017,Электроснабжение,393.2,"131,95392",292.03438453713125,0.1341387604907365
1693190,49701000,5208,Новгородская область,1,132953.14,115162.37,03.07.2017,Электроснабжение,262.9,"191,11000",438.04629136553825,0.13381233418029853
1684397,49701000,4169,Новгородская область,1,133157.12,115365.33,03.07.2017,Электроснабжение,334.2,"132,49133",345.19847396768404,0.1336150105980063
1690750,49701000,4861,Новгородская область,1,197096.27,171408.0,29.07.2016,Электроснабжение,508.9,"189,39000",336.82059343682454,0.13033361818567135
1694858,49701000,5420,Новгородская область,1,601987.64,525943.68,19.07.2016,Электроснабжение,11483.6,"0,00000",45.79954718032673,0.12632146400879588
1692179,49701000,5074,Новгородская область,1,677937.88,596585.32,,Электроснабжение,3598.1,"0,00000",165.80565298351908,0.12000002124088427
1690763,49701000,4867,Новгородская область,1,241511.69,213888.0,29.07.2016,Электроснабжение,875.7,"231,87000",244.24803014731071,0.11437827295233619
