,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2420480,63602000,6360200016198236,Саратовская область,1,,,,Электроснабжение,851.1,"0,00000",,
2420492,63602000,6360200016198237,Саратовская область,1,,,,Электроснабжение,849.3,"0,00000",,
2420505,63602000,6360200016198444,Саратовская область,1,,,,Электроснабжение,1215.0,"0,00000",,
2420506,63602000,6360200016198445,Саратовская область,1,,,,Электроснабжение,1741.81,"0,00000",,
2420526,63602000,6360200016198446,Саратовская область,1,,,,Электроснабжение,1809.7,"0,00000",,
2420534,63602000,6360200016198449,Саратовская область,1,,,,Электроснабжение,681.3,"0,00000",,
2420545,63602000,6360200016198450,Саратовская область,1,,,,Электроснабжение,702.0,"0,00000",,
2420558,63602000,6360200016198451,Саратовская область,1,,,,Электроснабжение,921.4,"0,00000",,
2420569,63602000,6360200016198453,Саратовская область,1,,,,Электроснабжение,1092.0,"0,00000",,
2420584,63602000,6360200016198456,Саратовская область,1,,,,Электроснабжение,1684.9,"0,00000",,
2420596,63602000,6360200018610615,Саратовская область,1,,,,Электроснабжение,3579.74,"0,00000",,
2420601,63602000,6360200016198458,Саратовская область,1,,,,Электроснабжение,1274.35,"0,00000",,
2420617,63602000,6360200016198459,Саратовская область,1,,,,Электроснабжение,1727.0,"0,00000",,
2420629,63602000,6360200016198460,Саратовская область,1,,,,Электроснабжение,1295.2,"0,00000",,
2420643,63602000,6360200016198461,Саратовская область,1,,,,Электроснабжение,1142.13,"0,00000",,
2420650,63602000,6360200016198464,Саратовская область,1,,,,Электроснабжение,1311.41,"0,00000",,
2420665,63602000,6360200016198465,Саратовская область,1,,,,Электроснабжение,1795.03,"0,00000",,
2420668,63602000,6360200014192988,Саратовская область,1,,,,Электроснабжение,2079.6,"0,00000",,
2420681,63602000,6360200010440978,Саратовская область,1,,,,Электроснабжение,5558.7,"0,00000",,
2420700,63602000,6360200010440979,Саратовская область,1,,,,Электроснабжение,5306.7,"0,00000",,
2420713,63602000,6360200010440986,Саратовская область,1,,,,Электроснабжение,2101.4,"0,00000",,
2420723,63602000,6360200010440990,Саратовская область,1,,,,Электроснабжение,9084.8,"0,00000",,
2420731,63602000,6360200018610616,Саратовская область,1,,,,Электроснабжение,3012.6,"0,00000",,
2420746,63602000,6360200010440992,Саратовская область,1,,,,Электроснабжение,1863.2,"0,00000",,
2420751,63602000,6360200010440993,Саратовская область,1,,,,Электроснабжение,5597.0,"0,00000",,
2420769,63602000,6360200010440995,Саратовская область,1,,,,Электроснабжение,1637.6,"0,00000",,
2420783,63602000,636020004141775,Саратовская область,1,,,,Электроснабжение,8521.8,"0,00000",,
2420796,63602000,6360200014192653,Саратовская область,1,,,,Электроснабжение,455.9,"0,00000",,
2420798,63602000,6360200014192654,Саратовская область,1,,,,Электроснабжение,639.4,"0,00000",,
2420816,63602000,636020004141760,Саратовская область,1,,,,Электроснабжение,1603.8,"0,00000",,
2420823,63602000,636020004141762,Саратовская область,1,,,,Электроснабжение,1297.6,"0,00000",,
2420835,63602000,636020004141766,Саратовская область,1,,,,Электроснабжение,1643.2,"0,00000",,
2420850,63602000,636020004141770,Саратовская область,1,,,,Электроснабжение,1028.6,"0,00000",,
2420863,63603000,6360300017867350,Саратовская область,1,,,,Электроснабжение,455.5,"0,00000",,
2420874,63603000,6360300018610858,Саратовская область,1,,,,Электроснабжение,832.4,"0,00000",,
2420879,63603000,6360300017867377,Саратовская область,1,,,,Электроснабжение,651.7,"0,00000",,
2420888,63603000,6360300017867405,Саратовская область,1,,,,Электроснабжение,443.9,"0,00000",,
2420897,63603000,6360300017867407,Саратовская область,1,,,,Электроснабжение,150.5,"0,00000",,
2420904,63603000,6360300018610859,Саратовская область,1,,,,Электроснабжение,681.0,"0,00000",,
2420916,63603000,6360300013864379,Саратовская область,1,,,,Электроснабжение,275.9,"0,00000",,
2420920,63603000,6360300013864403,Саратовская область,1,,,,Электроснабжение,539.6,"0,00000",,
2420930,63603000,6360300018610860,Саратовская область,1,,,,Электроснабжение,1475.7,"0,00000",,
2420950,63603000,6360300018610861,Саратовская область,1,,,,Электроснабжение,835.2,"0,00000",,
2420951,63603000,6360300013864414,Саратовская область,1,,,,Электроснабжение,2033.5,"0,00000",,
2420964,63603000,6360300015876539,Саратовская область,1,,,,Электроснабжение,411.18,"0,00000",,
