,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3584338,7641000,4609,Ставропольский край,1,94080.0,6353383.25,,Электроснабжение,2505.2,"4145,69500",2536.0782572249723,-66.53170971513606
3505433,7710000,3217,Ставропольский край,1,37791.88,2082884.52,17.11.2016,Электроснабжение,441.8,"2652,49143",4714.541693073789,-54.11460451292712
3578086,7639000,3535,Ставропольский край,1,25088.0,1150934.4,10.07.2019,Электроснабжение,1532.1,"5897,12366",751.2136283532407,-44.87589285714285
3581257,7639000,9654,Ставропольский край,1,15680.0,503217.15,,Электроснабжение,339.4,"821,30102",1482.6669121979967,-31.09293048469388
3500504,7707000,4981,Ставропольский край,1,235200.0,7012128.12,,Электроснабжение,1879.6,"0,00000",3730.649138114493,-28.813469897959184
3505030,7710000,2587,Ставропольский край,1,7733.2,225199.03,29.12.2018,Электроснабжение,391.9,"852,36462",574.6339117121715,-28.12106631148813
3503439,7710000,1487,Ставропольский край,1,81971.92,2285737.98,29.12.2018,Электроснабжение,1047.4,"2133,59043",2182.297097574947,-26.884402122092542
3504994,7710000,3121,Ставропольский край,1,18816.0,488686.7,,Электроснабжение,560.7,"795,79074",871.565364722668,-24.971869685374152
3512025,7715000,10708,Ставропольский край,1,59436.9,1539663.13,28.11.2016,Электроснабжение,129.0,"1160,93818",11935.373100775192,-24.904162733924547
3515775,7715000,3363,Ставропольский край,1,10826.48,224192.07,30.10.2018,Электроснабжение,442.4,"875,96944",506.7632685352622,-19.707752658297064
3538788,7724000,12326,Ставропольский край,1,270662.0,5328178.66,30.10.2018,Электроснабжение,3951.5,"6574,06554",1348.393941541187,-18.685728547043915
3519737,7715000,3446,Ставропольский край,1,11599.8,226945.48,29.12.2018,Электроснабжение,460.7,"3139,66684",492.6101150423269,-18.56460283797997
3520558,7727000,9474,Ставропольский край,1,11640.0,222235.88,,Электроснабжение,476.4,"0,00000",466.49009235936194,-18.092429553264605
3577931,7639000,9444,Ставропольский край,1,15680.0,282608.11,13.08.2019,Электроснабжение,252.7,"2076,36840",1118.3542144835774,-17.023476403061224
3505011,7710000,2612,Ставропольский край,1,18816.0,280338.09,31.07.2019,Электроснабжение,615.4,"958,51566",455.5380077998051,-13.898920599489797
3578708,7639000,9671,Ставропольский край,1,15680.0,231426.69,,Электроснабжение,121.4,"231,10309",1906.315403624382,-13.759355229591836
