,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
423628,68608000,1363,Тамбовская область,1,172969.0,172969.0,25.12.2014,Электроснабжение,9458.9,"8726,46500",18.286375794225545,0.0
450888,68701000,3865,Тамбовская область,1,706215.0,706215.0,25.12.2016,Электроснабжение,3041.1,"6204,44200",232.2235375357601,0.0
450902,68701000,4218,Тамбовская область,1,680915.92,680915.92,,Электроснабжение,3783.89,"680,91592",179.9512987956838,0.0
452731,68701000,4416,Тамбовская область,1,423877.0,423877.0,25.12.2014,Электроснабжение,1823.0,"4278,61900",232.51618211738892,0.0
455159,68701000,2693,Тамбовская область,1,25238.0,25238.0,25.12.2014,Электроснабжение,1375.1,"7958,37900",18.35357428550651,0.0
455169,68701000,2693,Тамбовская область,1,233374.0,233374.0,25.12.2015,Электроснабжение,1375.1,"7958,37900",169.71420260344703,0.0
457384,68701000,2297,Тамбовская область,1,943271.0,943271.0,25.12.2015,Электроснабжение,3787.1,"7786,75200",249.07475376937498,0.0
458117,68701000,2169,Тамбовская область,1,178356.0,178356.0,25.12.2014,Электроснабжение,921.4,"3635,74900",193.57065335359238,0.0
459414,68701000,3567,Тамбовская область,1,44351.61,44351.61,25.12.2015,Электроснабжение,1629.2,"3356,04100",27.22293763810459,0.0
460129,68701000,3879,Тамбовская область,1,798687.0,798687.0,25.12.2015,Электроснабжение,3504.11,"7143,67500",227.92863237740823,0.0
461596,68701000,4945,Тамбовская область,1,223532.0,223532.0,25.12.2017,Электроснабжение,3359.7,"5957,96945",66.53332142750841,0.0
461894,68701000,3619,Тамбовская область,1,1524382.0,1524382.0,25.12.2016,Электроснабжение,6264.16,"9534,17202",243.3497867231999,0.0
462060,68701000,1469,Тамбовская область,1,652060.0,652060.0,25.12.2014,Электроснабжение,1660.0,"7071,16200",392.8072289156627,0.0
447993,68725000,1034,Тамбовская область,1,345602.0,345602.0,,Электроснабжение,578.4,"1121,94583",597.5138312586446,0.0
462736,68701000,1603,Тамбовская область,1,1852665.0,1852665.0,25.12.2016,Электроснабжение,3280.1,"7223,83900",564.8196701320082,0.0
465704,68701000,1692,Тамбовская область,1,118457.0,118457.0,,Электроснабжение,430.1,"921,40400",275.41734480353404,0.0
467349,68701000,2630,Тамбовская область,1,373210.0,373210.0,25.12.2014,Электроснабжение,1833.3,"4125,35300",203.57279223258604,0.0
468382,68701000,3675,Тамбовская область,1,795567.0,795567.0,25.12.2015,Электроснабжение,4953.0,"8824,42583",160.62325863113264,0.0
468521,68701000,2530,Тамбовская область,1,1191171.0,1191171.0,25.12.2015,Электроснабжение,4568.2,"13478,66400",260.7528129241277,0.0
469187,68701000,5091,Тамбовская область,1,272945.0,272945.0,25.12.2014,Электроснабжение,2199.26,"6116,27100",124.10765439284121,0.0
469359,68701000,2628,Тамбовская область,1,822342.0,822342.0,,Электроснабжение,4013.7,"4898,70876",204.88377307721058,0.0
469416,68701000,2623,Тамбовская область,1,914369.0,914369.0,,Электроснабжение,4633.0,"5140,38896",197.36002590114396,0.0
469699,68701000,2489,Тамбовская область,1,162064.0,162064.0,25.12.2014,Электроснабжение,546.5,"2278,19700",296.54894784995423,0.0
470062,68701000,2501,Тамбовская область,1,418278.0,418278.0,25.12.2014,Электроснабжение,2480.0,"6640,99600",168.66048387096774,0.0
473659,68640000,2976,Тамбовская область,1,95624.79,95624.79,25.12.2015,Электроснабжение,392.9,"1393,87210",243.38200559938915,0.0
473980,68640000,4209,Тамбовская область,1,38576.89,38576.89,25.12.2015,Электроснабжение,478.8,"3967,45440",80.56994569757727,0.0
473981,68640000,4209,Тамбовская область,1,201767.05,201767.05,25.12.2015,Электроснабжение,478.8,"3967,45440",421.40152464494565,0.0
463555,68701000,4433,Тамбовская область,1,433772.0,433772.0,25.12.2015,Электроснабжение,1970.4,"6126,31900",220.14413317092976,0.0
447991,68725000,1034,Тамбовская область,1,19804.85,19804.85,,Электроснабжение,578.4,"1121,94583",34.240750345781464,0.0
447873,68725000,3742,Тамбовская область,1,2218006.05,2218006.05,25.12.2017,Электроснабжение,5936.6,"4623,08805",373.61554593538386,0.0
